t1,t2,t3,t4,t5
172.625,178.48000000000002,194.145,219.62,254.905
230.14848197610058,205.586737206027,198.5137845714857,212.3631257013027,248.33880314610605
286.1263133245508,231.70996012488868,202.23622897261376,204.5680969475661,241.11308830048546
339.4473327986129,256.30789293279304,205.15766781632078,196.27889410083563,233.3063264489499
389.08949799173973,278.8825574402671,207.13961041247316,187.543524735914,224.9978564063088
434.1554498254695,298.99601130604253,208.06402006565014,178.41300609692752,216.26596118645867
473.9014067404078,316.28362949107816,207.83673016420357,168.9402793219713,207.1860390468644
507.75801626277956,330.46383335092116,206.38985832368127,159.17910066471504,197.8289413417175
535.3423643485659,341.3439084583755,203.68313894785518,149.18295438797912,188.25953975346607
556.4609490360177,348.8218039056924,199.70415651178195,139.00402886221326,178.53557256899057
571.1040119242845,352.8840518546404,194.4675221210441,128.69229203375133,168.70680436991884
579.4321411323845,353.60016752016344,188.0130902901764,118.29469534668283,158.81451690620625
581.7564744349221,351.1140710208543,180.40335795297653,107.85452701523204,148.89133215500226
578.5141156684954,345.63320270656806,171.72022097721387,97.41092689012257,138.96135272022036
570.2405199328092,337.4160771193534,162.06128352687585,86.99856665493328,129.0405907533373
557.5406062790629,326.7590374836707,151.53592225404412,76.64749126143919,119.13764522012119
541.0602354824616,313.98293724058584,140.2613013185476,66.38311078530509,109.25457910058506
521.4594695255495,299.42039620572217,128.35851731057312,56.22632653683715,99.38794322407568
499.3887387822999,283.4041676264743,115.94902760917505,46.19377143436155,89.5298918833163
475.46871487596536,266.2570211664115,103.1514842336731,36.298142344983546,79.66933688703753
450.2743527119179,248.28340800622925,90.07906061682493,26.548601210792043,69.79309086450624
424.32325104157087,229.76303898096938,76.83732358377901,16.951222115467814,59.886956864334124
398.0682078268857,210.94638411166818,63.52266945399012,7.5094627618708785,49.936728965033396
371.8936283744546,192.0519986602289,50.221313414495185,-1.775359140016505,39.92907709638051
346.1152873560611,173.26550088517905,37.00879641687668,-10.903601591802058,29.852297958255555
320.9828507029005,154.73997139782443,23.949954545956615,-19.87686043997391,19.696922293883723
296.68452503696136,136.59751260667505,11.09928229999258,-28.697569482718663,9.456176406579324
273.3532121618376,118.93169667835855,-1.4983867220219054,-37.3686474549084,-0.8736976022638601
251.0735933922117,101.81063806984636,-13.806961176132987,-45.893198319191725,-11.293253040088175
229.8896416405239,85.2804477331043,-25.798013557355574,-54.274269028225646,-21.799767398553783
209.81214713758425,69.36885618110858,-37.44961562094926,-62.514666872435726,-32.38727208002534
190.82593570054686,54.0888276372458,-48.74515427903383,-70.61683666111914,-43.04666493326776
172.8965486986417,39.44202393444333,-59.672186096358516,-78.58279625961943,-53.76588701054809
155.97623552264344,25.42201188138487,-70.22137918430451,-86.41412737623483,-64.53014542112109
140.0091787346562,12.017139460796955,-80.38558173542836,-94.11201692150354,-75.32216534367706
124.93592733187671,-0.7869667640513001,-90.15904706360728,-101.67734272714625,-86.12245598977304
110.69705443000029,-13.005308818154276,-99.53683606727945,-109.11079591121218,-96.90957741074129
97.23608307454666,-24.651838124557116,-108.51440962417489,-116.4130307332272,-107.66039736077602
84.5017395537165,-35.73818692931688,-117.08741555360672,-123.58483144654481,-118.3503298410488
72.44959972681215,-46.272799044803676,-125.25166737227406,-130.62728449545472,-128.95354935054635
61.0431929100792,-56.260443178715136,-133.00330501474048,-137.5419435108032,-139.44317717896573
50.25462217229811,-65.70208846780287,-140.33912089142697,-144.33097403027588,-149.79143823619185
40.06475170856635,-74.59511896380941,-147.25702806083882,-150.9972648114337,-159.9697888793917
30.463003230765615,-82.93386083402093,-153.75664091959212,-157.5444931136811,-169.94901794352532
21.446795649379307,-90.71039223624925,-159.83993278072938,-163.97713247885062,-179.6993246843811
13.020656966729412,-97.91560074175987,-165.51192924141785,-170.3003933902975,-189.19037859151075
5.195035114981891,-104.54044661743453,-170.7813916625219,-176.52008975062387,-198.39136701157688
-2.0151640781409554,-110.57738234286612,-175.66144180815976,-182.64242735536368,-207.27103723231318
-8.592278448880485,-116.0218698298678,-180.17007719112013,-188.67371436893444,-215.7977401059586
