t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
643.505,590.5,547.3050000000001,513.9200000000001,490.345,476.58000000000004,472.625,478.48,494.145,519.62,554.905
-45818.214365385335,-36614.81266392305,-27856.79233649737,-19777.97288177798,-12617.331739851055,-6614.509717013279,-1995.3283932975146,1060.844839416145,2483.482895713429,2418.228988062344,1397.6064263906305
-83176.31892030331,-66944.42207996933,-51383.70443630213,-36880.10815541941,-23865.377447281142,-12812.47264184596,-4203.949729602062,1544.4423751301717,4226.871068161843,4079.763739390685,2119.39209559935
-105257.15802638697,-85638.44087722989,-66570.01238127245,-48458.190389775504,-31843.92293611577,-17408.440874463347,-5925.402647713135,1872.5259328236843,5544.861322140132,5328.908300914307,2635.80191137002
-110472.12674270684,-91290.6145171897,-72233.81190541272,-53594.733247511394,-35919.845628873954,-20041.507531911582,-7025.322024373086,2023.5237852465482,6341.606931006891,6072.665948209861,2907.079378118617
-101552.67877449634,-85718.35253995286,-69441.6136952566,-52809.88404507177,-36274.65315366065,-20729.88499878762,-7477.820716909412,2010.779080008656,6612.473084325681,6307.9134975512125,2940.536974542438
-83813.87402388248,-72761.94953274484,-60752.77510298972,-47639.35575920438,-33704.07562180284,-19797.941759729245,-7353.274094098105,1872.5200733855784,6428.584342486264,6105.869101928954,2779.798229963651
-62970.97985361724,-56715.8180997482,-49179.69037080645,-40012.291451931414,-29294.351691750908,-17741.53649086971,-6786.71321894269,1657.34241936883,5907.134303805666,5582.368024433021,2487.0006501502794
-43474.421645898714,-41078.11924830987,-37312.3757456462,-31692.746396820163,-24109.465777729147,-15086.102605823071,-5939.210325583862,1410.911099247386,5178.881992147563,4865.482579014148,2125.1543714335794
-27812.633745530904,-27965.550086750845,-26856.760143186413,-23947.424294263736,-18981.79447631189,-12279.752248132381,-4963.868817210098,1167.540585905475,4362.0456963718025,4069.774168971196,1745.7901369899414
-16675.42228711878,-18152.81766744555,-18590.83616193592,-17464.46464951865,-14432.639526805437,-9639.23409995155,-3983.514057063637,947.4265041403264,3547.0406798838426,3281.6162399570544,1383.6164826664515
-9571.259635892644,-11471.36244306298,-12586.249336214689,-12449.995501548306,-10696.138747184958,-7343.939973218139,-3081.682263562478,758.1185069205802,2791.8709210659176,2555.305033452884,1057.0347410825013
-5494.023911231561,-7282.363027768314,-8512.662096508653,-8799.130039715426,-7797.591079854538,-5460.671257704642,-2304.348985065481,598.0031060067334,2125.15204682047,1916.796054610453,772.0027802039106
-3404.736173889647,-4844.226822825446,-5897.198166137258,-6260.021187976444,-5641.790042439233,-3980.2828438272068,-1668.0150154101862,459.8877882763642,1552.999745054411,1371.1671388030395,526.812304407058
-2475.213382584531,-3519.346202020435,-4288.12926860401,-4550.5936473145375,-4084.6357846744545,-2852.509309961655,-1169.9859026128802,333.6202107073452,1066.7173903868395,910.6503158402397,316.1927448168515
-2148.7492523372116,-2846.2741310899746,-3328.222946885331,-3422.1149550631817,-2979.1756478455145,-2012.28768295404,-798.0030109815033,207.48855876041557,649.4695588802122,521.3768076462483,134.10470801175097
-2102.0052706958795,-2531.508077662776,-2767.5057016571077,-2682.1341881006742,-2198.7785871778106,-1396.4580609310904,-537.878583599985,68.67080198579768,281.2775851216544,188.1617591771855,-24.74625898906673
-2174.9638088451266,-2408.5578361797643,-2446.046219355688,-2193.663392688581,-1644.7736905748832,-952.770916177408,-378.88428184131647,-96.77385776171371,-57.572618669353254,-102.58171617628497,-164.33808659548234
