t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18
1639.2199999999998,1517.5449999999998,1405.6799999999998,1303.6249999999998,1211.3799999999999,1128.945,1056.32,993.505,940.5,897.3050000000001,863.9200000000001,840.345,826.58,822.625,828.48,844.145,869.62,904.905
-2560075.674192342,-2264117.7443828867,-1972292.385934728,-1686888.3765899702,-1410445.0740975162,-1145815.1849381863,-896203.4334329717,-665167.5336115012,-456563.4166494788,-274412.14258684276,-122662.02929464463,-4817.261278522232,76595.08387243717,120742.40625286876,129399.50537049389,108048.27161670993,67125.61151579105,23340.75306357154
-2792940.5725559182,-2533365.4673975683,-2270206.845987799,-2002469.4960240647,-1730128.4264458031,-1454467.776895199,-1178396.5928118553,-906691.1516694131,-646087.5500069706,-405124.5291346902,-193623.17124320084,-21698.634699439775,101756.74280175117,171086.96709674608,186202.88154209903,154855.32907023412,94266.39616907731,31369.660697094576
-1402247.0327798373,-1351573.4643482156,-1290958.38922953,-1215865.4034211596,-1122447.7051018479,-1008039.1338373986,-871801.7568753954,-715469.0142482733,-544042.121958048,-366204.8580404097,-194145.0482422068,-42456.11293880908,74101.93967663214,143924.0158368846,162447.6975470356,135538.27116597185,80865.11577554616,25760.541226510468
-290590.20222595416,-339602.5401018338,-382774.1775586257,-416696.5075653693,-437575.74476594734,-441459.3934481394,-424765.14730041166,-385136.6104505868,-322550.4084280551,-240442.94178265458,-146442.01537906664,-52157.64963939567,28467.79561731801,82400.08519268737,101802.58115431732,87968.91657891653,52890.27785672373,16695.19020200138
-4876.718559105556,-32174.13087774643,-59209.65731920218,-85354.76103275223,-109412.7384035629,-129524.42153229835,-143220.05278525347,-147707.252808078,-140468.1890889237,-120161.12747989631,-87666.99462358437,-46912.761584957116,-4927.565922317801,29400.938210836444,48037.055311148135,47374.04638690364,31142.22552772194,10595.009963151047
-60719.4309003093,-55642.68939994471,-50840.04811755676,-46577.06180563764,-43229.92646391374,-41233.74047907903,-40921.57297467387,-42232.53764081813,-44345.61313138978,-45434.83829540346,-42877.88163882854,-34227.234627422724,-18883.092590337797,323.85326443477777,17099.68286768436,24419.90042049512,19453.61361441232,7463.5825953219955
-93804.23871154952,-84962.14724763537,-74658.08412257845,-62553.415716620795,-48870.296729403795,-34629.254773435496,-21717.950396537377,-12550.355052592291,-9141.990965846951,-11755.71679820778,-17828.53610516661,-22297.426628173118,-20044.603454713328,-9622.518961981217,4491.1311633848545,14047.395305594659,13434.986384252086,5460.224590017157
-69033.42719017422,-67875.98616161883,-64507.48992268894,-58017.295511012686,-47972.47574037461,-34867.993828153485,-20525.563977689817,-8047.820854464372,-899.870229881629,-1083.4689795231538,-7242.833223045531,-14344.20429272779,-16199.767120767325,-9946.475397984124,1022.3305956536559,9174.20730874938,9320.247365271865,3698.723658436796
-37780.233021327535,-41204.48492982002,-42810.99549654296,-41633.638653408314,-36926.215049896135,-28639.095159418135,-17964.165034208676,-7526.570703858451,-685.119958163055,213.81999803041379,-4199.908346704836,-9873.269843242248,-11652.588103160067,-7271.489754053416,454.72188913065304,5905.627510046064,5793.505034900511,2120.3055331330493
-20640.939122034993,-24275.10322930067,-26738.361027025432,-27296.524484205103,-25283.73123163346,-20493.151275151187,-13660.56883493409,-6669.781766665041,-2003.5857297013085,-1344.3846443306775,-4117.731099247351,-7407.103726383552,-7929.970579750784,-4733.928646088286,-27.750847700744423,2908.4686709711823,2711.6813220355184,822.2086212136516
-14507.085077423335,-16597.71565929527,-17988.04712081873,-18228.17193080705,-16922.60715305195,-13997.309414921629,-9993.805095100794,-6112.621154396143,-3733.5795520064426,-3518.9531048457625,-4778.582842082717,-5856.973085128348,-5434.982147040446,-3570.6679505442276,-1439.899367888241,-141.89818543523702,118.47641249103205,-170.96211322340997
-13058.30024610558,-13418.320472751922,-13417.633942906024,-12888.612922100718,-11758.23047419655,-10153.363845621812,-8431.074193483328,-7027.048635406773,-6164.609316973533,-5691.79247479552,-5289.00081958339,-4858.6175806980245,-4574.896257471855,-4474.9232103357535,-4190.710383297129,-3315.7142894719836,-1984.2917053889112,-880.6999827100715
-12510.685872870858,-11440.24193802476,-10440.819314807924,-9664.095091449806,-9321.274012623502,-9535.199796961677,-10093.37732907698,-10331.153075803073,-9488.567281152536,-7513.051640169384,-5521.239010615882,-5034.73401153947,-6409.564624157228,-8208.97817828222,-8469.134600978774,-6548.667031796817,-3587.2027903778835,-1333.0460815614874
-10693.32514004357,-8988.873273235104,-8121.595587782169,-8589.31674718246,-10630.885350890458,-13723.374214082749,-16292.755176427367,-16351.501878279265,-13195.780490137977,-8756.627942123647,-6564.48338223984,-8523.392110054197,-12800.821902859692,-15458.44555960122,-14091.764471748922,-9569.590807457673,-4645.404919202518,-1559.2048235051154
-6424.879054654116,-6189.402540458009,-7973.297583333437,-12399.810900809058,-18953.00324475736,-25275.715171799104,-27730.191263845387,-24028.24875418268,-16281.120322612403,-10603.754387500225,-11951.820052968511,-19067.938801218796,-25559.698252443945,-26001.833840837975,-20184.67552906573,-11907.70812795044,-5141.35752800574,-1626.550179242196
-1512.0435658033898,-6892.5963564267695,-15403.588624173519,-26927.831539121984,-38717.71140090588,-45455.00880433437,-42418.06645068469,-30778.670656091108,-19335.854416623686,-17960.241297709155,-27859.995247962182,-40049.335384965714,-44248.46603576622,-37681.0017117673,-25134.4247003891,-13101.270636201989,-5217.384239048359,-1681.2137106046557
-4396.986284803513,-20448.7057551312,-39185.537668215766,-58099.36880741774,-70827.28341385908,-70055.29752368294,-54724.36020170403,-35352.33578889135,-28085.708705411223,-39484.52146042511,-59065.001796468445,-69783.99929490725,-63819.71059451615,-46292.805781527066,-27170.183459993128,-13079.143987653433,-5308.128689340208,-1970.9353893807809
-29637.82801567167,-57716.124964654584,-84479.5395223665,-103563.0839268973,-105986.39526949127,-87863.0481280885,-59491.12492175318,-42893.12799171319,-52822.98915842247,-80212.85155747697,-100457.53383330148,-97505.1656078616,-75091.40768049695,-47392.00965443128,-25479.79731763545,-12491.657279525705,-6145.486669094123,-2793.6677031622467
-85937.76521544086,-117886.66779406046,-140649.36793994717,-144958.33286570813,-124678.86562254319,-87868.0971967612,-59660.96656318942,-63915.96785272504,-97207.20492026486,-129094.57609336308,-132480.61793543797,-106660.82001832544,-69915.53490972657,-39352.647933912274,-21096.237672608993,-12648.165880274913,-8499.243559502138,-4328.878387306193
-157968.95372807406,-176498.37295755127,-177774.60444795626,-154398.378473575,-110941.9893478697,-71303.76763786879,-65898.47452955182,-100544.03497136309,-143912.2587580375,-157267.9614207555,-131359.54859440797,-86766.33963463933,-47822.8362680416,-25163.997261131728,-16640.822808181918,-14883.082070846127,-12661.107548372107,-6408.23614279463
-205371.6472353138,-195079.0553007995,-165544.82974451382,-117422.0969759025,-69249.80248584773,-52336.95563887046,-82185.57418093595,-133529.49894461996,-159547.76931501826,-138675.57803143145,-89549.46748491301,-43556.58499566614,-17581.36770898193,-10938.248714236617,-14837.224410882342,-19633.353395518803,-17969.070417695773,-8424.931107812861
-192233.26807855806,-152877.38285494386,-101635.86816686609,-49553.53948547174,-22649.71797069838,-42297.15915729701,-94912.89467628217,-133606.26321597525,-123701.0376109105,-75537.19938512835,-24744.306836712574,4148.134332944522,8579.661461321914,-2137.2196189742326,-16849.52992711304,-25897.452155243565,-22835.622413087924,-9572.941037012859
-120180.10409273322,-67865.98717657158,-16831.494649743687,15588.148823886893,8286.877707660584,-37705.592314643174,-85053.12957004183,-90659.2176945793,-50550.264129291376,1679.576226375962,33987.853654533625,38193.205492164234,22702.672453783838,-680.284447694112,-21707.459819331714,-31584.831677241506,-25464.83358781688,-9329.821971564365
-26620.618224003436,18592.600047677504,50828.26430626022,53817.90514503541,20243.494317763732,-28211.237078226877,-49782.48984168283,-24775.513154702898,23891.491244180153,60010.91361712365,67505.34152992007,51642.16216583416,24186.478728573456,-4888.025531944679,-27104.376828948407,-34584.021128907894,-24840.19324972523,-7797.7091451559045
48088.5946860161,74841.02606974184,83175.20414532779,63205.50784205095,21693.194503049475,-10841.302953974755,-5114.696459886769,33423.80884861634,71876.78182232936,85920.98119633569,74583.95119942361,48452.60251898551,17379.35948099754,-11451.104167573172,-30770.51736777927,-33812.86210022704,-21253.454351265686,-5599.537872808588
86798.45714309126,94932.40658358757,85286.17602529934,55389.872937938366,20497.06050786574,8391.817735358572,30564.975180258112,66737.2303991881,88368.22853052059,85440.41262208404,64936.97960482169,36756.501081236245,7515.238608660827,-17434.71589039819,-31452.142877660193,-29597.270484238816,-16013.859059730597,-3449.393620740925
95240.03209822175,90484.39285304477,71763.40534985872,42187.75619671806,19395.185553331394,22818.594096986682,49788.8258637339,76304.51789165879,83652.03141322636,71674.49367135667,49164.953164636114,23267.379267316144,-1744.6315430805826,-21197.261858012072,-29120.643369149097,-23287.147529194466,-10648.274770889917,-1781.5243611629808
87444.56746809006,75780.65591991346,54542.64645230806,30032.286131644094,18513.86846339394,30618.867643446963,55543.26288317387,71951.58648714752,70210.74230880024,54943.15603277846,33825.91633712624,11539.44720930927,-8710.185680456561,-22338.589516209748,-24616.893102956295,-16498.182222991305,-6203.823011245981,-670.6992014827645
74578.97056218603,59925.41526370454,39497.27867166603,21053.732142583503,17987.776151698326,33806.013794007355,54200.986838459925,62653.96285105522,55952.888795714614,40260.97884272695,21453.2081688092,2677.4277837463364,-13054.994580631617,-21249.023614183032,-19103.92645356402,-10455.099717026587,-3018.4427289974883,25.656211050092395
62176.12241581995,46581.866533525004,28272.260694851444,15463.374970720424,18322.86869022777,35053.34860494928,50570.63361803881,53276.32728949207,44017.31436729351,28932.1039017875,12304.390817343856,-3453.3095365939926,-15123.689167008346,-18650.391104479073,-13591.893973223265,-5701.882143881624,-903.3947432245267,492.5646912088094
51910.69829140727,36412.97062077628,20699.412699839897,12858.988623167294,19838.483505419747,35966.91170489852,46913.05638887283,45469.54882730161,34889.040737451134,20633.575082185685,5801.397786353299,-7400.4476492167,-15470.695834396516,-15246.029565787807,-8658.543956907677,-2179.992755597827,530.8843223178746,860.3611123872726
43817.35001444632,29025.053041594787,16105.905212424346,12617.85218403244,22392.474445280117,37023.927704080525,43847.672617162716,39367.687901877376,28110.643015135396,14633.539395036018,1241.8767570773905,-9726.415013187305,-14588.897443116432,-11487.396815241713,-4404.7877322515515,484.1230181612689,1623.2925276154406,1186.6351689033913
37490.58921366943,23803.954599012304,13722.180561867988,13971.97560749336,25475.34171094109,38077.63834837343,41304.03052389067,34628.391664963245,23060.18640341811,10242.001975000341,-1950.8751608131472,-10826.311660346024,-12740.191372977564,-7490.481451401378,-627.4255639440178,2668.5885834433448,2554.4226718075397,1475.574690265345
32445.298806969848,20098.78294114174,12729.36319753152,16040.803503243895,28386.56601161853,38731.14058559462,38979.78379240485,30803.689927288586,19161.613945912122,6916.374943525817,-4137.021974500323,-10822.870881342084,-9906.133804863357,-3164.1416874096317,2881.268223902839,4554.910800592161,3350.9035172194476,1702.9312961403944
28155.408947198393,17233.14980356367,12280.65044240601,17907.56903629675,30375.837506241813,38502.77681697119,36479.22918420367,27422.446697243122,15923.614973315913,4301.892866470629,-5402.409018987682,-9566.814494158181,-5959.496702962406,1470.012270454916,6073.098583111135,6088.775164657269,3944.569426688991,1835.9743879527427
24106.591122878413,14588.357938714114,11631.422081366863,18787.604039543996,30806.861552442024,36952.48763828392,33406.32078837601,24060.56118061096,12997.097988142263,2276.563978658365,-5589.889552306353,-6863.826787466032,-1057.7724892208246,5973.844179095837,8594.381074116667,7079.472772881222,4243.895338865366,1849.3893187689036
19951.180273376438,11785.612385870494,10360.021744227146,18271.115628678053,29382.401742293983,33872.29976677881,29527.29215253377,20468.777280183178,10247.948259828718,919.3095011652097,-4534.500124872197,-2912.346769736831,4018.4565768064217,9507.087408092204,9991.520467827464,7358.419580085738,4194.204026274687,1738.7205359026216
15662.923149112015,8834.481688087619,8527.85590738165,16499.72598599378,26325.689840966945,29463.981946974858,24927.015617621855,16667.707398895538,7740.267684053998,315.63379082308467,-2447.295550677892,1383.0266835142406,7995.007914062849,11247.655138301629,10019.568735986353,6902.576596177992,3814.0532966448436,1528.2192124202302
11530.40362956478,6082.9477972015875,6604.320713877976,14095.20610599479,22338.681473337543,24333.306157011695,20007.39320674438,12893.555762566011,5578.580091080747,289.75866843255744,-118.58593972927696,4650.510339138705,9765.473107319141,10908.364139029818,8817.985283270109,5865.259381390445,3200.5830078571244,1266.8967778965234
7950.181602565111,3954.3824306899523,5148.9239494561225,11818.695243825436,18291.45306702239,19242.6643028823,15286.806067813379,9407.126678764735,3720.7392929200387,321.5992506953294,1371.2359865578767,5809.609594822724,9070.409846007262,8911.071954536816,6842.5219413716095,4519.44449915758,2503.0894946230233,1010.7074039585827
5170.459812901289,2659.223685322445,4466.800954384907,10178.598798041105,14834.310365744204,14780.770536771743,11145.192092463594,6322.707127845051,1944.7833335288815,-203.7779438965124,1287.628052429038,4725.32641248596,6597.663420469994,6106.122200976386,4644.977807358762,3162.508928446675,1874.6345651125484,798.8169643464544
3179.462951151773,2094.5678493707023,4481.921527886518,9255.043032974414,12196.013776565347,11182.139608302787,7704.536272670306,3592.8065965483556,9.392600122939314,-1601.42820897804,-318.70349830784926,2192.114810364383,3479.1506967627543,3324.124034956466,2672.835830966537,2033.4258853453864,1421.7312534228292,638.5558614114753
1784.7790157001493,1963.9010750886675,4868.598751952496,8806.909031150333,10254.149371083913,8378.43806223227,4892.596474150024,1124.467947631757,-2148.3540904275287,-3689.916986268664,-2724.758370489185,-651.4628246367204,678.3160499477453,1091.6314605556418,1183.878421544376,1267.6963090599097,1173.9289969623412,508.56047052737927
