t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20
2011.9999999999998,1870.7049999999997,1739.2199999999998,1617.5449999999998,1505.6799999999998,1403.6249999999998,1311.3799999999999,1228.945,1156.32,1093.505,1040.5,997.3050000000001,963.9200000000001,940.345,926.58,922.625,928.48,944.145,969.62,1004.905
-5777972.685450432,-5195595.972455217,-4618118.01227605,-4048424.7057123277,-3489907.284611404,-2946605.6279899217,-2423321.9734388725,-1925687.9053858854,-1460161.730692014,-1033927.3893711368,-654660.723818073,-330125.4223062674,-67560.82565044962,127171.02592771038,250699.0204961307,303514.7072426618,291565.3731460132,227984.7498533085,134818.48432689713,44533.197769541155
-4596330.320627649,-4291509.430365137,-3975058.5866625984,-3642127.0923856623,-3289101.6935230754,-2914140.604307682,-2517765.8097876245,-2103468.1015138533,-1678237.7860049591,-1252887.87083921,-841994.018961498,-463250.43965081463,-136052.40590174202,120813.29839491841,292338.9510264889,371059.4655013018,360833.4502526489,279742.88313492207,160973.73723287228,50525.60292881211
-1103868.938936543,-1172352.0229343704,-1228957.023582785,-1267394.6831776213,-1281176.0212106358,-1263921.412294581,-1209974.6247946033,-1115347.6980629854,-978949.4619555811,-803937.2583945349,-598886.904181848,-378332.6688989066,-162149.01652438167,26684.830228522856,166092.69073456374,240263.56788135952,245187.11395866433,192474.03845068527,109320.75284166071,33108.52604742282
4326.524069878307,-51826.78818585335,-107570.8784473382,-162041.1854274948,-213607.29506374022,-259703.86398218438,-296795.7007118296,-320569.2492953714,-326448.6277456085,-310500.2757616462,-270694.32743680355,-208323.71369160063,-129166.4285804358,-43786.502171193235,33665.44998851351,88518.17971628167,110206.03443025118,97170.63538445039,59848.38817743112,19363.19298133134
-170664.90470809487,-151990.7702168772,-133193.48017324854,-114564.95444849605,-96796.03601310449,-81032.12538837378,-68784.9229133173,-61605.41005055634,-60460.745477868644,-64887.10780132366,-72218.93295363325,-77445.1506131986,-74316.24455316919,-57953.443360616075,-28259.27353695606,7787.38846907349,37419.42359440426,48153.791191051954,36492.95916325872,13429.650216792881
-198723.50266468656,-189082.6847585143,-175794.88911284582,-157426.3399181266,-133236.65829105405,-103694.2468596821,-71001.05725101045,-39315.90785075005,-14238.959467257178,-1207.0926799849096,-2928.7631646182986,-16848.420960306554,-34438.689951251574,-44000.88825037445,-36858.74002839778,-13784.771825767482,13535.55101027821,29281.204818731298,25455.63240329294,9679.46390188854
-87963.05014057107,-98026.06483836853,-104815.79955320086,-106492.41803805674,-101306.796800922,-88160.16053301273,-67446.75259175926,-41884.37459782476,-16733.42793375009,1308.0172046232256,6809.658343897656,-951.7860910664205,-16022.103209020688,-27692.667587458185,-26642.313638567797,-11813.640468224537,7771.291263428698,19336.602727803096,16795.428775437726,6153.2199964071915
-28380.49794193444,-39194.12706642007,-48483.508517884555,-55076.571090982965,-57548.26070583865,-54573.690115579215,-45608.81972974667,-31723.80019395467,-16095.769558988677,-3471.347271361524,1782.4285682693248,-1591.4759854914075,-10066.904599288024,-16692.614926361184,-15541.97782824041,-6297.762696424525,5144.155041385536,11312.5541118327,9365.455387259371,3250.313007156311
-18917.83253344292,-24264.86419731564,-28884.078458342796,-32154.826789544506,-33295.288100230675,-31582.187964323522,-26764.010557360318,-19529.452733598333,-11698.119795557948,-5747.4390787946395,-3607.060015469215,-5315.895996634691,-8629.373907908179,-10270.288379069081,-8195.862327144425,-3123.265643896992,2054.4426046620347,4533.606249003399,3650.780817322753,1141.6648735627386
-22942.510119504586,-24604.64343739175,-25509.252141073946,-25231.59967036187,-23435.0908747443,-20095.00212029279,-15729.73343936859,-11422.89388101968,-8427.195072264827,-7421.745128837507,-7940.031001714289,-8606.031389698359,-8190.956331461781,-6571.23974688527,-4600.731960044549,-3082.8379877902335,-2077.4835496660367,-1251.3230634232025,-573.4271066815452,-333.1233148001487
-28746.727802448746,-28230.48277401205,-26671.335115135716,-23714.581533904813,-19392.774324695423,-14398.005700641363,-10111.921666398926,-8062.611135205234,-8831.620501253145,-11181.398576464559,-12554.549939060867,-11120.289316372699,-7632.891473696037,-4874.836125922876,-4851.712391492335,-6727.881297577893,-7849.5172387557295,-6573.496060110857,-3700.152191485291,-1312.861034076015
-37206.081659233445,-33817.21712100774,-29215.553228369714,-23309.238284134743,-16788.990871149803,-11294.169671410187,-8906.156826955636,-10733.745595330907,-15356.88085924443,-18913.393716346633,-17871.2463354029,-12551.234198350567,-7428.2556579940065,-6966.099552635196,-11110.17453868123,-15464.565987142452,-15766.290297105632,-11576.470377056803,-5844.3280953894855,-1850.9939667614603
-48422.51156348777,-39955.2287733008,-30814.57702587731,-21782.26098044152,-14792.93538336807,-12420.951217213067,-16144.992844115597,-24101.627493733766,-30707.768692326954,-30228.363357980998,-22340.052579822845,-13670.585991803502,-12040.25248084981,-18727.17611772578,-27339.41651447337,-30264.78718952597,-25202.36254420165,-15674.219409819825,-6904.031631982306,-1998.3108949728648
-55285.08764416186,-40929.98566487674,-28339.655048856563,-20040.52591373694,-19218.154390266238,-27487.232852830344,-41764.8805912922,-53459.123548967385,-53438.00008624707,-40743.14288405737,-25884.085570188265,-22263.37978049898,-33113.776978847556,-48504.58201677489,-55415.450880523975,-48899.5771803334,-33665.90678751102,-17846.25526780285,-6913.429872140901,-1931.4650955582968
-45282.71266816982,-32027.93801627296,-25715.075038159786,-30429.067679201522,-47838.19754288731,-73049.51793262917,-93154.77563289015,-93969.76570141676,-73410.29092682344,-48013.802102077345,-40450.87470148759,-57608.19545293798,-83889.79577386503,-97230.95943702775,-88352.35483769543,-64142.962132294735,-37557.17692066158,-17613.59450591426,-6545.382685358018,-2096.2882759026397
