t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17
1467.5449999999998,1355.6799999999998,1253.6249999999998,1161.3799999999999,1078.945,1006.3199999999999,943.505,890.5,847.3050000000001,813.9200000000001,790.345,776.58,772.625,778.48,794.145,819.62,854.905
1563888.6146711386,1365607.2215025702,1170869.318484493,981586.4906038184,799834.5474906216,627889.5963193913,468242.4287488157,323578.9724154275,196710.56664549734,90433.80146902477,7296.268907179421,-50757.249630104176,-82882.66188585461,-89997.72272532705,-75614.37561878811,-46831.14424490059,-15446.28621126173
1941251.8704483395,1729040.4753579646,1516047.482655573,1302515.4260996857,1089450.1587754516,878855.8251198264,673923.3107068015,479125.36413546425,300153.28713448334,143616.25368525667,16422.38755209505,-75219.55075698768,-127187.00997553756,-139135.52808355697,-116277.99635366065,-70871.41919916324,-22875.52697515803
1265307.8918261377,1175780.6282611054,1079335.2066849386,973171.1704485456,855395.9428369307,725478.0283744757,584753.6147105242,436899.3426859087,288218.08790559194,147524.59359295093,25393.47563758175,-67414.76446690144,-122360.7532922001,-136063.63974017886,-113049.37206580634,-67198.43667039569,-20640.86081596309
461893.9498622007,472987.64007279376,477196.50204371876,471049.0726287441,451268.1259619988,415186.4155920667,361399.50090712716,290594.37796563964,206370.73426914637,115728.09002364901,28785.226498765,-42674.05171414581,-87963.94398786743,-101141.17985783888,-84362.64797107654,-49214.54994254855,-14389.442215725408
65122.43767003721,95796.30498508987,123772.1033893645,147191.0785128869,163747.7403913447,170832.1190788864,165944.4136064824,147414.6720430704,115349.73789770191,72551.9295199959,24959.52243660186,-18931.10148644059,-50022.43248626679,-61752.83736126039,-53373.71287704574,-31627.61509194358,-9174.943288198321
-2770.81893161961,8544.704930487916,19955.117392186516,31196.14215796272,41642.652588688514,50233.041796517384,55491.12230632843,55724.676471469014,49471.428162654774,36193.13092590453,17063.012878858986,-4526.335523338013,-23273.598828158087,-33536.541113815896,-32020.75517311139,-20454.20540035843,-6263.018517000604
25532.583478679375,21523.747009544804,17726.954131797735,14375.999896458732,11817.077157619082,10438.49875543815,10477.57513617889,11707.745698755678,13129.997273389235,12954.504465342801,9215.802179572027,1092.406158478093,-9684.555443872387,-18655.967477161383,-20832.27765302104,-14663.512539473999,-4745.497164233464
40638.49967857403,33512.01179211067,25743.267196017012,17378.895004251015,8931.145379736194,1451.6897899487215,-3647.082628096564,-5168.696275457464,-3034.7226009167935,983.6413862077804,3543.1097666570345,1548.8659061566418,-5220.444313500884,-12905.243612057564,-15842.113257306619,-11501.974352500374,-3698.9107810735827
35274.89335856428,30182.93496814947,23882.184879793196,16157.183658697013,7377.938894869909,-1289.0971980643292,-7969.65939715597,-10748.768554831695,-8903.574704268247,-4038.5436951272904,86.03414827730438,-226.66741060647928,-5453.607127773331,-11685.249386060594,-13541.120863394683,-9259.004087691574,-2797.6785565048276
24710.278943364814,21617.599465152838,17173.66539457892,11050.420503310133,3519.113903021601,-4269.9511840772075,-10344.386899485911,-12659.229643107228,-10500.6075502817,-5668.291670610153,-2009.8704680678602,-2769.1964487628893,-7548.455951075912,-12111.930648908568,-12109.511312035826,-7368.867634726776,-2040.34727236266
16465.382893464113,14210.699795568053,10638.87489616866,5433.408806621293,-1100.2107413371368,-7746.243805245199,-12506.55577523279,-13518.502856805024,-10565.690296424833,-6001.16073717083,-3616.5736505285613,-5581.372826942265,-10120.934333598929,-12829.064742812505,-10883.156728929649,-5765.248845029116,-1472.8435741393646
11163.485771088257,8974.176807637858,5521.712180860343,565.534412481298,-5446.571233226731,-11126.309836080089,-14444.588511735165,-13908.958416061414,-10111.085316988265,-6099.397493775165,-5351.0674900862305,-8551.184065065563,-12559.131780161857,-13285.789565639523,-9685.185018425622,-4483.547646957931,-1110.3698776858976
7494.565138867446,5029.323246802984,1360.5011711460195,-3634.1358582328503,-9297.363170095909,-14027.161798336074,-15836.010900364721,-13811.703833222202,-9522.096498656072,-6542.164657790742,-7555.820200724758,-11543.552443814211,-14474.360690912756,-13235.982219321431,-8503.8831760369,-3563.315695533832,-950.440980818506
4227.7236303444315,1431.3824135472746,-2450.145552857626,-7383.708287173182,-12493.560029845552,-16047.496753158199,-16314.611945291934,-13187.059344887753,-9126.48121058799,-7683.15412509333,-10187.518909552336,-14112.237621860984,-15440.988788159582,-12576.762896710705,-7432.888487139033,-3061.506719345998,-989.4957796504572
