t1,t2,t3,t4,t5,t6,t7,t8,t9
447.305,413.92,390.345,376.58000000000004,372.625,378.48,394.145,419.62,454.905
8231.91538690516,6155.0176578614555,4248.377415369621,2593.1988442233087,1269.7965055062537,351.5424588938896,-110.71315637800888,-121.72447429050567,196.20242998831804
15220.389629997268,11339.124024049002,7753.398886327183,4615.761875823291,2084.4073507353232,310.49170561810575,-595.8852218307908,-636.131991000653,-48.84785595863036
20766.66087131001,15512.12929391939,10616.973783071206,6287.03483693047,2752.949246057704,250.28054610757013,-1037.5797668110001,-1094.59543398582,-264.17360549721553
24471.07687953467,18385.043594361352,12649.378222915828,7500.068429880582,3231.2085967276475,168.24817431381638,-1416.9791118185703,-1474.6980123489727,-437.902586454701
26224.01990408654,19865.08446233109,13779.565044194162,8209.110938478841,3498.6122070338456,64.38668229928481,-1721.952319588657,-1762.6997807692221,-563.5521131275113
26184.25281494553,20044.092577447675,14050.484471888034,8428.535613330003,3558.2602175211405,-58.82139327016796,-1947.6593324141543,-1954.1939780812768,-640.2431916548708
24706.55444420831,19152.96993172831,13594.163449020527,8221.571971981752,3433.1642667675765,-196.9279665011208,-2096.0741940249736,-2053.378408249112,-672.0113136410556
22244.791030819084,17498.482757041926,12595.403809285013,7682.805258437505,3159.9814870132554,-344.27872477037914,-2174.6704515293195,-2071.2589754600517,-666.474887601119
19257.94090093821,15400.132920028353,11254.08091546468,6919.13405087292,2781.856373030892,-494.8515425433698,-2194.634887596193,-2023.2600705281825,-633.2169555544112
16139.378310902759,13140.701789483659,9754.116519130504,6033.212018954896,2341.8444396718915,-643.0267887380173,-2168.9909523762826,-1926.738886457099,-582.2261636686496
13178.38900027912,10937.13109133072,8243.559577005233,5111.854707772308,1877.9300021566721,-784.1785154084401,-2110.940110507895,-1798.8100333862026,-522.6530202401739
10552.228683437977,8931.57562849285,6826.395497774283,4220.135298135595,1420.0678460089703,-915.0268512443763,-2032.608201232575,-1654.7318434743888,-462.01007502904633
8340.201108588124,7197.801266930457,5563.891333289716,3400.476292044107,989.160216900277,-1033.7442465506394,-1944.2579620090967,-1506.9403643559453,-405.82266933215124
6549.044827283703,5756.283054244867,4481.954517804537,2675.246378464801,597.5395821076512,-1139.8500072238196,-1853.9297973234227,-1364.6825955151176,-357.6495535493542
5140.354389029926,4591.896439958104,3580.9881339579474,2051.1949398985716,250.39169546602275,-1233.9524256328946,-1767.4150038092766,-1234.1176279937883,-319.3505090606189
4054.005865713767,3669.9377537610367,2845.564981915183,1524.3211567017051,-52.41511327026649,-1317.4050580973706,-1688.4476604844224,-1118.7238447975992,-291.47593826759964
3224.95144052007,2948.323878283598,2252.3633835031565,1084.2443884492343,-314.49844314629956,-1391.937100525712,-1619.0123953102323,-1019.8600326448816,-273.6772981533392
2593.296406332542,2385.526564623187,1775.805146819372,717.6200951412072,-541.3714271406425,-1459.303501097669,-1559.6915591923241,-937.3610283826143,-265.07189466344727
2108.9778032402264,1944.8356842289454,1391.5170961319259,410.51511978518204,-739.1940330607315,-1520.9846496753896,-1510.0052547533408,-870.0886802742583,-264.5289922072798
1732.8024852880894,1595.9685615716007,1078.083342709799,149.8809398641244,-913.866262282771,-1577.9528894255516,-1468.7235278211797,-816.3955021706488,-270.86974539649935
1435.43777867121,1315.0455608014518,817.6450128660351,-75.64041649912852,-1070.4097643759887,-1630.5160681509815,-1434.1482018188995,-774.4858672944666,-282.98920979256263
1195.52691034407,1083.7459602127822,595.8431434247603,-275.33691337019314,-1212.569900425736,-1678.2468538121377,-1404.371554825869,-742.6766910234702,-299.9158435525695
997.659380077314,888.1990829256204,401.47755373455743,-456.2769141369789,-1342.5828541139826,-1720.0085479689346,-1377.521106711095,-719.5677573376095,-320.8250672467041
830.5785655468944,717.9396374716116,226.12531915518804,-623.2583031130898,-1461.0796931249597,-1754.090217811046,-1351.9956605007837,-704.1338343448439,-345.02130765034775
685.7830033144746,565.0927203799154,63.851890924617486,-778.7943190025051,-1567.1304584127643,-1778.4620660376875,-1326.6891876285958,-695.7493518273501,-371.8996503355659
556.5548958441259,423.8484901220465,-88.93961340665962,-923.137849354496,-1658.4568217718086,-1791.1523124444052,-1301.1882605723415,-694.1541107668073,-400.89514761471236
437.3938729769725,290.22048460304046,-233.5446117812084,-1054.3984883874598,-1731.8527825592948,-1790.7272493246548,-1275.9181269077176,-699.3670199528649,-431.42568670458684
323.81121425174274,162.035257757882,-368.9582608762041,-1168.841359542754,-1783.841579929785,-1776.8272620237267,-1252.2053061505999,-711.5552225384045,-462.8333444111544
