t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
1011.3799999999999,928.9449999999999,856.3199999999999,793.505,740.5,697.305,663.92,640.345,626.5799999999999,622.625,628.48,644.145,669.62,704.905
-467541.6308374053,8821.954618872152,-27613.302765067812,-50299.44862357151,-61184.909324592394,-62450.236232823045,-56436.81911648366,-45581.02592876936,-32336.880233773347,-19066.019028029503,-7869.9537490921175,-337.2221705746741,2822.1713453161,2279.2869900107735
-675807.2145782612,4825.131528150492,-45092.06563920321,-79105.72085124241,-97387.20422620782,-101381.8772223546,-93539.51132747237,-77076.7610867264,-55744.30379080766,-33543.08763842789,-14318.951529578999,-1168.1581670921516,4384.95742207211,3416.118461920907
-587677.0745589575,-4955.142667693591,-45271.08228847675,-78015.73955363136,-99294.11691778051,-107434.73061860572,-102804.68587348667,-87525.73403683293,-65146.701955659686,-40220.82703709398,-17668.051217282147,-1801.379928969665,5011.210136431107,3880.1808066614653
-361358.0993660634,-7730.7121801647845,-30780.557136117477,-56079.53347130677,-77064.93791658146,-89180.63701640702,-90266.62614977895,-80534.61829508662,-62350.82054129705,-39842.96274958751,-18179.619671545042,-2335.3203344596786,4671.682999001465,3689.659512988937
-162431.0445131781,-1230.0782317131636,-11102.967540647307,-28762.290389274986,-47593.80320481095,-61911.322693923605,-68015.94160503046,-64552.043857782206,-52520.95480772105,-35066.54369825982,-16867.777802984252,-2876.7981282572237,3619.406870292086,3054.8230582277843
-53976.587203017894,7492.528562939257,4617.027701543829,-7335.034308483196,-23102.287333822434,-37341.746120898206,-46055.567134273224,-47165.14818870883,-40674.371592123345,-28637.078913861606,-14776.901485795746,-3432.4070813757558,2247.092796625636,2247.1229431660886
-17462.00483975368,12468.343372477755,12688.030869273103,4626.1839239220135,-7841.88714569569,-20293.195719991945,-29224.66975809752,-32591.832512758327,-29932.20413895196,-22397.83549021702,-12600.901439936488,-3917.7244400605637,921.6339396834717,1484.4294898001324
-13928.413069733257,12983.156173660955,14396.904518510717,8843.526428848842,-658.6975741404062,-10585.017982839587,-18232.608530716003,-22041.919442135124,-21519.94351248796,-17203.14645912018,-10664.534350848258,-4234.170315015131,-122.17296028786296,881.5130948467164
-17662.287903191853,11186.906665936222,12765.089395056613,8609.522384716076,1400.1545227866973,-6037.3525515473675,-11828.44934557959,-15070.166999422334,-15485.863708463627,-13241.929152568804,-9056.404980278261,-4328.359620674275,-799.9427886311448,461.7978806344952
