num_links,rlg_AddCount,rlg_MultCount,rlg_TrigCount,rnea_AddCount,rnea_MultCount,rnea_TrigCount,ftst_AddCount,ftst_MultCount,ftst_TrigCount
2,20,113,141,22,39,6,11,24,2
3,59,494,642,36,63,11,18,37,3
4,143,1526,2038,50,88,17,25,50,4
5,298,3791,5193,64,114,24,32,63,5
6,556,8135,11403,78,141,32,39,76,6
7,955,15716,22484,92,169,41,46,89,7
8,1539,28052,40860,106,198,51,53,102,8
9,2358,47069,69651,120,228,62,60,115,9
10,3468,75149,112761,134,259,74,67,128,10
11,4931,115178,174966,148,291,87,74,141,11
12,6815,170594,262002,162,324,101,81,154,12
13,9194,245435,380653,176,358,116,88,167,13
14,12148,344387,538839,190,393,132,95,180,14
15,15763,472832,745704,204,429,149,102,193,15
16,20131,636896,1011704,218,466,167,109,206,16
17,25350,843497,1348695,232,504,186,116,219,17
18,31524,1100393,1770021,246,543,206,123,232,18
19,38763,1416230,2290602,260,583,227,130,245,19
20,47183,1800590,2927022,274,624,249,137,258,20
