t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
643.505,590.5,547.305,513.92,490.34499999999997,476.58,472.625,478.48,494.145,519.62,554.905
-64320.35363840503,-725.6362665096038,-5796.378664635196,-8037.220968295479,-8115.396602773969,-6717.725471017556,-4531.482789107721,-2213.666692315064,-336.4629429097849,706.556051191452,851.9027684963711
-112776.10946564509,-2305.8435343210863,-11071.139196239506,-15104.18555554144,-15336.737155976645,-12865.23364568109,-8880.894750613259,-4588.481194579025,-1081.2095596098425,864.368619288214,1105.989937443207
-135173.21637735638,-3972.819929046243,-14428.209204045428,-19614.779867356174,-20170.079869533896,-17186.89576832003,-12070.20484870383,-6388.423825448024,-1661.222621928139,979.0642210906205,1290.498373444864
-131806.05787267588,-5231.5096068616,-15528.300818739252,-21234.292970891853,-22277.45225441955,-19382.769285383394,-13878.803800067411,-7489.853177978946,-2037.5077951369897,1041.0542507302391,1390.6439042477664
-110559.49485252517,-5598.900297746736,-14580.446014196192,-20331.858118706314,-21956.83994497001,-19621.628231068313,-14373.104944743416,-7908.027761996237,-2213.1497479477557,1046.0703981757704,1404.769399708674
-81899.14306261404,-4921.74759107937,-12195.567870443063,-17714.19987431753,-19907.9409686594,-18384.764973019584,-13822.623297801332,-7761.457869154989,-2222.6357806090555,995.9009488902936,1342.6199861999455
-54423.96703754198,-3441.8750891357436,-9137.122941140635,-14292.21286038878,-16939.91227782597,-16261.861630139445,-12582.842307738709,-7218.482372736084,-2115.382523486547,898.3098873155807,1221.6014454091342
-32852.51073468511,-1622.329853909984,-6084.830403048004,-10824.879157682519,-13746.15973121492,-13785.793831336086,-10994.564727738038,-6448.823780936275,-1940.7462258417306,765.7581355365878,1062.3305846171424
-18311.00193881931,89.80605219769458,-3494.756255339533,-7800.9997113686595,-10796.873563947604,-11345.227272043487,-9324.724043577517,-5592.718499391319,-1738.6275646097292,613.1551010416551,884.6710546393776
-9739.331300555225,1412.5551749308465,-1573.5047157551426,-5441.280808452583,-8333.694606768257,-9168.731490532722,-7748.456737933713,-4748.947917189988,-1536.0952375204058,455.3373600072739,705.0123356922559
-5307.040161119235,2252.4598340734638,-332.03960860540354,-3767.2197863386173,-6421.723616804179,-7352.4270395533185,-6358.671559276837,-3976.4008822907613,-1348.212301661656,305.02097219319825,535.0150130793277
-3311.6868588090433,2648.0801510819524,331.9763268957121,-2685.555490230295,-5016.987249108083,-5903.019274534518,-5187.615880921448,-3302.335303444965,-1180.7777173537083,171.66460787672858,381.60437442326815
-2534.396407332225,2695.7292829800836,562.2710183125818,-2057.36098250188,-4024.220385228679,-4778.021251553493,-4229.445276883641,-2732.1117689694365,-1033.3032963602516,61.25151247689871,247.7497427560802
-2249.4905728803737,2495.9296434774483,499.30460616865815,-1741.625948111468,-3336.1154232992785,-3915.45707238557,-3458.311635057587,-2257.5356574773004,-901.4375623559466,-23.34379333652744,133.52451863947962
-2092.7368397099353,2130.6389316110926,261.87267085937395,-1616.4545113784263,-2855.249113771885,-3252.1980014448245,-2840.4410964199747,-1862.8323161529268,-778.7884595879776,-81.912233740755,37.04446795040866
-1916.0435469738868,1664.030154321337,-54.88373291473815,-1586.1946745656235,-2503.7438794409622,-2733.060303523084,-2340.7164109182186,-1528.4687816456435,-658.6060823710528,-116.91107039292154,-44.94034952981155
-1681.24529852282,1153.2200494241365,-376.3086700589114,-1582.3291888348133,-2225.4526624099517,-2313.175792131116,-1925.0630590898559,-1233.8002944157263,-536.1132203039602,-134.27897359752603,-116.8163180784381
-1400.788196280034,655.4464029175028,-647.6790522451254,-1562.3308699669096,-1983.186247622733,-1955.4096735901953,-1560.3437327370318,-960.1733260476527,-412.34904885335044,-145.04164163563405,-184.03382400991478
-1114.8352109959376,223.62244207826456,-837.3487581549459,-1505.8493618149823,-1750.9112349404547,-1624.0616207883427,-1214.2209326024924,-696.6401352370086,-299.8804898042168,-166.930671290069,-252.77608419195414
-889.3080922544544,-106.33761395326236,-936.8119789860456,-1403.5978720484209,-1499.5654788078023,-1276.9114921690282,-858.7486722380024,-450.14712082572794,-229.11258418691244,-224.19196183829405,-328.85442288178297
-817.1330143636612,-320.69441149661304,-946.9662711301967,-1234.137400247055,-1177.018977315435,-860.4797937173255,-482.28496460411037,-259.5782330603661,-251.0877219765084,-343.0308104140678,-415.5189577554401
-1002.7187281274294,-412.12766048955336,-847.0703755159832,-930.5921263602211,-688.9677044583397,-316.94332269822394,-111.96934846036731,-207.38323905718255,-430.040604074488,-541.000585032104,-510.550773888261
-1513.9606069162523,-358.183467811759,-562.8879212626815,-353.0928166092531,103.79833286025391,388.97908213258745,159.4911976854467,-415.70602126424694,-820.1409765503498,-812.2215588317613,-604.0107555577335
-2307.351641377432,-141.37694356233064,30.750848460971625,704.5068861932781,1353.0056989114155,1224.8252899493802,162.1143162825962,-1013.0303968319865,-1429.3851223672386,-1115.72298391297,-678.6684689703177
-3168.4521190497553,163.68321442389038,1046.7408304183841,2449.039726622268,3149.5337187854393,2048.728758925209,-321.82546525635,-2070.942407799766,-2187.5828407729814,-1377.2205579587428,-714.4525122007944
-3732.373077471095,308.2129269053298,2484.2146592154927,4971.28437760439,5434.339225869043,2609.3980953452956,-1476.3415207678977,-3537.172913213465,-2943.7009892701226,-1510.0460670179345,-695.9757767040621
-3615.2403724775395,-61.878258561248984,4166.288583741832,8134.451472101474,7948.501408237724,2614.369729957298,-3346.96033279688,-5210.270266257363,-3506.9791779518946,-1448.6243795293274,-619.5916443201791
-2599.8458692338413,-1137.3469701537922,5792.052396958776,11548.156628680037,10271.642158827453,1847.5295105468329,-5775.382812250675,-6786.7773632479475,-3717.1166212093576,-1176.5373566537476,-495.8229999324075
-753.6743785927657,-2666.2746056345454,7092.2736049865025,14669.346407745335,11946.091909280303,270.6338161882089,-8424.87551546824,-7963.9386591338,-3504.171774770135,-732.1588230860056,-345.50673948112944
1603.9479273696481,-3960.7673070921223,7976.938343362475,16985.734631696076,12624.017573623749,-1953.9319029970375,-10887.807640067655,-8539.244752640861,-2903.8385640644187,-189.58601128889228,-191.9757180527949
4052.667885367628,-4266.573305475578,8553.757372320326,18176.839325965175,12162.507654382114,-4525.202016045342,-12810.647289252793,-8453.785975722381,-2026.4074140235641,371.1218822887119,-53.83923468976468
6230.961428800269,-3221.4063136951863,9004.625709719749,18171.06965779236,10636.450282799453,-7100.598204590283,-13972.381374076338,-7772.877908099022,-1007.5104920955325,886.5716497760023,58.271985501222616
7924.365694262665,-1039.3435540262565,9428.587187915005,17099.470470552584,8291.031157206253,-9374.669507985698,-14300.372564717436,-6636.828573247646,29.536117888639524,1317.510118523789,140.84579638996274
9075.629604110087,1676.7981791820987,9774.971206771417,15206.918444651337,5469.626290495898,-11123.273760423244,-13847.598003641377,-5215.2988671927105,990.0859842737394,1645.2458752627133,194.74746966273432
9748.901826063515,4285.856095531082,9896.403721999384,12776.532371346155,2537.9645242727856,-12223.44950446874,-12756.770960670166,-3675.756355883379,1810.824331878122,1865.3220953508858,222.9043766338571
10076.060112954163,6357.89193694955,9653.83768252617,10083.427147606777,-184.44834160812493,-12656.50873339569,-11220.42146838145,-2161.72693667175,2458.093692614874,1983.1085028763987,229.2712511509825
10202.942017326608,7725.871138327922,8990.041890050032,7368.800935053779,-2472.44010222214,-12492.793320358822,-9439.98930837878,-778.2567292275824,2924.584022754223,2011.140005250306,218.61097766222838
10249.533031876173,8408.143467611639,7940.366986895526,4825.4722423546145,-4212.258374817875,-11860.382400196671,-7591.5555534201785,413.1751733689446,3223.380995966403,1966.5095021334218,196.3071217149149
10292.03745103424,8508.689507941841,6602.083698669772,2592.365609161575,-5390.174288322181,-10908.984138546808,-5806.32645729337,1389.7486947193502,3379.8157884227276,1867.8055358551649,167.84235749268342
10364.927392620499,8150.847549949778,5096.697808453425,755.9119543916432,-6065.997270721841,-9780.608653597408,-4166.868822418341,2156.5627470261106,3423.6409851177145,1732.31971128836,138.05959740030832
10474.629137725478,7446.348258403114,3544.3699954579015,-645.4019675705556,-6344.297527095932,-8591.350667892175,-2713.4880916367056,2735.5809838327104,3383.6925560092654,1574.2598376673589,110.49387975528867
10615.813791183578,6483.645077248247,2052.6660153171974,-1616.1043665584089,-6349.079491088333,-7422.77918464011,-1454.3739374926195,3157.303805539568,3285.2888571990597,1403.995029328504,86.96490098871936
10783.668981498904,5326.351481082405,714.8875255879532,-2198.9505163143162,-6202.857282495527,-6320.507912231576,-375.89170226093705,3455.308974249843,3149.2319724039608,1227.827054549571,67.45945696018907
10979.00778107552,4021.767058216565,-387.5256332176862,-2470.0629357044204,-6010.566069542093,-5298.3706258903085,548.3787207540216,3662.6293275923335,2991.138060057382,1047.7660706352283,50.25166816035346
11206.59377795461,2621.0132514992024,-1184.0226614397948,-2534.268712347973,-5849.283908668032,-4346.335084018458,1350.5702190390055,3809.094449876678,2820.373980421406,861.1203874507341,32.23040955265357
11469.17841455742,1207.7936535480744,-1621.040979399911,-2520.945196255227,-5763.813069419257,-3439.2929676430476,2063.8186536637413,3919.105494113386,2638.4450702558993,660.1427194679361,9.482136991343168
11759.651592705695,-73.66909375725861,-1680.0930244554615,-2579.5733548198355,-5766.024874663611,-2543.9239138634443,2719.5571062991035,4009.3818236118645,2437.1037968383866,432.38545310967214,-21.761677342564155
12052.536551536154,-1008.7045684407358,-1410.7247292867892,-2871.637056244734,-5834.242740288143,-1622.5869118463684,3345.579022572781,4086.264265334506,2196.914871996604,162.68680686919595,-63.75401397331029
12295.871349157529,-1347.9797857884357,-975.528836753326,-3551.260543066806,-5909.792620781341,-635.7918318810165,3963.3004963354842,4142.520994394961,1887.5683061453503,-162.44076543396628,-115.61109694098155
12406.068901008002,-922.4200638542117,-688.1942265929564,-4723.831607616927,-5892.569463226392,453.18912093110436,4583.079465166594,4154.26820030789,1471.52335770628,-548.1037894032753,-171.94365828005328
12270.3631915304,159.79571485176967,-996.586082670526,-6378.649148002589,-5645.097128492218,1667.8349664303528,5197.358521189148,4079.2887175815986,912.1769351084944,-983.3903972655049,-222.38471535555732
11762.565045181462,1334.6691202753257,-2345.8277437765323,-8317.517180670107,-5019.609195797561,3000.77707106507,5772.613207484181,3858.7260171072157,186.9495914655039,-1435.0262780899136,-252.3947490569235
10778.386013767366,1652.921316703699,-4908.111282498987,-10137.65616713814,-3915.9631080078816,4393.370887430816,6243.206351200981,3425.560437986791,-694.9662838056714,-1844.669323496836,-245.39925906867904
9294.371744904656,285.77639322657546,-8312.659273899772,-11334.799395708093,-2354.6779218067113,5724.063603295934,6513.889894734593,2725.0484782132016,-1672.5665917909064,-2133.186881655534,-186.53169289178766
7438.43062811305,-2742.578625337399,-11640.904576842984,-11526.364081545928,-520.5531261875826,6821.514231327274,6480.337058678404,1749.5406997728132,-2620.4602890514493,-2217.472386416563,-68.51062061199309
5523.482663211858,-6275.26573853363,-13849.735210189574,-10674.790771549306,1272.1569127724092,7511.701845351045,6071.384633324042,576.2263214520201,-3363.380994459481,-2042.8806064815954,101.32905817203914
3972.36456107853,-8716.197960911322,-14404.547910879039,-9132.29299295222,2699.7096594618083,7686.9943139745255,5298.174332952479,-622.6622239254351,-3732.8819438182904,-1620.6025228249139,297.1528909600053
3116.6921564824947,-9250.707513115924,-13601.47571081744,-7436.240897625759,3572.7164298324406,7361.183795831625,4276.296165743923,-1626.475413098044,-3649.2567669903383,-1043.1612306520888,479.31095244124225
2981.9277751397576,-8419.403980604051,-12266.114854044223,-5995.378214319204,3910.5006327380465,6671.77686909987,3192.6971001827874,-2260.1054999539256,-3174.798191158506,-455.86413744009405,608.1865840646949
3243.3798336153213,-7465.00121028512,-11104.108905545383,-4908.268378179859,3896.883175752661,5820.964672408455,2227.106313734049,-2477.1077891881037,-2489.8752469354936,6.217924652988472,660.1836397013185
3429.0713939120055,-7185.186321157493,-10291.77392764429,-4029.1868797878965,3755.340608264928,4989.111280551887,1477.1335774188549,-2369.927273020337,-1800.4099342811483,275.92367309995836,636.1797086852017
3230.0117173480444,-7437.253721403012,-9587.246679032332,-3176.725959262394,3633.4859147207985,4272.720970997672,936.6150884216208,-2099.587100109764,-1240.974541317216,369.7494832840242,557.9963229324026
2674.7491675223414,-7576.296849802535,-8719.697604314375,-2290.4051037427475,3563.8760975988544,3677.962315013896,535.8235161062988,-1799.1022538576806,-836.8856556199881,357.83582643805005,456.330645827098
2040.999011333727,-7172.26106781434,-7648.979488491438,-1436.5792348136806,3502.380452958395,3161.2636715817807,207.79298518480803,-1517.597702096413,-537.5585386439357,314.5825812028013,357.62849231502884
1596.1233577659125,-6315.32564416373,-6535.723112722536,-712.3893401694353,3396.356231907941,2681.8810294601863,-66.7155866716829,-1232.1774631271887,-283.12979663864724,281.6540765744776,276.01260502681885
1381.3621924809922,-5407.149239845201,-5556.1861227910085,-156.00322169074133,3231.6978974445487,2232.5924197699824,-259.51014227203734,-903.5103565200418,-54.402694984457355,259.4042320643408,212.3143048387843
1194.5153885106945,-4782.652149411192,-4766.481042042174,272.03877101077126,3037.0316855676624,1836.303463300411,-329.72004025377817,-528.1676176520126,120.17451888950922,222.76348318190475,158.5948423577581
