t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
540.5,497.30499999999995,463.91999999999996,440.34499999999997,426.58,422.625,428.48,444.145,469.62,504.905
-29182.86437709205,-601.6616122772356,-2842.8871663654036,-3608.816250750218,-3312.1200001776,-2370.0036195394123,-1189.2141017176104,-137.70281682528105,508.3292842205553,656.4782770837851
-53379.48913165471,-1732.1336094127678,-5764.112120618667,-7179.045916422647,-6644.104795324841,-4890.004357164284,-2666.554656936286,-676.7505739224505,537.7582838182988,788.9108282955797
-68262.58717905401,-2803.482609228283,-7955.242171517193,-9872.27266934031,-9230.128351481668,-6903.522049323983,-3876.505871083752,-1127.7785931571782,557.4022965101409,891.8107175566283
-72764.24987043059,-3659.5911335433425,-9220.785637738927,-11480.321129902512,-10885.517626121404,-8274.884340268365,-4740.688562086996,-1461.5962703662572,566.774637655066,958.3304522222566
-68382.50996387802,-4140.340699983478,-9541.398003604041,-12003.914699063082,-11596.208766284652,-8978.880113694577,-5236.875578995809,-1668.124797796455,565.1638793152596,985.7217768469775
-58177.730609313134,-4156.307979529587,-9053.375704176875,-11613.798278145225,-11488.878804654036,-9084.561626980507,-5392.58371212285,-1754.7198719440007,551.8020405827713,975.1764576066537
-45519.8341747914,-3728.8588750883496,-7992.845835844958,-10577.943947374917,-10773.99789679138,-8721.283349624106,-5269.411372153003,-1741.1501753570794,526.2896884832239,931.0969210888084
-33129.65562843537,-2977.4022408862047,-6627.423009319839,-9184.835351464171,-9685.158241346353,-8040.848481807302,-4944.542964282967,-1653.3521873680606,489.01902054225496,860.0284677241195
-22654.784583300043,-2069.952346183793,-5197.627995557529,-7685.297685118903,-8432.16264200737,-7186.671080476841,-4494.788529967954,-1517.8335988150318,441.38367026979176,769.5027676199632
-14717.347819421568,-1168.0277691843808,-3881.4043664570495,-6261.909696384157,-7175.055059078193,-6275.026686658867,-3985.9864863344246,-1357.7929276041589,385.7004884045896,667.0033797935747
-9219.08960588638,-389.7168040257842,-2783.737152832969,-5023.412468887,-6017.42142585123,-5388.145857381061,-3468.0914478594277,-1191.1671612952698,324.9027029329692,559.1907581128885
-5693.448745249177,201.9186814407181,-1945.0828237703927,-4015.495025206969,-5012.685024544609,-4575.87927457336,-2974.693954458221,-1030.2428896478282,262.1345934919207,451.4408318182402
-3579.075058982534,591.1436625109852,-1359.2197474279503,-3238.64341770603,-4176.5155199341,-3861.964565593664,-2525.2008586481593,-882.2475953446742,200.37421290983224,347.6779277544988
-2378.0007922465975,793.3561483172983,-992.3290811138207,-2666.1487532260867,-3500.151464853705,-3251.6666988800816,-2128.1093923760654,-750.3843920965344,142.1575579952392,250.43237986538918
-1716.6921457973904,839.361009322248,-798.3798523062064,-2258.60271696889,-2961.713302288459,-2738.7845979535077,-1784.31211366516,-634.9461059188835,89.40940672037691,161.03027633433706
-1347.0268877327412,764.6924466175091,-729.2183508029607,-1973.863562374607,-2534.4523111778653,-2311.103966123535,-1489.8795125121974,-534.3375399689768,43.32885159063689,79.82526693739648
-1120.584008254935,604.5895398550623,-740.0699165289792,-1773.04993313881,-2192.0079024023357,-1954.1020142005345,-1238.1576596272653,-445.9973787040767,4.2453878572887405,6.404387524205987
-957.8511294508158,392.7731501295847,-792.1883456348934,-1623.671745454056,-1911.2016558262787,-1653.0950828610466,-1021.2853342307941,-367.32958280578816,-28.636987989965856,-60.26468961296957
-822.7539305928718,161.29397784565435,-854.289553113563,-1500.820948923459,-1672.9119598256384,-1394.195968533926,-831.4234252138169,-296.81913738371554,-57.64283837934777,-121.73374575095359
-705.3813323822455,-60.69626452332372,-903.4651734163065,-1386.7583618559306,-1461.4104904399646,-1164.5648419890917,-662.1316367213356,-235.48597258802002,-87.10161040621065,-179.9639732757726
-611.7376401969941,-249.4337928376603,-924.8918257255924,-1268.6135687911844,-1262.4542813715361,-952.6079473550066,-510.39160572492585,-188.65897709875566,-123.6489245812297,-237.11176838153705
-557.5388237900927,-387.7509360422587,-908.5371833565097,-1133.6912541646475,-1060.6321891404589,-749.008301210919,-379.62985046966367,-167.66625448744264,-175.90854518433113,-295.11229511189185
-562.503888519762,-460.9208258157357,-841.2698706952679,-962.4892273322596,-837.056909674188,-549.5796089562126,-283.53516823769934,-190.473822045139,-253.02071626577126,-355.0209488281623
-642.1319399922709,-445.5561931090605,-695.2322240556786,-721.1839398635464,-569.2722041044537,-360.5174034585107,-249.38320504887145,-279.8308279772867,-361.6976066536836,-416.20942225473664
-796.1108030401969,-297.5762414915589,-417.73178669619017,-357.5634010997991,-235.55924940894437,-205.2481296833554,-318.27286840129347,-457.63608529962164,-502.1568779517978,-475.69693272202466
-996.43477405534,46.565131522307496,68.28421648072462,194.25780387827527,175.2737511771016,-129.80512830587585,-539.0979874579788,-735.5845911997596,-664.288984544911,-528.0284309675253
-1182.4233410016222,642.4185412794826,845.1032458767687,996.5503786154122,650.5688560072275,-201.6470599642565,-954.5479378742219,-1104.6390667075843,-826.2021452526851,-566.052917345602
-1270.463430154978,1488.5313628276037,1963.0310567033273,2079.893407029535,1142.8920314896227,-497.2566437808897,-1581.514049215829,-1528.2833803433773,-957.0615082974291,-582.6310913310697
-1180.1960857857669,2486.4567958578364,3399.2264099295458,3413.9997130716974,1569.5131814897031,-1078.3917408838531,-2393.3789622286945,-1944.7553649910233,-1024.4675737873633,-572.8105831173812
-867.6552240513374,3450.073996628251,5036.122858791852,4892.398563110596,1827.430798693263,-1964.3053201410376,-3314.035339394899,-2280.1222529006864,-1004.1058481820024,-535.6276196681197
-347.5766904579723,4178.401869799611,6678.235493066555,6343.152213598486,1821.188800989299,-3112.7745620978676,-4229.808630661293,-2468.2863207173923,-887.6245593818464,-474.72064032887056
309.60214849609713,4556.114543323102,8106.1390343831445,7566.164045551182,1492.4527073978704,-4421.017481458974,-5016.531391117353,-2469.4946454865762,-685.1312846398971,-397.4411645534476
