t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
643.505,590.5,547.305,513.92,490.34499999999997,476.58,472.625,478.48,494.145,519.62,554.905
-64432.12142701761,-728.3673985063317,-5807.7034600983325,-8052.436097625105,-8130.778561859124,-6730.659458026041,-4540.530319817501,-2218.5598603525846,-337.98356986657143,706.8872781612197,852.4341665802283
-112912.94804758388,-2312.231846771464,-11087.854942108617,-15126.538312387143,-15359.97187532905,-12885.386039982986,-8895.390786906599,-4596.502477905414,-1083.7541387500437,864.8916234567465,1106.8329887052491
-135222.11628764146,-3981.65753031018,-14440.875562930913,-19632.08512211367,-20189.728412929802,-17205.407008378726,-12084.4347100292,-6396.697020567818,-1663.9501811980626,979.5717135875329,1291.3128392798496
-131699.43845363622,-5238.094662067333,-15528.243964568519,-21236.10697397973,-22283.44099445707,-19391.46749013035,-13887.242464750581,-7495.488541183073,-2039.5636318007382,1041.3079269287446,1391.0681075678526
-110306.9237739862,-5597.28987272861,-14563.443715028963,-20313.670318155353,-21944.272790103038,-19615.932303891732,-14372.262163256788,-7909.0439054146555,-2213.946682677304,1045.8465126925375,1404.5159288711536
-81567.6529186087,-4908.685999335242,-12163.176686785207,-17678.20366933485,-19877.91064440871,-18364.52042070608,-13811.7238795684,-7757.181662203403,-2221.974890077937,995.0390289928821,1341.5384889632323
-54093.65911549586,-3418.8897710759293,-9095.35664124355,-14245.174952975913,-16897.77069611868,-16230.328637671508,-12563.39129653883,-7209.416057762517,-2113.4081068844616,896.750907969329,1219.6951502058207
-32580.65713710751,-1594.6455199381385,-6041.345864616112,-10774.918858830482,-13698.80197555482,-13747.804890737269,-10969.332096403941,-6436.2027404504115,-1937.8060398542043,763.5582708364235,1059.730981640286
-18119.805865841223,116.11054112259183,-3456.168481253909,-7754.951199458825,-10750.450906451879,-11305.505751335493,-9296.72156756132,-5578.022699667788,-1735.1227080501603,610.4704770366002,881.5874158585202
-9622.9538278508,1432.970646947951,-1543.8946588196354,-5403.396299323113,-8292.399591252242,-9130.877776490499,-7720.239861520963,-4733.535726530775,-1532.3724316564421,452.3874039415277,701.6762243547166
-5245.807010799163,2264.9424661108083,-312.7979710788344,-3739.1045975210022,-6387.583920885618,-7318.599098857107,-6332.030796603404,-3961.313763298025,-1344.5108104228193,302.0451019947065,531.6356469730312
-3284.1082115022327,2652.623220804566,341.4601932468125,-2666.808071771448,-4990.273205862387,-5874.083821727294,-5163.562994753964,-3288.2429833872566,-1177.2175462501605,168.88597430489554,378.34233509067985
-2523.5738531698034,2693.402328550806,563.7038641587104,-2046.3912120619725,-4004.0650771587248,-4753.916058994079,-4208.357141127604,-2719.340397260754,-1029.8948579102882,58.85427294903383,244.70811887680807
-2244.6931537243804,2488.0707791285035,494.7945883606487,-1736.3329602140002,-3321.0915081507733,-3895.5772793695573,-3440.1186232558066,-2246.1274782727833,-898.0994136583554,-25.22667181287666,130.75088520207527
-2088.355269372242,2118.513651740743,253.57602382359693,-1614.6730775882609,-2843.801255455537,-3235.7076734798334,-2824.7885843174267,-1852.6048250997442,-775.3723943041032,-83.21217489741113,34.53515759894762
-1909.811126697788,1648.9241767110793,-64.87623528963769,-1585.9672097540404,-2494.47095813265,-2719.089401244732,-2327.06350614719,-1519.0655241085738,-654.9446448420235,-117.65482617071015,-47.24044442112406
-1672.7808521244672,1136.6944498492785,-386.05393573386186,-1582.097719930728,-2217.2540720551415,-2300.8840008812786,-1912.7111771595128,-1224.7558065585602,-532.1209156265663,-134.65209511102034,-119.01975530289029
-1390.838935058984,639.3838370003989,-655.5924362317294,-1561.0716777588977,-1975.2449622269303,-1943.8990294777386,-1548.4244735764569,-951.0540762008736,-408.2154284541218,-145.48286201924267,-186.31480734050513
-1105.1973977295356,209.84894811383555,-842.4833924245193,-1503.0224072809376,-1742.4211651438864,-1612.1375959497925,-1201.7382981518972,-687.3596946844219,-296.3669846927828,-168.2166214017634,-255.3545060070684
-883.1235174580052,-116.58957058058425,-938.8390550417635,-1398.6432588436687,-1489.0974309078765,-1262.7803997856477,-844.8637838368747,-441.53930491055905,-227.87302336527875,-227.4145171460886,-331.935522467083
-818.9352053693767,-326.75744447576835,-945.3831338088427,-1225.2972834986535,-1161.56946220161,-841.6590167581677,-467.08108959196176,-254.16213875764055,-254.7717986791851,-349.3319245772174,-419.17537793412976
-1017.3208296438465,-412.9983436776416,-839.6520366282076,-913.2613516524082,-663.1219802761084,-290.86450634835046,-97.77277026443248,-209.92039760722506,-441.80469098507956,-550.9874599299692,-514.5716118054545
-1543.5244870369393,-352.08588796544433,-544.4861677635874,-318.6865897161789,147.6708018164798,423.25732450163065,166.69225447801128,-432.7832395741628,-842.2988747624645,-825.197778333925,-607.7968906810795
-2347.317961841723,-128.25227063554075,67.17689716660074,767.5454833495701,1422.51293700508,1264.0531334061143,152.35307946887391,-1050.9524712831908,-1461.4677191006342,-1129.166786560212,-681.2827473281061
-3205.0668854680493,176.8107029110147,1105.9507802878259,2550.9248713167494,3247.8891977241765,2083.497037121324,-360.29217500233585,-2132.1431130418687,-2224.853826909344,-1387.0580451494434,-714.8836226190507
-3745.2766100321605,304.80941911002543,2563.429888282599,5114.192957130197,5555.637106888457,2624.922179451238,-1552.0818822429806,-3616.8808607969645,-2977.486055253559,-1511.9296106937354,-693.5406922509053
-3585.8162352769527,-99.72138428787007,4253.462917875513,8307.081708398244,8075.845233705361,2595.076107731618,-3459.78661380878,-5295.946547691676,-3527.3187576628306,-1439.714072463606,-614.2698418648408
-2520.9232064187463,-1211.5652006609116,5870.864008551343,11725.893562320925,10380.427127562927,1783.6713737571067,-5913.766373952929,-6861.532874570861,-3716.5651602427374,-1156.7608649553197,-488.3133635485915
-633.82158395033,-2750.9090599312644,7151.381163727744,14821.349749456267,12011.457344105993,163.03034606052205,-8568.564999328619,-8012.313156851415,-3480.5061454611096,-704.1680449427278,-336.96230248437007
1744.4764041510139,-4010.535725520714,8016.233108279042,17085.304842917303,12628.566998632736,-2093.8664001140987,-11014.224343675123,-8551.957321762138,-2860.1842136872424,-157.53173988087877,-183.58165645871918
4190.811460864774,-4243.147343666125,8582.077969370454,18209.071576327275,12100.653610773123,-4679.463460366602,-12901.216120432176,-8429.16406744748,-1969.2211900210382,403.11134706392914,-46.47946378222167
6348.6183737803185,-3116.74843699124,9030.851002722859,18134.400718099878,10514.579953135746,-7249.60954177287,-14015.978539626833,-7715.3807721100575,-944.1121083651981,915.3509187542584,64.12025069589657
8011.987022588476,-878.1696036802039,9453.743653192178,17002.433733848633,8124.912975460613,-9501.075525487802,-14293.844162103454,-6554.60095477785,92.58214167800162,1341.1074336333872,145.02844547713636
9132.165087306077,1853.9126199210277,9791.30513070069,15063.661867930286,5280.508127563457,-11214.318402070085,-13794.723468802216,-5118.084926898159,1047.6179862498889,1662.635838721532,197.2965835417059
9779.641319694743,4442.870016429015,9892.746404832587,12603.383278481222,2348.1007923570905,-12272.414025952039,-12666.522576584957,-3573.2906686260067,1859.277383278586,1876.1834332615483,223.95185962061942
10089.500103828792,6474.013010482793,9622.046041137068,9896.680358456779,-356.02978857653767,-12663.08394905843,-11104.66658477947,-2062.3859093744913,2495.564286187984,1987.6929874485947,229.02721801921302
10207.674219000786,7795.0482787078745,8928.222530522675,7183.197992024071,-2612.7954399694972,-12462.070620166554,-9310.959582187394,-688.1083865000959,2950.723404189965,2010.1658364097798,217.36347443312218
10252.099489376844,8433.323279551532,7852.358656326642,4653.186881690308,-4315.367962167608,-11800.808222134616,-7459.792514061863,490.65398711000597,3239.0376684920247,1960.995931832295,194.4022639643896
10296.176210229318,8496.465610825147,6495.155887936832,2442.5093145179567,-5456.1398083888425,-10830.13934872283,-5679.6090279914315,1453.3270858880746,3386.532586782145,1858.8671607534343,165.63670024790122
10371.978854871579,8108.3760246515185,4979.379851390013,634.4073793230964,-6099.478735861586,-9691.460637174965,-4050.0575144529193,2206.6211833359775,3423.2051177284593,1720.9891571435596,135.86130116450983
10484.546072767776,7379.920266225603,3425.161096272722,-735.8134412140438,-6352.825518701438,-8499.125526640155,-2608.8943374257497,2773.512331220042,3377.851641859005,1561.3776470687212,108.51245893345202
10628.209237139175,6398.080791833049,1939.551734315746,-1675.8224653001278,-6341.453125499235,-7332.365776461896,-1362.3226359670189,3185.0731569875347,3275.6105457104677,1390.152559159453,85.27964923210561
10798.488508500543,5225.0892424241,615.3445448205457,-2231.429029393219,-6187.692126920069,-6234.331103289666,-295.31728817866326,3475.1426700443467,3137.018995396066,1213.3229037448168,66.00726075650597
10996.658346488524,3907.9335170418317,-466.41497701678935,-2481.6757909665575,-5995.115604448731,-5216.680747268356,619.3835450954009,3676.7714592817574,2977.3230797003753,1032.5469252669377,48.83264203626259
11227.604925887463,2499.576092984234,-1235.8170180977743,-2534.1687979451735,-5838.662068106515,-4267.75814935114,1414.3229007782961,3819.5900939092776,2805.3591524288745,844.7078710579341,30.53445967939851
11493.575135814363,1088.3649499683804,-1641.0755989140562,-2520.9135798546686,-5760.59700360301,-3361.395146639888,2122.7636230320804,3927.5780846241387,2621.8874977178675,641.586343941287,7.146985222507311
11786.164129595454,-174.51234721367865,-1667.983688115469,-2593.692999840119,-5770.0065760604575,-2463.5937219200573,2776.0791419952984,4016.764857775879,2417.6861574750415,410.3207418801134,-25.04775464559941
12077.710761929377,-1067.7360803456534,-1374.4793095916216,-2915.2756336784314,-5842.000914092647,-1536.2336514935273,3401.788418124843,4092.458104620857,2172.1965869801725,135.59816770793978,-68.10329041846336
12313.23161320073,-1341.746459771671,-936.5770823608844,-3638.344131239237,-5913.970922437701,-539.5980552190139,4020.6537964167437,4145.994517588686,1854.0731465794443,-195.6881390698323,-120.77012027377583
12405.70965726273,-843.0563958294688,-684.2090972583009,-4861.2907468296635,-5881.381542232158,562.5729406999437,4641.752112167995,4151.697196177722,1425.235298345399,-587.508820898182,-177.1703206372676
12239.551020180972,282.26402545153144,-1075.6091878766647,-6558.39089195848,-5603.392278215946,1791.8255912704317,5255.3785329645625,4065.395640175937,849.5643208311562,-1027.0117955666783,-226.43012813138313
11688.072763085675,1420.7594120224126,-2545.385433400503,-8509.904569918908,-4933.028492611296,3136.6697362563386,5824.922367508979,3826.602310656844,106.57631831317889,-1478.3613146059674,-253.61820143740982
10651.3696351373,1600.3626778547612,-5223.225325606816,-10294.009433826272,-3778.2686594695224,4532.193122617343,6281.142327606803,3367.987169365802,-790.270872733511,-1880.5040651933027,-242.03816609352742
9117.927941963795,41.389555082057164,-8675.02287911268,-11404.464863823801,-2175.1925659688627,5850.056247376138,6526.0571985407305,2637.447637497355,-1773.482689858927,-2152.452673771694,-177.19909742644245
7234.968259797553,-3114.7007780627414,-11938.369004597356,-11483.170914407416,-326.0059432413516,6914.983188495125,6455.898786851703,1634.39025902926,-2710.568674463734,-2211.825279029604,-52.95555690690742
5334.433931047023,-6610.37797317456,-13988.62243553845,-10535.091554004255,1445.6237307611207,7555.557973582808,6005.523088345606,446.63784851307923,-3422.6446226036205,-2008.897049394799,121.46709858524036
3842.980895462666,-8867.071987047439,-14370.88962476576,-8947.323762723465,2822.038451223348,7674.4397565310255,5196.948105648369,-744.2084442164381,-3745.8197965566696,-1563.4475215262328,318.2272959516788
