t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
1011.3799999999999,928.9449999999999,856.3199999999999,793.505,740.5,697.305,663.92,640.345,626.5799999999999,622.625,628.48,644.145,669.62,704.905
-468230.68225167494,8826.65345098456,-27659.549273465578,-50379.81058182988,-61283.14255701603,-62551.89723867384,-56530.16812239411,-45657.683049871775,-32392.252939070997,-19099.458904591043,-7884.534348544335,-338.9683088310153,2825.813102764704,2281.944208453392
-675971.7056455184,4790.437482367059,-45126.49199997416,-79156.32088452081,-97457.0369748648,-101465.31034882834,-93626.37634224439,-77155.89394226317,-55806.4804679646,-33583.268493105395,-14337.551019644858,-1170.8789777386153,4389.185392079871,3419.188963256479
-586601.6574989791,-4999.222168637186,-45223.7039749515,-77936.54381566816,-99221.00192841307,-107386.3038360319,-102784.72707887119,-87528.27216564673,-65161.10016033191,-40236.49044529893,-17678.13513672402,-1804.5412198368372,5011.877954830799,3880.8120238644274
-359610.3207891874,-7710.818035131122,-30638.418588260283,-55875.67893308317,-76850.33438082051,-88990.64511711514,-90120.31644550152,-80436.8986729129,-62296.09227424666,-39819.70303851788,-18175.121027765108,-2339.2779725924884,4665.98455224559,3686.208968483341
-160976.69876534087,-1145.4770382738004,-10926.170089251546,-28522.141274517897,-47327.94524908813,-61655.12130636312,-67796.59166638802,-64385.80946568733,-52412.48011565849,-35010.108966862215,-16850.3515797913,-2882.0329387844686,3607.3635507627255,3047.630129131349
-53238.27760619069,7575.567835330995,4751.793716196722,-7147.2347121653675,-22877.426959892753,-37104.52099607284,-45832.88170459119,-46980.57516016604,-40543.27315235631,-28563.245805028386,-14751.93151823294,-3438.4725374328773,2231.302961864987,2237.957831539583
-17278.521913652352,12500.819305505795,12745.594581790023,4724.963099054952,-7700.869446345817,-20121.65521201703,-29043.72477978652,-32426.75655670428,-29805.414587655556,-22321.77085812374,-12573.49476535233,-3923.1629392055993,905.7400375839484,1475.3276556571523
-13971.32549620314,12967.007257097195,14389.674275832287,8864.952622996178,-597.3837849025881,-10484.610235909775,-18106.560570697355,-21912.862939079565,-21412.429324878107,-17134.55965858096,-10637.902234217267,-4237.289549355396,-135.11532516750611,873.8767023380425
-17716.888150515737,11149.971612471605,12724.247900917228,8584.163582258454,1407.249048349121,-5991.111563146619,-11749.883685634628,-14977.48832484315,-15401.96461795551,-13185.002704671857,-9031.985062552476,-4327.98350761794,-808.2866466891295,456.1511720348429
