t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15
1153.625,1061.3799999999999,978.9449999999999,906.3199999999999,843.505,790.5,747.305,713.92,690.345,676.5799999999999,672.625,678.48,694.145,719.62,754.905
-817999.0156069495,22140.47419239313,-40138.413201854375,-81462.36740157996,-104240.36635415544,-111318.37875649625,-105863.70786087215,-91266.15549618528,-71037.68861253017,-48686.7513877268,-27538.748890125997,-10471.141049316024,469.0122058520759,4593.997309180367,3271.1599233862935
-1072672.910734212,13147.031036400816,-61820.32366645648,-117700.07138877246,-152759.55846767258,-167323.8729858297,-163440.90228632913,-144559.28007811116,-115221.63876481543,-80728.31243497334,-46693.77286195141,-18406.620671408473,77.79379797802392,7126.300289384427,4911.375270461416
-787930.4899257645,-5344.365722949131,-53372.695718340365,-99191.5419306994,-135157.64056256972,-156322.58226160597,-160585.01471632902,-148526.44597518648,-123108.3852912825,-89264.33942287938,-53291.71214821852,-21882.9350770402,-673.3850005516986,7644.378650500289,5287.279286790757
-374254.7901322568,-5517.771917015166,-23891.970027508574,-53024.93089404051,-83805.56359015612,-108350.74354941018,-121254.06182018675,-120042.97306997432,-105209.93512913598,-80008.76698220117,-49959.44448038406,-21832.563804504898,-1914.1896083577094,6339.291552489561,4593.058119393496
-115401.03947477709,7649.528697433292,5418.349540125787,-11061.85835272053,-34926.47650483286,-58606.36083454013,-75854.45033869693,-82731.70456473889,-77960.38187359106,-62983.62773010076,-41752.415263030154,-19969.166937666283,-3490.9846153756735,4017.7880756606532,3363.4765676192637
-28812.52143681301,16945.21273072228,20840.81222049942,12099.405823850786,-5076.824873966435,-24757.765428186416,-41509.73487616167,-51501.1026075049,-52873.874847910876,-45854.561084340305,-32749.76461576744,-17584.745148238064,-5006.983587131472,1600.8979864216558,2120.800189547838
-23446.590759867337,17128.40041850185,22900.705189464254,18580.710555874168,6831.741204265832,-7854.931471959925,-21320.67879072126,-30667.260653033027,-34363.56377834999,-32145.005168434138,-25021.855760836443,-15281.658723926384,-6078.438400481726,-283.0683298282669,1161.408720496081
-32139.000895496916,12813.572283738133,18675.645061318864,16413.002037615788,8275.139037005843,-2083.8565575279017,-11647.546564418602,-18659.84157028316,-22344.62362075199,-22454.087252193796,-19139.91394111915,-13232.474158862433,-6531.645261614959,-1417.6866030648139,546.6547268994436
-33571.39150907222,8897.331047440466,13758.314755723495,11809.278793929208,5585.959837614309,-1681.005046890691,-7896.968272441236,-12358.671422448993,-15097.484109857276,-16086.840616892263,-14946.965988429873,-11447.88507816006,-6409.0419366283195,-1881.9506742598048,206.77708226602493
-28836.236550204983,7060.172069514661,10123.753478173407,7436.828738360986,2067.226904615888,-3100.4737422366893,-6780.362020644212,-9139.130363131626,-10851.628466039174,-12073.743546190923,-12058.057249374331,-9890.749539198434,-5853.066639531168,-1863.347759901239,45.03113469315108
-22707.948498486203,6687.464855187411,7460.208623980663,3735.7922483912425,-1082.3907149793686,-4647.013690264546,-6453.026389554382,-7327.993169486466,-8325.663469933814,-9600.815956371802,-10077.87941052146,-8482.376768350987,-4982.328233735949,-1525.1455385091665,-11.211481457531747
-17694.410646027507,6400.8756358247765,4899.918809881066,542.965909304624,-3469.4264145976704,-5587.641688334843,-6031.143583004619,-6049.815428860859,-6769.521621701167,-8098.66902191781,-8635.896619954521,-7066.622525066059,-3830.052049803673,-972.4749846571351,-11.125501764804824
-14161.80410454212,5176.305508188797,2141.4294720733787,-1989.1811976331996,-4791.208622788586,-5609.385470290064,-5217.165175988464,-5002.376328751665,-5830.88837517436,-7140.31699387921,-7311.376665032548,-5396.815862728033,-2396.2604209691426,-320.50547230834934,-11.300308643374592
