t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16
1305.68,1203.625,1111.3799999999999,1028.945,956.3199999999999,893.505,840.5,797.305,763.92,740.345,726.5799999999999,722.625,728.48,744.145,769.62,804.905
-1369029.4072546237,46665.566855009536,-54434.722483986654,-125153.4894261438,-168164.93076902055,-186912.53766519576,-185428.80247914567,-168185.29608540915,-139954.6839639038,-105658.75979080841,-70170.39043436319,-38032.95614935247,-13059.376702586664,2224.514772997301,7318.944162625639,4681.867470516369
-1596971.4298371782,24266.99502406298,-79080.82021225395,-163093.93480823582,-222640.1391028442,-255568.74569217573,-262402.68225311185,-245964.76966443728,-210997.1733994507,-163763.09131256244,-111562.15552016796,-62056.13630023428,-22300.07548900404,2582.6721724191766,11045.352212139935,6892.781321684882
-951686.0455254158,-6956.725095300583,-54699.65554824144,-110749.65038101142,-163283.72004355706,-202917.5280368226,-223597.27897095418,-222828.14209995468,-201547.07238688457,-163809.26271422804,-116279.72751338329,-67377.55395746877,-25873.213301014363,1158.1826765495266,10845.74079378398,6888.904862290113
-322027.8480427427,1063.515142296964,-5444.49902110111,-32650.388666963827,-70647.04465988568,-108783.08144307326,-138072.44020108535,-152464.70305845843,-149342.95458822112,-129616.40178460769,-97538.66529893497,-60100.07974735687,-25689.164489360748,-1839.3690517526588,7661.974603829818,5330.159323640059
-63788.407440009374,19634.570822298592,28248.046111119922,17821.384271215204,-6686.675131937506,-37282.47910530066,-65891.32466552708,-86143.36376227665,-94171.75629904379,-88902.02023419995,-72135.93588384705,-48362.281354351275,-23938.701959675273,-5322.6039450040125,3488.231229457646,3341.858613867149
-35035.02769633676,22133.304770880408,34257.446541650206,32286.874819995795,17992.322892896045,-3252.483862201686,-25400.301313594595,-43502.29155640456,-54328.07040623525,-56408.676874401914,-50015.24568295669,-37210.5682005372,-21705.032078542325,-8055.856658477726,18.54182595162024,1733.3327281464967
-53175.08186148204,13707.216867848363,25799.987234989316,27392.176904262295,19279.063258443584,5552.9546371688475,-9322.395795904777,-22096.773669747443,-30955.531880977218,-35059.28265023225,-34116.7481255775,-28418.242714568678,-19289.982161255284,-9392.700381012237,-2038.2860766046745,747.7970186293577
-54680.2355355154,6182.139609003673,16732.467060662508,18579.426517470893,12954.787315085232,3706.0071613747796,-5669.682522206961,-13336.17465820615,-18911.89932804436,-22503.822504045314,-23816.08359798078,-22047.15809975909,-16814.91617726939,-9398.993109492838,-2803.6963684335497,260.93257499523213
-42881.87637846805,3731.6319766177344,11784.50147949535,11885.472452008056,6424.221578448472,-613.0941412563138,-6438.776712280792,-10336.808124745248,-13062.936491351082,-15515.482407264684,-17511.035818722008,-17605.65032992626,-14416.15630685765,-8503.079294779644,-2722.061492407889,64.64738511006632
-30093.452060115622,4961.404273555819,9742.146954937332,7286.953804680202,1244.7131578433607,-4478.351054579174,-7900.281995818003,-9247.260806181548,-10051.325243883213,-11636.316605416225,-13760.767361182237,-14541.923325424455,-12172.945254229842,-7100.650832165493,-2169.7783385251464,17.13501990123052
-21230.242008844456,6987.887231264412,7995.293006181161,3271.5700936117496,-2860.801952206105,-7156.233951989362,-8631.786200079317,-8303.590106315633,-8125.494145264374,-9417.97040193965,-11573.927787133503,-12342.147727391315,-9982.168747179601,-5345.104798179226,-1332.2528459234336,50.51758876192295
-16198.75465039472,7313.837545196959,4980.45121863012,-718.7012172432306,-5833.860711538083,-8286.688162203784,-8112.511812566507,-6897.421865463369,-6646.628493087831,-8204.522952675581,-10274.259394803319,-10397.858642869523,-7481.233221218383,-3190.165670902752,-321.5248419923829,101.9882205168293
-13582.86211790923,5199.407002307122,1228.159696385412,-3736.3690708188005,-6933.772936869991,-7530.972551193803,-6360.903480590581,-5240.226623389624,-5724.016334279823,-7668.944258325012,-9040.734049396973,-7812.704649075439,-4254.96973202642,-805.5516732699288,518.7542827200905,33.99649723901166
-11648.486719699185,2709.9487614953437,-868.1392257449935,-4074.9943658970997,-5459.97797674098,-5125.285862453315,-4243.6837574967,-4212.834647501289,-5459.809945897895,-6782.931033994938,-6366.845384737461,-3827.3710077580868,-842.4359359661591,634.9414203562617,374.13817708696524,-344.5279482751197
-8119.069796731321,3952.0324223522603,1311.3732777957946,-923.9292153179164,-2193.3181441072124,-2845.01320051683,-3388.595668205389,-3868.565373555303,-3760.172063334106,-2641.2656313627713,-1001.1446152054439,-10.013600567873311,-275.49596232038834,-1145.1854237273174,-1489.6636948809407,-1019.5833586301842
-2400.8423992526486,9168.106093878028,5164.7955912581165,1125.6419312464961,-2368.0267803635943,-4369.769977301626,-3460.277026369147,705.5857269722277,5689.456314606604,7320.915440013344,3659.0737384253175,-2644.1570793767296,-6931.477907618697,-6959.793299073591,-4150.2900510754935,-1470.2345729469184
-623.9535165430209,337.31064345606524,-7370.864828879906,-14519.735999300518,-17781.045459301924,-12519.718609944392,2708.4915728842043,20714.43222923409,28053.734357802223,17485.225821755947,-3093.1011775998536,-18231.366222631048,-20058.266470872484,-12716.581701787189,-4697.686238715836,-992.7287727731309
-11891.158651155596,-43837.680637438796,-56494.86948664944,-65547.59237272777,-58047.47415372739,-24504.607306662623,25889.034269563443,61879.178948801855,55326.235173977955,12911.956817585618,-28952.61566130946,-42483.744588335314,-30469.979795713458,-12158.100231081331,-1317.0373764847982,398.18824806199177
-33234.86477507947,-86811.3840684721,-117423.55905364192,-136568.62863840157,-112808.03898258813,-33083.69194145254,65540.44528846267,110984.36414835778,68942.02014515558,-14267.539028929215,-65590.77906738762,-61373.05507553869,-29901.791228382874,-4306.472965812263,4312.351460637696,1912.9951276496672
-47744.61312575277,-77607.65848141507,-138324.72795353996,-180816.79391386427,-150945.37218324112,-30759.231507408636,106897.21058166372,145270.92490350158,58289.12976620099,-54990.24237971941,-96455.95148781825,-65909.64292169147,-19223.71164629836,6565.912085532626,9551.98400171108,2997.295848468463
-37716.865580282574,-58855.66218786499,-124458.97372422405,-175827.20450297566,-146013.95166305674,-10552.706515661961,135531.1584339004,149763.74993427674,26058.24085215374,-94063.07540199696,-110927.88523557755,-56397.232537626005,-3599.760526087135,16806.725984188663,13427.32663020777,3662.738089580271
3121.9630217876597,-81036.41048216997,-117968.33635825607,-142034.84511235537,-99902.09025776044,26231.37218498509,143440.70382433615,122124.4347082872,-16992.385681731233,-118817.04084037265,-105904.25523698912,-37206.502877511746,12431.85353476712,24634.85995535425,15785.85800289432,3954.636588897158
61908.675650003686,-112503.31153278703,-121243.13245658694,-103089.02611465236,-37613.66442677604,64482.67996737976,128366.1440011462,73035.89914895645,-55807.119552295146,-122543.77874643865,-85020.3841275165,-14727.445253552094,25169.573160979584,29011.36696942704,16451.60621879746,3803.083997846554
115197.84996936613,-117874.76702178891,-112510.85393786486,-64940.0542592153,16505.481224946918,87131.50629817182,95442.7824619988,20654.311247984373,-78684.37429917183,-107508.11786653177,-56844.90060054142,4912.896922843158,32608.6197671309,29822.246938805692,15508.777623052996,3226.172234053166
146321.41763262392,-101314.37847228938,-87567.7530133557,-28536.410412058143,51463.47891827732,88079.02801351521,55205.2856640373,-20061.572653316543,-83048.45019626984,-82190.97145985709,-29806.48641140053,18485.959415716847,34920.82313287479,27849.760652627345,13372.613388932426,2369.10075485824
152680.37453038292,-76779.54672602666,-56525.51178737466,2161.2088336173733,66979.41327315752,72242.76482988594,18075.195226265005,-43181.67711093102,-73745.37433385798,-55354.44128672181,-8661.359424148171,25850.396994577357,33568.29054835179,24213.636605559037,10592.272445803637,1430.9084211309942
141112.9029469516,-52101.37152767049,-28498.692398711428,23606.46037557639,67591.50873711293,48503.97131401641,-9561.973451580443,-50407.99225712419,-57931.35834134118,-32465.14645452614,5567.301468221737,28495.060203630423,30180.585107977993,19894.04679729732,7679.684870511633,598.3257578254032
