t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17
1467.545,1355.68,1253.625,1161.3799999999999,1078.945,1006.3199999999999,943.505,890.5,847.305,813.92,790.345,776.5799999999999,772.625,778.48,794.145,819.62,854.905
-2202490.084937798,87860.85020973801,-68814.96098979434,-183535.23696570031,-258784.4621367778,-298327.84287314315,-306944.2443134873,-290202.77159954136,-254267.15516398707,-205701.54740209028,-151242.58189365678,-97496.13642378742,-50514.10088068356,-15207.942406579437,5436.236963257632,11360.077587734373,6644.789293144512
-2229796.8591713347,35248.939827642775,-94649.90528111093,-210443.3420569576,-301892.909721688,-362584.5808721434,-389854.5992444925,-384477.1686936423,-350257.29649998085,-293583.0364563401,-222905.02401398943,-148044.3035185676,-79197.2151824837,-25523.79221677583,6712.184165080769,16329.78492035196,9404.628662989677
-1020612.3198452124,-9384.687680403393,-44550.896166588245,-103194.35643792138,-170264.646200415,-231630.58945752375,-276159.01295908337,-296727.3292287501,-290535.7341820205,-259037.04146397472,-207622.7738020742,-144994.39812219457,-81999.17073836837,-29701.22614517955,3348.3811603742456,14270.778021120086,8533.976879021442
-219463.779096692,13478.293862911238,24751.899580828784,6925.3565725685685,-32191.769714446673,-81012.09452685545,-127727.36457520688,-162638.04331480773,-179353.03712242807,-175287.5917813472,-151809.47307746916,-114088.45161578676,-70399.69805767224,-30511.618106206544,-3005.5732829560593,8031.026767004557,5707.274045670037
-48774.827184173206,28418.373106319672,49317.233334317454,49790.7810289683,30846.800099216813,-932.9346991567991,-36950.31803925515,-69246.83153032299,-91871.67219516511,-101354.01541531862,-96829.14572781126,-80113.80857318397,-55624.47028570361,-29727.28329643345,-9119.458464273635,1694.1963410685132,2943.824637319977
-79396.21320286921,15870.972940766009,36437.845965046545,43965.08742773232,36810.5553205859,18854.05563967053,-3925.697579027724,-26080.14195753254,-43801.12913570709,-54885.06088725179,-58290.02636429747,-53907.733346078436,-42799.94859764511,-27643.292542758267,-12667.276653677936,-2336.0719940228137,1198.706747954377
-87113.97449375471,1056.6835709970233,18969.138268293875,27299.161316172067,24439.850520944732,13811.566328376774,243.81618787380964,-12612.597762605672,-23063.320387528474,-30759.358181252763,-35543.0207808411,-36653.94600660166,-32991.8781047772,-24459.348422095307,-13323.357957600509,-3873.4677909263964,394.23120468587695
-63406.745319079455,-3570.0559308156935,11018.487701387392,16684.998291663018,13283.329081315112,4916.530798138284,-3951.4995777431436,-10841.794715427919,-15635.956538979879,-19519.091062758504,-23300.89360816846,-26155.461673839964,-25855.913516257075,-20752.95880841743,-12044.880502793203,-3824.463105753102,107.9169362187404
-38751.90377521368,-364.8840152137306,10489.986310471397,11985.28548213471,6184.5238340430105,-1982.648007152187,-8475.63488618337,-11833.787707490877,-13060.90503728388,-14296.657123934316,-16895.209980106887,-19977.26554443285,-20785.166181212393,-17114.793009228943,-9901.815239887046,-3052.836576498153,38.75130708364149
-23663.50617980691,5458.603713276012,11615.601268718492,8647.781920328836,771.6029645794458,-6951.443092329849,-11444.274151812513,-12346.899253783015,-11476.241441346676,-11393.715701140309,-13440.41220787884,-16385.43381591872,-17173.741980190058,-13747.862523857624,-7415.912051218201,-1948.1970301857962,79.0871563073818
-16100.880965145505,9511.364984597321,10238.576519841587,3901.4353576016924,-4319.324737419414,-10314.18325718956,-12414.648099329688,-11340.51829958035,-9463.138334222906,-9305.755278745892,-11588.698818314695,-14302.562840353618,-14263.21362360146,-10252.992910607845,-4505.249737973672,-576.4325471306477,184.24628879741417
-12876.432370507744,8959.081236906197,5491.573672982186,-1700.0107159766683,-8127.216171957908,-11287.665998482917,-10916.346288716226,-8629.18240750697,-7035.156848464511,-7993.86118728214,-10853.721144255454,-12626.329609728813,-10734.190980955476,-5785.428019795606,-1078.9104939475599,774.5868215659978,194.86281019596038
-12685.499612087562,5025.539109986038,462.8305046163232,-4972.104905993448,-8347.816859238605,-8734.271165807248,-7011.380368192001,-5281.40727985662,-5543.134827044815,-7897.5777219113725,-9999.360573559457,-9102.454682627844,-5034.792956828576,-571.0351468307358,1475.480850585128,945.1912394948168,-215.0605856815243
-13321.732450250316,4435.508989500816,1118.1080380717526,-1890.4182847886825,-3235.8130641271896,-3238.7166810105696,-3158.7926551210094,-4060.720583769907,-5670.088150600127,-6326.055985270473,-4661.90636276092,-1442.8889736582912,917.605360534335,916.4669164406829,-547.0377022463258,-1480.8240612595962,-1125.8821030278136
-8645.650680984854,13118.983401142877,9151.0690492352,5247.407704688323,1460.6442267360812,-2338.270098068371,-5030.114558333075,-4401.442906730843,442.4438366948012,6610.679763186338,8801.748148892053,4436.691172283475,-3318.77722174273,-8687.251052774878,-8738.027879918203,-5141.812108147677,-1701.1187625630685
1886.6873551755111,9382.84576429888,403.5032939849907,-9935.501633479671,-19702.847204418842,-23296.59651211418,-13825.781183364763,8810.000128914044,31765.57256013861,36718.42211693835,17968.982115360985,-10146.507623476344,-27552.529691813816,-26897.355682255733,-15655.816571311887,-5045.709661945021,-770.709796461373
2210.4705083397503,-28587.00442550806,-50994.26442817079,-78017.34587577458,-93553.97767681815,-75979.88614882296,-17240.5412556868,56022.69975687905,92522.55457419423,63869.051670770496,-2798.6551062524345,-53222.368917758904,-59988.43904499295,-36905.13877354285,-11479.811124139516,999.0368286966301,1369.7933169087623
-18064.873358498193,-23826.21395023621,-88006.67611147386,-159611.185687181,-193149.87555671093,-140066.95777979828,-3816.330222629943,128663.06573029241,152719.79227687418,59033.56252933835,-56317.67183347803,-103130.5507749523,-77235.27698436796,-28945.635822842873,2186.1391517381744,9051.125912189771,3317.3892128619054
-42129.61473665315,37643.4741940024,-65096.104614059135,-185428.3895884347,-248603.873644082,-172681.45193376832,26410.708916296342,193028.91597702182,178072.59378612525,18025.128261527352,-118456.14955971636,-134774.2903610349,-71762.07029929644,-9078.826212169248,17625.937344767324,15633.702165666205,4595.413970972945
-38415.627455126254,18783.914739945627,-64866.79225177164,-173387.44736207626,-229934.637020027,-141106.59054963157,71802.17831177985,221279.50488476985,153215.298173335,-44202.74036599244,-164179.00999080302,-137432.23778809293,-48366.04197641409,14516.478485096399,30748.545737559194,20242.595051246328,5387.699370516421
11386.81783494946,-68127.38858807995,-119690.2180739254,-169163.50665231026,-165602.77785188274,-56937.62353250156,118729.78663540025,200749.34058533734,86063.84294975022,-102843.76915193543,-176307.20650500487,-111985.82276177088,-16209.274259207352,35077.24828890176,39222.323500807724,22431.57356612949,5547.036591673478
89762.77644907405,-120022.64674779576,-160097.35613492673,-160692.0427117671,-91123.93686152995,33311.926283535955,142474.22741788038,140618.6503880217,6976.872721648275,-134522.91570510116,-153956.90182550158,-71164.80296703518,13245.028928524043,47517.75101514448,41801.86843224008,21865.547906681535,4942.403825746408
160016.01628693554,-129013.99713315969,-154751.68360071865,-127221.69015216046,-23847.319290931548,92673.40606525741,131433.7143262715,66763.52302183224,-53264.97887702396,-133433.42164080864,-112132.53284185744,-30933.836967273255,32796.61625744897,51049.09911622332,39325.95260643566,19049.744475592364,3749.3646301697795
198030.3423975872,-118495.22366098607,-122517.9262765794,-77779.93331299342,27571.35255837718,112891.32464446219,94658.56812576257,3488.634039163397,-82194.54410871454,-109931.47009998381,-68269.33930472229,-706.2923130758597,41817.15381341407,48155.21643578021,33755.19331284808,14937.620997774116,2304.9649113416726
201644.88553492326,-97310.71155797297,-83417.33141343361,-30662.56523451163,58566.98998012733,103775.79208141494,49566.84037536421,-37347.49505970317,-84277.52484563291,-78407.00940135059,-32754.043362881275,17809.89341871,43237.913994146795,41919.9044570474,26920.062298324934,10465.899857591166,959.2134737761235
181842.08054171037,-70902.41585804938,-47808.32902317132,3934.89846183247,70364.16302968415,79291.06478264206,9953.36492510925,-55380.652595081054,-70769.70041989011,-49214.461867958846,-8428.705788196423,26984.305962496852,40366.90198221559,34579.2610486417,20067.78861294056,6362.221727947357,-28.732137160847657
152033.72371883522,-44944.35753910218,-20489.1899076951,24515.52088642522,68574.4061053813,50448.60079804361,-17723.70085460051,-56365.29243984574,-52161.26894095107,-26992.957778597793,6252.280811518448,30125.263744399883,35626.067709998206,27419.950960532777,13963.02770901082,3111.0396564769844,-553.2365234293808
121833.58615147416,-23626.764038763664,-2797.5544138017,34462.065586013705,59349.1916947311,23434.360122065133,-32543.51789266465,-47551.63133612362,-35177.49924818569,-12090.882523977427,14304.298711635478,29990.63095982323,30486.545163053463,21113.278893444174,9040.030872268944,917.1521977496438,-672.5252671799118
95748.03407127006,-9482.555715875162,6907.690265555723,38651.68049771849,46333.110905427464,917.2725505275428,-36199.3840366503,-35244.57187959149,-22610.725072576326,-2666.0834741871313,18522.699465971895,28459.89277696432,25811.04450178474,16027.575286976024,5451.576301654476,-346.53871845007404,-574.4865247973796
74654.41203308478,-2852.409069044299,12945.955086353155,40317.83982254489,30194.504957927347,-15500.879009343744,-31433.882364372555,-23860.92415319502,-14385.918282834335,3575.866962365534,20934.465315338108,26803.002886618193,22198.013592493946,12312.705854959951,2939.5465681325986,-1192.4573404827518,-516.6062871683623
58019.88114164229,418.9560640129296,20523.158809191853,38606.11657742574,10704.829029290315,-23941.346270755224,-21684.86116093227,-15844.144105055751,-9061.120044557743,8622.621995642538,23161.22962255464,26157.607266330953,20082.14917846239,9585.976714348602,503.0753052757387,-2494.62292133536,-726.2423933435002
45647.44982063933,9792.984712703641,30296.518231038146,28098.886689666822,-9486.858330466874,-22493.32398608532,-11826.470100519262,-12503.692058164923,-4533.717966838198,14729.913967690743,27178.378614042187,27704.137479193825,19185.72311230696,6116.296543598597,-3795.5595831258315,-5071.7597040110495,-1204.9987395814921
39051.988984478136,25312.0659444858,30448.21964838064,8150.275994865117,-19928.26363793373,-14870.596311447547,-10679.675337081215,-13371.799462667108,3221.054154824227,25348.151116659265,35278.99317455736,31543.04068129222,16768.231833495876,-1956.7012876258427,-11833.959848941438,-8487.03013626,-1450.5817265214444
41257.62789485395,24040.0592619335,23243.9018096948,4051.918962077899,-16676.14350738989,-22114.991735054693,-25889.0898364873,-11895.336389350137,20135.001558051907,43306.943509532946,47208.535676811014,33189.716249985206,5803.012005824422,-18412.697937652083,-21631.767772351213,-9434.934722950142,-410.9285057558575
