t1,t2,t3,t4
78.48,44.145,19.62,4.905
83.89292353542213,43.773564288402426,17.182833229206345,4.101678964124153
88.96593052387928,43.146595429445654,14.587786276996123,3.2516277931735518
93.63026211397103,42.25152128586982,11.844023604430985,2.357867879766144
97.82243806188056,41.07879815085751,8.962672229549362,1.424040195456029
101.48539565975267,39.62203459969038,5.956653948770494,0.45435029749562705
104.56947117623908,37.87805238764146,2.8404794315861723,-0.5464990321718215
107.03319837673568,35.8468844738949,-0.3699900793934612,-1.5733856247370772
108.84390517703044,33.5317120464731,-3.657806805557764,-2.6208540444238704
109.9780965601148,30.938744095495245,-7.0052188815348515,-3.6832075773908457
110.42161922838721,28.077044571927274,-10.393963503473566,-4.7546035508436235
110.16961074550566,24.958313427317073,-13.805562962769535,-5.82914941304905
109.2262428313398,21.596628820393782,-17.22161593296721,-6.900997067697786
107.60427472841401,18.00815847603094,-20.62407682223533,-7.964433105881504
105.32443792230254,14.210848582004354,-23.995516681968006,-9.013962805873891
102.41467779029145,10.224098713673657,-27.319360034623365,-10.044386061905076
98.90928085274423,6.068431102811312,-30.58009300506934,-11.050863742947392
94.8479181548163,1.7651621413382586,-33.763439259669816,-12.028973354623865
90.27463592010072,-2.6639166310218165,-36.85650142512968,-12.974753264763589
85.23682405787034,-7.196841623081658,-39.84786682520082,-13.884735139413415
79.78419148693074,-11.81175888810198,-42.72767749204741,-14.755964606115938
73.96777471630314,-16.487179967892462,-45.48766544048836,-15.586010501762031
67.83900287843105,-21.20220850802665,-48.12115510485883,-16.372963362534062
61.448838642531065,-25.93673534169818,-50.62303560545263,-17.115424065324472
54.847010346212734,-30.671600778291708,-52.98970611861223,-17.812483728362334
48.08134646794533,-35.388723804549365,-55.218998064214574,-18.463696121257165
41.197219400772326,-40.07119878689676,-57.31007809718355,-19.06904392156789
34.23710153516331,-44.7033610351799,-59.26333600340372,-19.62890018895387
27.240233044194152,-49.270823239238155,-61.0802615685132,-20.143986413536425
20.24239758453264,-53.76048531480278,-62.76331432853474,-20.61532843836025
13.275799447435517,-58.160520593794736,-64.31578984527641,-21.04421146388496
6.369033550016852,-62.46034157022816,-65.74168579974678,-21.43213522291818
-0.4528619446875952,-66.65054857412872,-67.04557078678135,-21.78077027512004
-7.168281667144113,-70.72286480221551,-68.2324582463018,-22.09191621873267
-13.758869617369445,-74.6700610973203,-69.30768750217702,-22.36746246054568
-20.209288307387297,-78.4858737512378,-70.27681341728709,-22.609352029556796
-26.506952277922046,-82.16491842072394,-71.14550572910929,-22.81954877065266
-32.641737267418655,-85.70260300613077,-71.91945871691549,-23.000008116228333
-38.60567554179518,-89.09504205839278,-72.60431147935805,-23.15265150925101
-44.392646949049166,-92.33897496345037,-73.20557877667164,-23.279344443110958
-49.998074204005114,-95.43168981328293,-73.72859211897256,-23.381877993006043
-55.41862978784048,-98.37095451795864,-74.17845056274413,-23.461953641058177
-60.651960708693544,-101.15495635087383,-74.55998051097814,-23.521171142630294
-65.6964362486101,-103.7822507561354,-74.87770369628346,-23.561019143593835
-70.5509227441482,-106.25171988861884,-75.13581245693084,-23.58286823633469
-75.21458843036449,-108.56254100890092,-75.33815138866382,-23.587966134507408
-79.68674043023992,-110.71416452202156,-75.48820446494148,-23.577434651173316
-83.9666950970498,-112.70630113576884,-75.58908675952404,-23.55226818010084
-88.05368211395758,-114.53891732580992,-75.64353997231255,-23.51333340374881
-91.94678201797699,-116.2122380365108,-75.6539310465448,-23.461369981915407
-95.64489613724848,-117.72675532278674,-75.62225326749608,-23.396992010412003
-99.14674730369508,-119.08324145490236,-75.55012934471297,-23.320690077719412
-102.45090912080862,-120.28276486977282,-75.43881609686727,-23.23283378783471
-105.55586102380536,-121.32670726362969,-75.28921047628731,-23.133674657983697
-108.4600658648094,-122.21678008592255,-75.10185678522419,-23.023349339254267
-111.16206629071287,-122.95503871612813,-74.87695504443634,-22.901883145323325
-113.66059576138085,-123.54389268557647,-74.61437057358033,-22.769193908253257
-115.95469969019467,-123.98611044576029,-74.31364492937905,-22.62509620988791
-118.0438618903187,-124.28481738129028,-73.97400841914187,-22.469306061865495
-119.92813129409122,-124.44348601602533,-73.59439446182245,-22.301446125986597
-121.60824379698657,-124.46591765903588,-73.17345610467542,-22.12105157905338
-123.08573407966144,-124.3562150747645,-72.70958501937291,-21.92757673189286
-124.36303239880539,-124.11874612864423,-72.20093329626951,-21.720402510801726
-125.44354162451845,-123.75809874316633,-71.64543832897391,-21.498844900983567
-126.33169024926275,-123.27902788597238,-71.04085103366302,-21.26216443575772
-127.03295770590738,-122.6863956858832,-70.38476757945313,-21.00957679267593
-127.55386910769484,-121.98510611924367,-69.67466471906972,-20.7402645286831
-127.9019574505673,-121.1800360121353,-68.907938705188,-20.453389951829305
-128.08569237871293,-120.27596434939127,-68.08194765999502,-20.14810908774119
-128.11437577882248,-119.27750205618293,-67.1940571372927,-19.823586656282213
-127.99800570006613,-118.18902451192896,-66.24168848198043,-19.479011928968283
-127.74711135022314,-117.01460906223645,-65.22236945573107,-19.113615292335993
-127.37256314275257,-115.75797970900992,-64.1337864652153,-18.72668529829463
-126.88536291021103,-114.4224609822967,-62.97383760569943,-18.3175859413251
-126.29642040067434,-113.01094273459977,-61.740685623645135,-17.885773866025197
-125.61632298226209,-111.52585725817437,-60.432809812322766,-17.43081517869454
-124.8551060484725,-109.96916972095552,-59.04905578924592,-16.952401515017094
-124.02203190445007,-108.34238246332367,-57.588682067643596,-16.450365003836854
-123.12538489374074,-106.6465532145945,-56.05140232953842,-15.924691765642578
-122.1722901827102,-104.88232679533503,-54.43742233754911,-15.37553359443115
-121.16856295744898,-103.04997939051246,-52.74747048730488,-14.803217493444338
-120.1185938239166,-101.14947402987053,-50.982821102007485,-14.208252768752779
-119.0252749707499,-99.18052551519635,-49.14530970344913,-13.59133542920462
-117.88997020498665,-97.14267270627916,-47.237339656526714,-12.953349695803057
-116.71253036601401,-95.03535583209649,-45.26187977249034,-12.295366486621964
-115.49135393395214,-92.85799634086479,-43.22245266414509,-11.61863881300998
-114.22349095270276,-90.61007674742699,-41.123113867338006,-10.924594096844782
-112.90478676368734,-88.29121797975627,-38.968421969943755,-10.214823494517068
-111.53006056944622,-85.90125186431075,-36.76340021445697,-9.491068388553291
-110.09331258493019,-83.44028661446411,-34.5134902553841,-8.755204279709815
-108.58795254539571,-80.90876348542116,-32.22449895036975,-8.009222378468237
-107.00704166576199,-78.30750311801513,-29.902539237473214,-7.255209252816655
-105.34353981287485,-75.63774049552144,-27.553966294241086,-6.495324937009166
-103.59054966726188,-72.90114786381854,-25.185310282404302,-5.731779942048859
-101.74155000463973,-70.09984539731119,-22.80320705175072,-4.966811631793967
-99.7906108927996,-67.23639981310703,-20.414328206113275,-4.2026604382119
-97.73258453487327,-64.31381152759309,-18.025311923166832,-3.441546385297295
-95.56326664180534,-61.3354912986131,-15.642695869116007,-2.685646373948972
-93.27952452311698,-58.305227591466036,-13.272853462112266,-1.9370726505771236
-90.87938947915967,-55.227146139636915,-10.921934618404428,-1.1978528417345842
-88.3621124927341,-52.10566333651643,-8.595811967922527,-0.46991188734547573
