t1,t2,t3,t4,t5,t6,t7
290.34499999999997,276.58,272.625,278.48,294.145,319.62,354.905
-1343.2754129129385,103.05634027258708,31.19210358294559,80.70300479654173,188.41437259689883,296.65456851175725,365.38397752975493
-2883.1227849321263,-71.69763136821031,-205.9996170109413,-113.64700065002569,83.44810270133758,272.24325097876937,373.46093226714515
-4243.482493092815,-242.1892385935135,-430.6545291861986,-298.21141980140067,-17.53288689665962,247.15884683654122,378.89398712320843
-5357.499457095168,-402.79335140253943,-635.347122538032,-467.32809774239695,-111.60048046263023,222.15546770501248,381.5054589807109
-6182.89358016926,-548.1613309982919,-814.034743502438,-616.3925048781107,-196.29473722897086,197.91930664536352,381.1853605338726
-6704.062507895932,-673.6674650096878,-962.4238282686408,-742.1057775465113,-269.75146627781,175.02721594096323,377.89042646110636
-6930.607337516608,-775.8171059516458,-1078.1538804730183,-842.5899343606892,-330.77212787885236,153.91693799506385,371.6395418653566
-6892.94499130217,-852.5440778189436,-1160.790701276056,-917.3697375113968,-378.8341621970033,134.8711012376279,362.506668326041
-6636.08118779878,-903.3469896468291,-1211.6471964766743,-967.2379980510525,-414.0472917598351,118.01522170374992,350.6123794938318
-6212.750861893319,-929.2472279633927,-1233.4713253645896,-994.0337536691416,-437.06706528983295,103.32826543405952,336.1149744593521
-5677.008784374592,-932.5855541434854,-1230.0530636252925,-1000.369146748796,-448.9802167511864,90.6630724995226,319.20189626432494
-5079.051172900921,-916.7006462296931,-1205.8046632721234,-989.3409546805337,-451.17717929445007,79.77324865419592,300.0819123407755
-4461.6732342904725,-885.5465692085833,-1165.3622820523162,-964.2577501121744,-445.22568010554926,70.34300179593131,278.9782694873109
-3858.413397987724,-843.3063932243987,-1113.2450093169705,-928.4054842553691,-432.75642098422196,62.01674511197493,256.12285350384275
-3293.1675411971864,-794.0488614256866,-1053.5927638017124,-884.8649282654416,-415.3681987047422,54.42595502681709,231.75127491510807
-2780.9029219906056,-741.458793815439,-989.9904829928863,-836.3856060399125,-394.55614572558693,47.211590853968204,206.09876002586037
-2329.0561608927474,-688.6545498264774,-925.3745822571279,-785.3137690411934,-371.66359768645464,40.04120346595877,179.3967315790535
-1939.2359625638815,-638.0910090000931,-862.0098830430258,-733.5671358760983,-347.85571428807685,32.6205714452219,151.86999247370568
-1608.9352247821225,-591.5362010514762,-801.5211848073484,-682.6465488994071,-324.11147897522767,24.700242082741838,123.73445926832247
-1333.0572948738284,-550.1044063582582,-744.962803765618,-633.6740290589142,-301.2300067087936,16.077702744274333,95.19541648913338
-1105.1544317029418,-514.3275867740331,-692.9107963015603,-587.4474056428768,-279.84703108980506,6.596081173278506,66.44627313514725
-918.3500781619632,-484.2490809093801,-645.5652341414027,-544.5032048655067,-260.4578207327585,-3.859691678262422,37.667801162925045
-765.9660997433973,-459.5270993039344,-602.8529390359238,-505.18132473292155,-243.44339691766936,-15.36837898741961,9.02782836842469
-641.9034383798704,-439.5393041777926,-564.5238858848037,-469.68685515648787,-229.0976295542808,-27.978818589976512,-19.318647535960103
-540.8345479115894,-423.4826047465858,-530.2366797036675,-438.14600808835576,-217.65345645950885,-41.71651241608377,-47.22895466596226
-458.2642743184105,-410.4636328860294,-499.62999121699903,-410.654403974649,-209.30701998657173,-56.589823539583776,-74.57187099631673
-390.5077082004327,-399.5750875274131,-472.37770030460655,-387.3169023050852,-204.23889355529806,-72.59520361262886,-101.22637438342502
-334.6229017920743,-389.95170884986794,-448.22600899363914,-368.27879712628726,-202.63174999104703,-89.72084568402282,-127.07999453021053
-288.32574431429714,-380.7980787943204,-427.0113026810311,-353.7485703046668,-204.6837954504056,-107.948095266606,-152.02673165485382
-249.90503919520194,-371.3801992477681,-408.6584261736918,-344.0125454049177,-210.61707359163285,-127.24989739128982,-175.96451996674026
-218.14831346454847,-360.9754772646713,-393.16057536705597,-339.44173350523636,-220.67938763695838,-147.5855747583141,-198.79226490933524
-192.28290232525825,-348.7825771895896,-380.5442610036948,-340.49091455805245,-235.138198160817,-168.89140470279733,-220.40657880920986
-171.93188033583752,-333.803742044735,-370.8255577926989,-347.6895661350434,-254.26459978809126,-191.0668728108704,-240.69847642570895
-157.07992601720406,-314.7260583609383,-363.966552027586,-361.62368970135486,-278.30558568945133,-213.95718086771632,-259.55045098535714
-148.03993291139886,-289.84110091184976,-359.84269995574914,-382.9070278956633,-307.443522236076,-237.33356112238002,-276.83449712589305
-145.40734093679174,-257.04917603492584,-358.2317566202621,-412.1398536268186,-341.7432755203146,-260.8740807028714,-292.41173170363953
-149.98663695535782,-213.98947676725356,-358.83227117841403,-449.8537698725095,-381.0898039054108,-284.14867680083574,-306.1342361936467
-162.6747455315135,-158.31734195575228,-361.3141581809659,-496.44212742676535,-425.12204781930154,-306.61282022034504,-317.84956791856644
-184.29080310785193,-88.11529662576562,-365.39617627557936,-552.0779646006096,-473.1720825444427,-327.6141156932746,-327.40805358015655
-215.352258976909,-2.38224668474399,-370.9368358604555,-616.624731367278,-524.2209366947636,-346.4150537279717,-334.67252108843246
-255.81307148140925,98.49310652545046,-378.0185615638433,-689.5489992048803,-576.883272893831,-362.2329801412766,-339.5296211004924
-304.7983993725359,212.3890260697873,-387.00220240886654,-769.8479619815167,-629.4314756581547,-374.29538755071235,-341.90144520393545
-360.3866901864335,335.3437403271538,-398.53186817838844,-856.0066063011488,-679.8652566748558,-381.9053963330635,-341.7558759537955
-419.4981193759244,461.7506219271251,-413.47880237838604,-945.9988187978134,-726.026048391513,-384.5095165414746,-339.11409173326547
-477.94229143278113,584.857170025907,-432.8260170037329,-1037.342712245499,-765.7473713634207,-381.7582113857721,-334.05392990962247
-530.655549135576,697.4978836754896,-457.50959404671147,-1127.213230304675,-797.0247677247203,-373.54994657524423,-326.7083507084151
-572.1218826770382,792.9333089882279,-488.2440737902472,-1212.6057512162636,-818.1836738544314,-360.05144066855297,-317.2589448592746
-596.9294303384942,865.6410007506037,-525.3648585653682,-1290.5348842471735,-828.0222334274657,-341.69039401038435,-305.9251543376729
-600.3784913680535,911.9165480208911,-568.718332749613,-1358.2452008018354,-825.9091173558525,-319.12133553815806,-292.9504862748498
-579.0380875164615,930.1893958713241,-617.6209291355747,-1413.407204541637,-811.8233997854146,-293.1694527546827,-278.587383439455
-531.1532271229386,921.0239220748831,-670.8942275473253,-1454.2734352142675,-786.3329248864865,-264.7604756601038,-263.0825125721186
-456.83375812776296,886.8416948014099,-726.9681425202341,-1479.7759694834217,-750.5173008267616,-234.84626459220834,-246.66404883865977
-358.0003272818706,831.4491248580277,-784.0321215228839,-1489.556271095027,-705.8496008432729,-204.33551344807987,-229.5321303033678
-238.11108215747072,759.4764296317002,-840.2076619771988,-1483.929116174508,-654.0555269416426,-174.0371564879638,-211.8531254754218
-101.73157556036809,675.8286470210004,-893.7151891476742,-1463.7918147251112,-596.9696002292985,-144.62121062317397,-193.75780502749214
45.969084854324834,585.2244028661489,-943.0134468955054,-1430.4963263879115,-536.4052469954555,-116.59859168199964,-175.34302861318457
199.7130827627555,491.8638363043875,-986.8978489448384,-1385.704246933813,-474.05055483851334,-90.31856755554702,-156.67621355045753
354.53447280703745,399.2337479214212,-1024.5531686643158,-1331.2432085438518,-411.39542754409695,-65.98042402410647,-137.8016725041895
506.08719994187163,310.0327842648707,-1055.5634004494493,-1268.9790289863045,-349.6902447892982,-43.654836095101615,-118.74788664520587
650.8300631190187,226.18535346408177,-1079.8864267183594,-1200.7124241104825,-289.9319114377432,-23.31032524700649,-99.53488759683086
786.1000323316251,148.9094443894538,-1097.8031105892105,-1128.1036825735432,-232.87079779727873,-4.840822589394264,-80.18110980898471
910.0980488928482,78.80781425752198,-1109.8502165421833,-1052.6244077097513,-179.03145298044015,11.908560842672529,-60.70929595521168
1021.8151132241477,15.960559512952745,-1116.7451091174362,-975.5327140630685,-128.7406919467996,27.11924426778296,-41.15124918352489
1120.923542864159,-39.993311225712006,-1119.3084181675704,-897.8670620541358,-82.1581399719393,40.9809607201604,-21.551397511077013
1207.6520279044464,-89.78927338152332,-1118.3894014008767,-820.4538241417412,-39.30602960889087,53.67737797573349,-1.9692513926937707
1282.65634895031,-134.4835807065756,-1114.7977902367068,-743.9241930961115,-0.09659899172515907,65.37481035261672,17.519107855981822
1346.8920963838802,-175.40700373070453,-1109.24533749156,-668.7367456364627,35.64336302879241,76.21306224875482,36.82036808973432
1401.492048481914,-214.1195517741293,-1102.2997619476732,-595.2026302635271,68.1504813982377,86.29746901571883,55.82405504188455
1447.6488491366486,-252.3604965804188,-1094.3529507559097,-523.5109227976177,97.70447102149518,95.69139525955777,74.40330468593103
1486.5027708912685,-291.9898368391686,-1085.6039199114173,-453.75228671096306,124.60853014405589,104.4087642029991,92.41641427504466
1519.0342217952498,-334.91937063123146,-1076.0551863996382,-385.93981948351495,149.16945252384934,112.40660207307573,109.70936421657416
