t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
490.49999999999994,397.30499999999995,313.91999999999996,240.34499999999997,176.57999999999998,122.625,78.47999999999999,44.144999999999996,19.62,4.905
-29205.043996402193,-700.5175030609246,-2989.6352342408018,-3804.763068749235,-3558.2008876108257,-2666.7580478451864,-1536.781720014142,-535.8513468338489,60.1199806893663,158.8370619681113
-53389.50401478882,-1829.805537354729,-5908.629173022481,-7372.02886399899,-6886.837670149938,-5183.240015343645,-3010.3976055365724,-1070.6272405728184,94.99386838501603,298.6588701266245
-68283.58732150926,-2900.3201097459323,-8099.38542312572,-10064.317604724312,-9470.89399608634,-7193.540221996648,-4215.6602808737825,-1515.1020657757163,123.69393768108476,413.92989810185355
-72815.5876820574,-3756.499205462819,-9366.566289528679,-11673.550659477312,-11125.823806988166,-8562.126680465255,-5074.307812222107,-1840.1669025427573,145.66205304259702,497.6891730831451
-68471.75824423712,-4238.560526589838,-9690.28558490564,-12199.770952127494,-11837.05235858834,-9263.509869100837,-5564.018537668373,-2035.7640692864345,160.0876473185335,547.0103837206542
-58299.443474358464,-4256.892871949268,-9205.852990471638,-11812.617654297941,-11730.382394351313,-9366.205587427028,-5712.075143565791,-2109.2320643639055,166.07469588370665,562.8474295278667
-45660.062055822484,-3832.182361228382,-8148.343860354015,-10778.966100391717,-11015.38874375924,-8998.985730402213,-5579.804893814433,-2080.3181391686294,163.06526897395622,549.3128642463445
-33272.56510009712,-3082.992791435286,-6784.590484368696,-9386.534855034299,-9925.006953593032,-8313.196043289981,-5244.1728265662105,-1974.9639673738538,151.26254771330596,512.6191208426964
-22787.908856215756,-2176.701313222645,-5354.769233539107,-7885.838598713071,-8668.729708085615,-7452.001755237267,-4781.871170099228,-1819.7272871160542,131.84287173678206,459.9305631809126
-14833.886067012514,-1274.597474987527,-4036.9005277462843,-6459.546397141695,-7406.609058062573,-6531.637167203592,-4258.7307059646755,-1637.9055317625414,106.88161919002685,398.33601136954314
-9317.565604796377,-494.9226027838505,-2936.327909192934,-5216.742489325845,-6242.453334165356,-5634.446034088843,-3724.7890628505074,-1447.5772172785555,79.05112342003254,334.07882753122345
-5775.962623788006,98.89139910972449,-2093.9751162509397,-4203.552844773671,-5230.004733712447,-4810.477801230446,-3213.7794997968713,-1261.2022102788742,51.21961379090249,272.09891425368454
-3649.345893889157,490.7032630994533,-1504.059437556241,-3420.8754323522344,-4385.25542213139,-4083.694919738761,-2745.2817014553293,-1086.2020764445904,26.07716258679887,215.8680715948308
-2439.8950228736385,695.5847471082117,-1133.100037787772,-2842.3247221760844,-3699.714932065771,-3459.573746917374,-2327.974042689156,-925.9861154311759,5.8622067962342275,167.44987028285027
-1773.421269915915,744.1276540171899,-935.288766361277,-2428.709613181224,-3151.7016646284783,-2932.0918302784094,-1962.92577091385,-781.0592841929526,-7.805445846607686,127.69218669507147
-1400.8897894437057,671.7401641433769,-862.5990523526674,-2138.0088589554084,-2714.5929403950117,-2489.1767774807067,-1646.3741218499656,-650.0398055335858,-14.036191296495524,96.46272814531254
-1173.0301062388064,513.575894851551,-870.3143563981736,-1931.3842093826984,-2362.0956371326415,-2116.416702595318,-1371.8206164877408,-530.5761101685699,-12.810148767777612,72.85952703637436
-1009.6679245120987,303.2797954992758,-919.6937308012991,-1776.3312565768845,-2071.0595548586857,-1799.2183343142792,-1131.547123523388,-420.27086676154954,-5.2269519846474815,55.36340382126008
-874.2547338888651,72.84123634069539,-979.4089081862128,-1647.8913907306796,-1822.3754580913908,-1523.7751687527812,-917.8399355897149,-317.7853188250364,6.098048311283058,41.9427885639114
-756.539226424049,-148.6007336531626,-1026.4643893531347,-1528.2696982350362,-1600.33905443413,-1277.3239974477137,-724.3519773538986,-224.27812016329779,16.562138555611906,30.167200567422768
-662.2660980035665,-337.22649805190446,-1045.945279228578,-1404.5862686120624,-1390.7719883459736,-1048.3357048169971,-548.0990303493807,-145.16555444307986,19.271230921272092,17.42228978244186
-606.9598155744642,-475.8033075705217,-1027.817950573375,-1264.2551178377123,-1178.3876299888382,-827.5143978051822,-392.44693927422463,-91.81132238892627,5.341515655604393,1.3242056093908243
-610.2699357325175,-549.694781096462,-959.1768617852774,-1088.0727705177774,-944.4704849297125,-610.5907915752811,-270.90204737521753,-82.1962571755442,-34.66201581209161,-19.62523891541897
-687.8636274766822,-535.9324103171118,-812.7155308253084,-842.717119457603,-666.7118416656215,-403.4973633414042,-210.4531039847754,-139.14131225591723,-107.82418855535373,-45.235173745994274
-839.949861756165,-391.1233382006262,-536.5399365387495,-476.56383498446286,-323.37584496208166,-229.17271760070125,-251.91197494358363,-284.7925802083298,-214.844787242845,-72.94886653416455
-1039.3907625646445,-52.1725254036059,-54.279073516051824,75.88656151003624,97.0804173669213,-133.00021854010765,-444.09278742794663,-531.3812431799345,-346.1935519553574,-97.701248245598
-1226.4706329229468,537.0799226257749,716.3836994606993,877.1221768432656,582.7792229783288,-181.8591051103944,-830.0682621742607,-870.721272007454,-480.5747647517896,-112.66599782489394
-1318.1523652065134,1377.3517473411457,1827.0171933480608,1958.866309359387,1087.3873853482928,-452.09971830459864,-1427.7393620089217,-1267.3266046883084,-587.6281174217684,-110.93204649489151
-1233.7730358574026,2373.3256747405712,3257.2915644907075,3292.8882602623207,1529.2303144034022,-1006.1494828342135,-2212.031029423916,-1660.3474646046432,-635.167650398749,-87.66342859823523
-928.054079583834,3341.17369765447,4892.651246956979,4775.180170234214,1805.8105930534432,-1864.81771870015,-3108.5019845526867,-1976.3085741409277,-598.7709441037554,-41.91276924287333
-413.86113385023884,4079.474028908779,6539.846057153226,6235.803099193861,1821.249345578765,-2987.9818619078815,-4004.6899397109637,-2148.9246717781657,-469.72586661172943,22.72814529837848
239.95415091058769,4469.355398466416,7979.811465923122,7475.365743297279,1515.868337641601,-4274.833647670682,-4776.740433409809,-2137.695628905657,-257.70214012724085,98.97227320960651
935.842699183223,4537.575764211373,9034.208519712118,8315.047602094273,884.7224823805675,-5585.4681843076005,-5320.302867274745,-1937.1493690759632,12.890428015599,177.80505098706465
1584.8651321795542,4436.046728874186,9612.510634881886,8639.880467017785,-22.06808570043603,-6774.297979310745,-5572.6810983796995,-1573.7689137427217,310.7053612660922,250.71326769004904
2134.7430299324255,4351.081064337962,9718.988689221913,8419.697221540204,-1114.328782733795,-7720.791332391642,-5519.219622688711,-1094.1338379874742,605.5978820059778,311.3152320560785
2578.022522673132,4404.368837803351,9423.959767419336,7704.67073021933,-2283.0255528350963,-8347.358275076956,-5185.913628774307,-551.1214037727952,873.9925006344299,355.9699829754597
2942.1924757479865,4605.661615993532,8822.296180727732,6603.3910569188365,-3419.5009348809795,-8623.092755772639,-4625.598087490337,6.3755004791988465,1100.5775958578356,383.48947348269024
3270.7783956345547,4872.867794992969,8002.530831167084,5254.809477299354,-4429.719848688849,-8558.229866913425,-3904.3661152699488,538.6307884597935,1277.3889225135133,394.4062333021909
3604.6706166434815,5090.602286505939,7035.919335301517,3802.270602760318,-5244.079556695633,-8194.606469085607,-3090.942118994216,1016.5980712586006,1401.9818988658067,390.2476204160487
3969.7265651153507,5165.10431175905,5980.054538986479,2373.3772429920978,-5823.302000011422,-7594.760515562251,-2248.7844100988514,1421.786286065997,1475.842224428459,373.0505143346264
4372.884161169123,5050.506241449552,4886.113567211914,1066.899091368078,-6159.574776830146,-6830.515103856906,-1430.2852762434475,1745.529904813892,1503.296610535798,345.1149536448936
4805.543091108471,4746.403803053931,3802.500157680875,-53.01536440161171,-6272.278554319384,-5972.1248420883185,-673.2641428852515,1987.6889632612508,1490.6653618767025,308.8738084738172
5250.609635174866,4280.896788209462,2774.0370433113085,-956.046129607305,-6199.4838707110375,-5079.77432830169,-0.23509523645017083,2154.633340607427,1445.3866594586618,266.76187887487424
5689.364951466051,3693.317088774731,1839.4142132108318,-1640.372556295888,-5987.996401307594,-4198.8634045651015,579.7338208145254,2256.74301624903,1375.073929877949,221.03892512691814
6106.021902091462,3023.723067963702,1029.330779783854,-2125.566926054034,-5684.666628003502,-3359.172105610039,1067.5998996646836,2305.972792213686,1286.644452111879,173.58759606458065
6489.89341503402,2309.5846551881723,365.82605135722656,-2445.925774004832,-5330.317683887178,-2576.765545889276,1470.6688463126873,2313.9757936044507,1185.6666321635419,125.73534467603768
6836.045138403122,1587.0837697720283,-138.12244222247284,-2645.0916505436385,-4956.264141157819,-1857.1242119549918,1799.5915935390096,2290.9627148050467,1075.9734151896268,78.14304040310667
7145.029998683525,894.2899764320044,-479.8292683768108,-2771.6268148046356,-4582.81063520666,-1198.3519323474407,2066.3464828337014,2245.1551389608426,959.4886409646645,30.783087234155737
7421.675681762609,274.116301556582,-669.3987370915564,-2874.820222563404,-4219.212932853913,-593.8778629958465,2283.0508991387433,2182.5374217243543,836.1793920548096,-16.985517209160072
7672.682061820323,-224.7721378384301,-733.1166502504037,-3000.372930161511,-3864.775791565861,-34.45498248330975,2461.2559745247704,2106.6331917808893,704.0872114508376,-66.24294018852954
7903.072850804174,-551.0303363337025,-716.865119610407,-3186.14687691516,-3510.6749326271724,490.54766452708134,2611.3825938858017,2018.1556610334296,559.4718480412556,-118.23406619874456
8111.979733375096,-659.6955486463354,-688.6148298377407,-3458.226548288424,-3141.8445748212866,992.3914110731964,2742.0329850462226,1914.5287899278715,397.17677839826575,-174.00110730765388
8288.49700128185,-529.1414573719471,-738.8830543481565,-3826.880616349421,-2738.332201415129,1482.3439919019863,2858.9935051226703,1789.4037118980818,211.3565793763598,-233.95080491105003
8408.38337741527,-186.87200666997353,-976.6571909698737,-4281.253986565587,-2276.264074660608,1970.5486047907955,2963.829146833959,1632.3932815259695,-3.3175042823607086,-297.405665274262
8432.42208758531,259.59795099034136,-1515.301656138253,-4782.290009534768,-1729.794298591962,2463.7445885873644,3052.1014272526263,1429.355748769832,-249.90028383701534,-362.1933146541255
8307.663546271426,602.720044493008,-2441.364628673669,-5256.666554939888,-1076.179390277355,2961.6084628614494,3111.508478005401,1163.7566892143116,-526.8173300310525,-424.32014642816625
7973.822045002256,557.4119063662091,-3765.5326870624476,-5599.1073833312,-305.1981778247455,3452.357245336799,3120.7653927678034,819.9289121999507,-824.9784950989756,-477.8125236117535
7378.09781548077,-143.3235650024124,-5372.799753657296,-5691.630647731192,568.8919394281716,3909.3999705641186,3050.7790450272255,389.0885107959019,-1124.9320116165384,-514.9544542119901
6500.198036984652,-1591.5052966097753,-7008.460133574107,-5441.283507379273,1498.4255019226343,4291.713301097519,2870.0949287477806,-122.04017288531976,-1395.7081782701148,-527.3287337421541
5382.341186092352,-3571.5624422421033,-8334.879027278856,-4823.817980713518,2403.5661157055565,4550.389686136848,2555.602028639949,-682.7312786421438,-1597.9975015713478,-507.9826170609851
4147.785061442968,-5575.037766469275,-9056.042824528571,-3909.3824018870623,3187.7912230241486,4641.658389389006,2106.288543943717,-1235.6690683083375,-1693.5885082068714,-454.4120188572432
2985.585620118011,-7014.51211784399,-9051.26075688009,-2849.6256082986056,3764.4770873027687,4542.84349722347,1553.6448494337255,-1706.2327916292877,-1659.4527811906564,-371.1111879775322
2091.5450421629794,-7531.870895887942,-8434.051035072274,-1825.8802510476332,4084.1268675817014,4264.278740393985,960.7501478351477,-2024.2288346766966,-1500.1854285923241,-269.99564930323055
