t1,t2,t3,t4,t5
122.625,78.47999999999999,44.144999999999996,19.62,4.905
7.082013955624674,58.58294258358217,27.676337842068264,13.30483260455474,5.467119315734676
-106.38866749091981,38.047025780842404,10.883783859187751,6.765547612834,5.910489027709256
-215.42658189250326,17.107329740280598,-6.035753990519659,0.07663351781271999,6.2299424750482135
-317.857616508707,-3.9851608490124732,-22.88217646154426,-6.683994283850119,6.423566531027324
-411.7755968272266,-24.97078339824398,-39.45749527355671,-13.436989688767593,6.492563597813779
-495.6077254540045,-45.5891915669782,-55.57110154050575,-20.103632614491545,6.4409973243781975
-568.1605722361811,-65.58765517043071,-71.04475844981701,-26.607858892296463,6.275441068787444
-628.6448606563215,-84.72916925228282,-85.71709175132233,-32.87817813297764,6.004552508767812
-676.6788981676526,-102.79988752994268,-99.44738290266534,-38.84940187485857,5.638600398235697
-712.272005186805,-119.61545132234683,-112.1185139487697,-44.464116444765445,5.188970194513514
-735.7905762018848,-135.025877255976,-123.6389663637599,-49.67385063308575,4.667674223480294
-747.9103593209283,-148.91878387068957,-133.94383345857142,-54.43990618920971,4.086889431581828
-749.5591131635106,-161.22086514518477,-142.99486273691582,-58.73383786695067,3.4585419275918117
-741.8539826557234,-171.89764441430282,-150.77959634649682,-62.537587911667764,2.7939528457803666
-726.0377589460616,-180.95165341423754,-157.30972093060944,-65.84329626399904,2.1035549941864735
-703.4177160297785,-188.41926953522812,-162.61877026335043,-68.65282139829348,1.3966846999580405
-675.3100308064706,-194.3665046929398,-166.75934381687296,-70.97701697130933,0.6814485902784484
-642.9919854107634,-198.88407012719608,-169.8000118369382,-72.83481601807893,-0.035338962663141515
-607.6633089376501,-202.08204468219785,-171.82207361298512,-74.25217730588012,-0.7481551579613006
-570.4172164215428,-204.08445390857554,-172.91632223027352,-75.26094792731166,-1.4527144697244028
-532.2210046567287,-205.0240293181763,-173.17994848510054,-75.8976927728307,-2.145871606430945
-493.90550527381845,-205.03736753028056,-172.71369132404692,-76.20253580115237,-2.8254929482918447
-456.1622932808505,-204.26065385403933,-171.6193145603574,-76.21805071420077,-3.4903072807963227
-419.54730408665165,-202.82605923499486,-169.997461878583,-75.98823042947744,-4.139745646714957
-384.48940992722584,-200.85886749120868,-167.94591601086375,-75.55755625739454,-4.773778734353277
-351.3025242177876,-198.47534414894085,-165.55826473381325,-74.97017947063485,-5.392758587746475
-320.1999112328381,-195.78132051400314,-162.9229568005384,-74.26922041794053,-5.997269728693433
-291.30954912706693,-192.87143738895267,-160.1227154652047,-73.49618378512776,-6.587993157536318
-264.6895990188438,-189.8289717624096,-157.234265899457,-72.69048322469118,-7.165585252642219
-240.34324801495626,-186.7261559982466,-154.3283252956264,-71.88906444316358,-7.730572385982596
-218.23240111463852,-183.62489138368585,-151.46980037935538,-71.12611295072436,-8.283261149288856
-198.28988277130634,-180.57775512249688,-148.7181358988891,-70.43283097704688,-8.823663448421552
-180.42996552154543,-177.6292008458637,-146.12775888002983,-69.8372674366083,-9.351435356207702
-164.55716695834428,-174.81685654400323,-143.748566521984,-69.36418515825194,-9.865828482752734
-150.57334740575035,-172.17282987368424,-141.62641010874947,-69.0349507417831,-10.365652683250369
-138.3832014958198,-169.7249387582144,-139.80353285125167,-68.86743423471911,-10.84924912762887
-127.8982716880079,-167.49779503307408,-138.31892586841963,-68.87590820884449,-11.314473054301274
-119.03962576003917,-165.5136807679253,-137.2085733486504,-69.07093864287073,-11.758685874631283
-111.73933891969892,-163.79317106362666,-136.5055651565933,-69.45926317704675,-12.178756642845897
-105.94090982018976,-162.3554737710827,-136.24006265674757,-70.04365569575216,-12.571073221050408
-101.59872340397902,-161.218475683849,-136.43911122950846,-70.82277971189062,-12.931563719851631
-98.67665658805241,-160.3985059375281,-137.12630077211338,-71.79103656190038,-13.255728957108815
-97.1459091099051,-159.90984975797855,-138.32128330318562,-72.93841784832158,-13.538686731767068
-96.98213441577388,-159.76406797169435,-140.03916448852783,-74.25037474541824,-13.775228643901837
-98.1619465232456,-159.96919797537657,-142.2897932970936,-75.70771954879102,-13.959889999670725
-100.65888967142256,-160.52892795451066,-145.07698085171003,-77.28657701946372,-14.087033021408393
-104.43897862640719,-161.44184571928037,-148.39768558660802,-78.95840445102915,-14.150943146877992
-109.45594796309013,-162.70086446703775,-152.2412067565865,-80.69009977860384,-14.145937664414632
-115.64638649886118,-164.29291853451556,-156.5884318382434,-82.4442162702729,-14.066485317949994
-122.92497504065895,-166.19900216952328,-161.41118510880517,-84.17930025272804,-13.907334861954679
-131.18008722898043,-168.39459418859533,-166.67172440891903,-85.85036484174512,-13.66364989297746
-140.27004899408118,-170.85047318235456,-172.3224305915275,-87.40950777879455,-13.331146678785213
-150.0203757900005,-173.53388517808074,-178.30572933456,-88.80667532576047,-12.906231197095916
-160.22231204197638,-176.40998300687642,-184.55427788919303,-89.99056696528146,-12.386131230125674
-170.63297844311637,-179.44341933435402,-190.99144013839356,-90.90966773693296,-11.769019178011112
-180.97738560998553,-182.5999486383209,-197.53206239961958,-91.5133868568482,-11.05412128111043
-190.95249515825978,-185.8478817595245,-204.08355021295003,-91.753273346823,-10.241809190005847
-200.23340246515656,-189.15924281819588,-210.54723351909757,-91.58427230486389,-9.333670286445397
-208.48158365365896,-192.51050288931478,-216.8199948289547,-90.96597974086049,-8.332553813849493
-215.35500059425263,-195.8828059739351,-222.79612291078777,-89.86385007689366,-7.2425906813694105
-220.51970306054994,-199.2616561848073,-228.36934382188875,-88.25030886036896,-6.069185707583819
-223.66242000554982,-202.63609443990117,-233.4349723383578,-86.10572419808756,-4.81898200907851
-224.50350672246574,-205.99745098362547,-237.89212039878737,-83.41919395201796,-3.4997981559223015
-222.80952541430582,-209.33780934101173,-241.6458953204048,-80.18911171859403,-2.1205395577705244
-218.4046952792629,-212.64835151268392,-244.60951935084535,-76.42348274229906,-0.6910862705865926
-211.18046280158907,-215.91776899298168,-246.70630352202866,-72.13997074090564,0.7778399998410652
-201.10251679647317,-219.1309178221682,-247.8714126025949,-67.36566758350048,2.2748264829986136
-188.21470355906987,-222.26786947924143,-248.0533639633849,-62.13658923939293,3.7879340043257956
-172.63947718581912,-225.3034666804092,-247.21521111052434,-56.49691276735297,5.3048720301957495
-154.57473562844442,-228.20743970877945,-245.3353722369377,-50.49797973162182,6.813180321248686
-134.28712723448342,-230.9450814440478,-242.40807513980835,-44.19710077272145,8.300413399174484
-112.10214607841635,-233.4784245170154,-238.44340199411116,-37.656203681898845,9.75432405495074
-88.39154762065085,-235.767817851032,-233.46693048362818,-30.940372896520657,11.163042175559642
-63.55879114293279,-237.7737665885645,-227.5189813396353,-24.116331641250525,12.515245235879624
-38.023337485276265,-239.45888142008715,-220.65349601018468,-17.250918902429728,13.800316897860782
-12.204690270229852,-240.78978102690633,-212.93658146852067,-10.40961207759046,15.008490294182746
13.492937707491576,-241.73880334662087,-204.4447714647438,-3.6551426380165157,16.13097276797872
38.694521589863356,-242.2854049593706,-195.26306416577512,2.9537532696145936,17.160049115195743
63.0659998775654,-242.4171595547399,-185.48280444181685,9.363414339369498,18.08916075060788
86.3234122144732,-242.13030237356307,-175.1994844304349,15.526136946063888,18.91295870521541
108.23907993206579,-241.4298041029157,-164.5105379657563,21.400843380127537,19.627328965953808
128.64471573209892,-240.32899182518244,-153.51320272917982,26.953526657352246,20.229389382653707
147.43154731232096,-238.8487638825475,-142.3025185459215,32.15747197154321,20.717458176659235
164.54771537922585,-237.0164682974666,-130.9695213883342,36.99326309423094,21.09099496659993
179.99334740157306,-234.86452982019384,-119.59968089997392,41.44858923980098,21.35051614933203
193.81380686672745,-232.42891854328084,-108.27161541351268,45.51787381986934,21.49748740389391
206.0916704674334,-229.74755364031654,-97.05610346939196,49.20175092044366,21.534196987689214
216.93799370585552,-226.85872984912524,-86.01539581587072,52.50641817072728,21.463614331372668
226.48339377374876,-223.79964279129783,-75.20281785454705,55.442895963001206,21.28923917750198
234.8694150350888,-220.60507323801187,-64.66264047018102,58.026222857896556,21.01494711456029
242.24055654695255,-217.30627125247796,-54.430187959099996,60.27461568011826,20.64483779965883
248.73724298306817,-213.93006011459394,-44.532145914516235,62.208620547258796,20.183092406915023
254.4899198420444,-210.498158519549,-34.98702971636235,63.85027818185164,19.633846849796438
259.61435944483816,-207.0266993207892,-25.80577566507141,65.22232364063255,19.001087069027587
264.20818261795125,-203.5259057840303,-16.99242142573154,66.34743733682801,18.288572117544245
268.3485366012584,-199.99987379013567,-8.544849636561786,67.24756116366582,17.499789878469237
272.090824827935,-196.44640259060887,-0.4555773418223694,67.94329081426052,16.637948998081136
275.4683588775978,-192.8568194081896,7.287416812039737,68.45335311813437,15.706008996469603
278.4927953322193,-189.21575586404217,14.69982719162044,68.79417537715563,14.70674855231593
281.15522724239327,-185.50085766656588,21.800110758761925,68.97955220371898,13.642869697314161
283.4278172128612,-181.6824428273,28.608521583621542,69.02041409657913,12.517133193907789
285.2658819911996,-177.72316588607964,35.1460811929926,68.92470074707268,11.332517846377105
286.6103620940415,-173.57779227504824,41.43348124024552,68.69734064873964,10.092394092763541
287.39063003758685,-169.1932319674176,47.48992519383491,68.34033680368961,8.800700161530129
287.5276035785986,-164.50901699280496,53.33192995277625,67.85295604884261,7.4621075882362256
286.9371336170678,-159.45842411686806,58.972125230672866,67.23201671577836,6.082162203478387
285.5336291025273,-153.97043287405262,64.41810631376862,66.47226604400159,4.66738701690829
283.23386405319536,-147.97266283608107,69.67141202058986,65.56683515547168,3.2253348571607727
279.96088685517327,-141.3953488278821,74.72671174148513,64.50775573902337,1.7645812089326123
275.647922965032,-134.17629071280652,79.57129073655643,63.28651923671896,0.2946513205585566
270.24213360613777,-126.26656431275262,84.18491925305537,61.894656657737116,-1.1741198862291
263.70807007820457,-117.63661836109678,88.54017710515213,60.32431554056214,-2.63079163209465
256.03065068527314,-108.28223186072938,92.60328086626056,58.5688103378068,-4.064076361778709
247.21748883145526,-98.22969339703874,96.33542681126389,56.62312377787831,-5.462641079296011
237.30041868325284,-87.53951516282362,99.69462165467304,54.48433956292602,-6.815434276657252
226.33609897704662,-76.30803081021628,102.63792865337936,52.151990906295396,-8.11201945146068
214.40562379662123,-64.66635864443936,105.12401338279204,49.6283145338734,-9.342895436767265
201.6131271004114,-52.77643678479588,107.11583645090337,46.91840537716506,-10.499784668648871
188.0834295429095,-40.82413530825028,108.58331434522935,44.03027270731546,-11.575873007531218
173.95883510818751,-29.00978755002437,109.50575836907262,40.97480334362464,-12.565988546215209
159.3952349372033,-17.536813246822895,109.87390757838094,37.76564135138754,-13.466711574341911
