t1,t2,t3,t4,t5,t6
176.57999999999998,122.625,78.47999999999999,44.144999999999996,19.62,4.905
-302.09345314021914,56.88216698985616,5.892224479907199,-1.7930518381416078,6.241159858112679,8.182927556409167
-764.2983515932208,-10.137436004888741,-66.7852362707851,-47.8551163426319,-7.47540266206493,11.185668871691433
-1193.7658266671137,-77.1063803656661,-138.03275217688568,-93.12696751499006,-21.254769122226108,13.866693131629077
-1576.4529694668024,-142.64521478090774,-206.38979390228968,-136.72815663240172,-34.818859968630804,16.193050943906496
-1901.3821253534718,-205.38770382120674,-270.5204087669798,-177.84843982816665,-47.89813873473579,18.145249595021127
-2161.180594754501,-264.05096269197634,-329.2705463211145,-215.77953611027155,-60.242729713923666,19.716382026782526
-2352.286631226828,-317.50354987664406,-381.7130585688523,-249.94017112637837,-71.6322184404733,20.910664977387803
-2474.8291597658076,-364.82451758444563,-427.1774237754904,-279.8930097354781,-81.88353831010451,21.74157489284585
-2532.2254464635334,-405.3474770312911,-465.26275815406746,-305.35283555549057,-90.8565314137515,22.229779861319603
-2530.567943507061,-438.68567171764175,-495.83427531987377,-326.1861029892778,-98.45698320491913,22.40105360969598
-2477.885875745217,-464.7364699622044,-519.0048182424841,-342.4026773842482,-104.6371435460052,22.284327885723304
-2383.3684834254277,-483.6661394466307,-535.1042483893006,-354.14112134817424,-109.39393784816116,21.909998426970574
-2256.6270290463567,-495.87785390041944,-544.6402204499451,-361.64923647322047,-112.76522357676865,21.308553902373127
-2107.055035910904,-501.96733233453995,-548.2541605744119,-365.2617165255327,-114.82454854224218,20.509552965273272
-1943.324690393993,-502.6712077907486,-546.676132609589,-365.3767247891227,-115.67491483484204,19.540936855233554
-1773.0356530407203,-498.81319650385353,-540.6818042862556,-362.4330099479271,-115.44204943720945,18.42863702455441
-1602.5136362564072,-491.25253096161595,-531.0540276871407,-356.8888691979837,-114.2676380294875,17.19642032761093
-1436.7418656469067,-480.8381324523513,-518.5507464181533,-349.2039051921306,-112.30290393063103,15.86590795972999
-1279.399659836318,-468.3708416154973,-503.8801440035054,-339.824151852375,-109.70282213523379,14.456706829285768
-1132.9785969200407,-454.57488322598476,-487.683237207956,-329.1708006874638,-106.62116088060607,12.986600884347924
-998.9471857626099,-440.07874836722,-470.52354661770687,-317.63246979376356,-103.20644996346738,11.471762348528602
-877.9383982448974,-425.4049108898032,-452.8830672614909,-305.56073582727106,-99.59889326317725,9.926956313185446
-769.93956947267,-410.9672806217848,-435.16351178208424,-293.2684979019779,-95.92817690185143,8.365724664973833
-674.4699196639302,-397.07501674920724,-417.69168750961165,-281.03065646713753,-92.31207585791488,6.80054554961613
-590.7364471595448,-383.94123720441206,-400.7278666471085,-269.08655937653873,-88.85573023428884,5.2429718199471615
-517.7636430958952,-371.6952061853271,-384.47608243778035,-257.64367868407334,-85.65144588953339,3.703756116032093
-454.4961186916251,-360.3967026927943,-369.0954025150866,-246.88202194441396,-82.77887005980259,2.1929717391221226
-399.8757684551298,-350.05141633410744,-354.7113680185305,-236.95883895309305,-80.30539793439262,0.7201379240092383
-352.8966175812377,-340.6263448913469,-341.42692510731484,-228.0132490660876,-78.2866780424045,-0.7056438189177505
-312.6412014541969,-332.0642619838024,-329.33230342870024,-220.1704781830864,-76.76710035024558,-2.0755382942413423
-278.3024094306,-324.2963835530886,-318.51341000365295,-213.54545341179207,-75.78016937788627,-3.38080907942635
-249.19439458349416,-317.2524095752955,-309.0584084648113,-208.24555494987277,-75.34868435732643,-4.612636693181688
-224.7555759561267,-310.8671893230681,-301.06224781197534,-204.3723684501282,-75.48466915506016,-5.761927114196092
-204.54607143262334,-305.0834010632375,-294.6289985290671,-202.0223183887905,-76.1890167048192,-6.819118036942701
-188.2411912264448,-299.8498957357143,-289.87195309774233,-201.28609643527892,-77.45083690631928,-7.773993079365152
-175.62195698855982,-295.1157600189884,-286.91155615484405,-202.24683231232186,-79.24652445865388,-8.615517168727896
-166.56303105264806,-290.8207092814002,-285.87134624059945,-204.97699268555357,-81.53859492027935,-9.33170949745085
-161.0179741932769,-286.8830852639337,-286.872210914544,-209.53404108873667,-84.27437383705262,-9.909573516459456
-159.00142492286977,-283.18741799862664,-290.02536995379813,-215.95495328729734,-87.38466433866672,-10.335105919531992
-160.56763694317758,-279.574082167765,-295.4245939561341,-224.24976106331079,-90.78256081379095,-10.59340773369294
-165.78485446244423,-275.83387293561236,-303.13822342153804,-234.39439401379775,-94.36261580248748,-10.66891959501257
-174.70527616885457,-271.71018798429986,-313.20156380358094,-246.3232007687919,-98.00059779501493,-10.545799213694234
-187.33087427838444,-266.91082152061836,-325.61018809429424,-259.92165046875766,-101.55409144562981,-10.208451322771856
-203.5760859046872,-261.1301353458627,-340.3145816072853,-275.0198294717866,-104.86418066315508,-9.642208939679792
-223.22932945602346,-254.0806806193753,-357.21642506038484,-291.3874392028991,-107.75841219477418,-8.834150076384015
-245.91631501346825,-245.53144481559997,-376.16665249073503,-308.7310475850177,-110.05515881582302,-7.774017357235497
-271.0690545762048,-235.34814171062945,-396.965266895837,-326.69432702307824,-111.56938805985284,-6.455191232791592
-297.90513073152607,-223.52974116099222,-419.36277666499166,-344.86190860994884,-112.11970160153652,-4.875652913190256
-325.4219298854723,-210.23509554986776,-443.06305206574683,-362.76728556225896,-111.53635521789161,-3.0388631421271866
-352.40999694162247,-195.79426376866184,-467.72740351581103,-379.9049117706702,-109.66981814128084,-0.954479486136
-377.4883134269537,-180.7009488349006,-492.97974615633575,-395.7462816240327,-106.3993048209481,1.361160833302422
-399.162164705838,-165.58509957535136,-518.4128157098068,-409.75937783371074,-101.64063235089802,3.8848531669176496
-415.9015321665935,-151.16772615513364,-543.5955033684512,-421.43047985393224,-95.35273963618624,6.586673838153188
-426.234972969325,-138.2027822150945,-568.0814423416138,-430.28698804126475,-87.54225883381446,9.43048113455488
-428.85120221071423,-127.41303263220345,-591.418971015285,-435.91968789336306,-78.26565517448059,12.374758033129677
-422.6985784454564,-119.42776299139702,-613.1624982803592,-438.0027947138991,-67.62863722892736,15.37375889954006
-407.0718574981904,-114.72983978127701,-632.8851087475105,-436.31020478790356,-55.782766348567705,18.378898702629737
-381.67619803499406,-113.61810944723254,-650.1919966533263,-430.72663537049414,-42.919435517771085,21.34030512797755
-346.66050772676294,-116.18876636751813,-664.7340542295428,-421.25273969865134,-29.261615963776098,24.208442925785565
-302.61557061969495,-122.33659642563451,-676.2207198694582,-408.0037910498811,-15.053958119039532,26.93571656575655
-250.53651259484744,-131.77440705010602,-684.4310672378292,-391.20208293189427,-0.5519610099923611,29.477961593509093
-191.7534056990555,-144.0668951589078,-689.2221265406372,-371.16372585227197,13.989021727647343,31.795746038626817
-127.83751520879879,-158.67393514231193,-690.5335867021673,-348.28097315274795,28.32419310309016,33.85541931300716
-60.49328682812059,-174.99786383154975,-688.388317135228,-323.0015296851611,42.228486797885104,35.629865439327254
8.552705027240389,-192.42971120611787,-682.888529821643,-295.80645718936205,55.50399582453366,37.09893824798634
77.65506442473858,-210.3902747873392,-674.2078194799936,-267.1882810641805,67.98532853676639,38.24957656279931
145.33617176357478,-228.36321083653286,-662.5797096270758,-237.6307389545167,79.54275752049156,39.07561580170135
210.3499105509524,-245.91866972218347,-648.2836403705408,-207.59132488057904,90.0832099537163,39.57732765036243
271.7196295672686,-262.7272348631465,-631.629521591276,-177.48741842416555,99.54930324310462,39.76073074604478
328.7506464910467,-278.564900537387,-612.9420266796313,-147.68639634342654,107.91674455399075,39.63672229657036
381.0202799477966,-293.31048063637,-592.545723549625,-118.49975069556744,115.19048109702868,39.22008333571003
428.35025993218073,-306.9371767341767,-570.7519560848596,-90.18092100096234,121.4000098594276,38.52840933832283
470.7672908016769,-319.5000928927524,-547.8481368057481,-62.9263133246915,126.59423633210297,37.581013955758785
508.45757269483573,-331.1213354322646,-524.0898303592534,-36.87883745914821,130.8362209309499,36.39784769325464
541.7203990065996,-341.9740558938429,-499.6957339847989,-12.133242697075808,134.19808051754018,34.99846660431023
570.9247836987381,-352.2664570141929,-474.8454236696367,11.257439282745935,136.75623234636146,33.40107976181043
596.4716932390634,-362.22644322425964,-449.67955104194294,33.274948079131775,138.58708961389905,31.62169959044336
618.7630962193309,-372.08729924739094,-424.3020537407211,53.928822757365765,139.76325045838144,29.67341715782674
638.1778758151493,-382.0745444608504,-398.78388051680156,73.2497407176618,140.3501724198947,27.565825941404043
655.0537869166684,-392.39394265361324,-373.1677258282623,91.28336475624124,140.40329635707516,25.30462259066206
669.674129703787,-403.22054187118596,-347.473308606271,108.08477598310105,139.96557972243843,22.89142117886243
682.2576539755638,-414.6885682208824,-321.7028063720921,123.71348059673909,139.0654188332432,20.32382675570738
692.9503687985465,-426.8819941869975,-295.84615822113545,138.22892614853856,137.71498096174733,17.595821881770746
701.8183539601692,-439.8256467371117,-269.88606592173124,151.68645075287827,135.9090247271028,14.698522353428404
708.841283804116,-453.47682234834076,-243.80263643428117,164.1336153569282,133.62435336440612,11.621350893099315
713.9070990507673,-467.71754868478405,-217.57770365462432,175.6069288751708,130.82010852823134,8.353655622719545
716.8090024272568,-482.3478845601499,-191.19892299366546,186.12905825338322,127.43915761327902,4.886760356551892
717.2465954413285,-497.08097067542906,-164.66373294904704,195.7067052857176,123.41083810834412,1.216375578269993
714.8333847619241,-511.54089069568647,-137.98321471321609,204.3294103183396,118.65528118724671,-2.6547739738479006
709.1129275932755,-525.2646940071994,-111.18575987396402,211.96958876042964,113.08943015616993,-6.714328150438713
699.5854305453383,-537.71005553064,-84.32030132718047,218.58409935372487,106.63469241874903,-10.93797088317805
685.7455894629015,-548.2698869772661,-57.45871509242849,224.11756806468162,99.22592434330781,-15.287750654380332
667.1308734549975,-556.2946872465818,-30.69691274625714,228.50754231814477,90.82117155389157,-19.711385647338595
643.3774586680729,-561.1225281689574,-4.154164758247013,231.69133463907298,81.4113146033925,-24.14284425809715
614.2788952334934,-562.1154276355364,22.029646564869658,233.614155977903,71.02855669482946,-28.504377246136006
579.8407585851294,-558.6996839758076,47.698855413095714,234.23787556653667,59.75259496653156,-32.710009385697944
540.3234673841654,-550.4068095933047,72.68855919742177,233.54952517787342,47.71338924331096,-36.67029703335665
496.2655693071508,-536.9112579509759,96.83214978818582,231.5685424344049,35.08970712816564,-40.29795599680503
448.48135107585006,-518.0613169178891,119.9688313897359,228.3517627318351,22.10307029339921,-43.51379968504869
398.029580477947,-493.9002955079546,141.95006246380905,223.99534442082535,9.007300368715441,-46.252336447937274
346.15415477722735,-464.67623916259765,162.64404233228254,218.63313984320664,-3.925526400034917,-48.466381622836565
294.2017268935811,-430.83955590989103,181.93777668370745,212.4314657457927,-16.421369763422586,-50.13015012613695
243.5251535140876,-393.0288396254985,199.73681267082338,205.58071214005088,-28.22106065850035,-51.24049427967678
195.3840390064238,-352.04570776015197,215.96329505738768,198.28467379593866,-39.095886118982484,-51.81620490119961
150.85417254650113,-308.81970784307333,230.55340791593596,190.74880878415073,-48.860323185483445,-51.895555783240624
110.75613198504996,-264.36453332106254,243.45541123268669,183.16875874531362,-57.38077085423152,-51.53249531094522
75.6100918066206,-219.72720441970034,254.6293073263284,175.72037583952886,-64.57974688049637,-50.79203585864015
45.61965503581587,-175.93267117187696,264.0487140234063,168.55220488674786,-70.43567915064008,-49.745440398970615
20.683262036223127,-133.92740692720872,271.70489388536447,161.78092115211427,-74.97899974288266,-48.465755534790844
0.42829591060771577,-94.52666300257113,277.6122509114475,155.4897105129882,-78.28563720134142,-47.0241089929476
-15.738988870524366,-58.37069534376873,281.81411799146645,149.72909833161634,-80.46913876516534,-45.487009012100785
-28.574949142843195,-25.89504336199984,284.387437109661,144.51937782524138,-81.67253655097957,-43.91469015417679
-38.93764629781019,2.6813496329573,285.4450259291639,139.85362392902857,-82.06075170242653,-42.36037971663966
-47.7278729030015,27.348608502252556,285.1344974892254,135.70033225361684,-81.81389948665512,-40.87023743180102
-55.834406206687646,48.28015811637298,283.6334605369153,132.00497977885502,-81.1214244001146,-39.48366275458906
-64.08421678024999,65.79253240565407,281.14124969976064,128.6902106642603,-80.17665845193636,-38.23367027822556
-73.19764071953898,80.2965629556565,277.8679908064047,125.6548254030162,-79.17123088728371,-37.14709516681204
-83.74871371748178,92.2466628005535,274.0221987126527,122.77220063322004,-78.28879536456174,-36.244489622282245
