t1,t2,t3,t4,t5,t6,t7
240.34499999999997,176.57999999999998,122.625,78.47999999999999,44.144999999999996,19.62,4.905
-1391.6690596216888,3.2515798224271464,-118.49928499876285,-118.93933678804999,-61.166560755144246,-2.7806732554697433,16.23350978486004
-2930.1833444229383,-171.270002609595,-355.2641623725326,-312.6247151733932,-165.0932387098287,-25.545221560128926,26.878582218753532
-4289.715840222568,-341.50895634852054,-579.3980520809135,-496.23654648083607,-264.42578315516215,-47.90900659212629,36.58634795509927
-5403.555001651917,-501.8568150537909,-783.4950361027245,-664.1286262175358,-356.2477633361395,-69.12977447088343,45.15851713370923
-6229.455372677918,-646.9791866213329,-961.5253561770454,-811.7077690804576,-438.11015815429494,-88.53662115788048,52.45597838979941
-6751.742764981981,-772.2599874630231,-1109.2004198562008,-935.6810556379448,-508.15847259781566,-105.57119530808075,58.39798717565416
-6979.862002313133,-874.2079166989334,-1224.1567191586294,-1034.1710802978748,-565.2025418752268,-119.81731535024232,62.95781349032787
-6944.024038606044,-950.7531693299147,-1305.9501038335939,-1106.6985904412118,-608.7271022620888,-131.01689548593535,66.15593542164548
-6689.017541750633,-1001.3842129497136,-1355.8784737024926,-1154.0491171487856,-638.8486004823108,-139.07193201676054,68.05188206416379
-6267.383541738321,-1027.1072915483724,-1376.6720727516533,-1178.052761714137,-656.229402356688,-144.0339756209442,68.73568737639678
-5733.030140644674,-1030.2452339052134,-1372.1028459576667,-1181.3126954761512,-661.9638592598548,-146.0837632570206,68.31967781278573
-5136.065674017622,-1014.1184374020511,-1346.566786556579,-1166.9180994272244,-657.4514697136715,-145.50437729764204,66.93104792415735
-4519.255999682334,-982.6645572028584,-1304.6871048540609,-1138.1723720005998,-644.2709874136866,-142.65143204185836,64.70543527761676
-3916.159596152469,-940.0537859972385,-1250.974139759459,-1098.3593344985175,-624.066439755314,-137.9234497642124,61.78152414330026
-3350.727647970252,-890.3464626020358,-1189.5635067010737,-1050.560881634726,-598.4524027118323,-131.73493005546896,58.296598635217904
-2838.002562653547,-837.223699621413,-1124.0400100935833,-997.5307777219434,-568.9422301642325,-124.49380476196521,54.38292332601559
-2385.5021102413984,-783.8044811937476,-1057.3434549292917,-941.6222455603698,-536.8997779793443,-116.58415614092686,50.16483377254128
-1994.9115545085554,-732.5478831723199,-991.7447217402323,-884.7621733227361,-503.51279017572676,-108.3543683056943,45.75644805693712
-1663.7889895244916,-685.2287475481054,-928.8764241228705,-828.4621833692872,-469.78461251921016,-100.11034464933388,41.25994341471708
-1387.0883739793078,-642.9697986366054,-869.8015802142099,-773.8561153451168,-436.54019678239536,-92.11307561813591,36.764366237937175
-1158.397567626213,-606.312172338589,-815.1050842316582,-721.7541478259787,-404.44229235742404,-84.57966689879362,32.34495419003497
-970.8620493911083,-575.3083474551295,-764.9953786364463,-672.7052683441858,-374.0140916216327,-77.68690132526964,28.06294767434925
-817.8146014564405,-549.6250262444183,-719.406743547984,-627.0616279666817,-345.6652097522012,-71.57646242668572,23.965860576872256
-693.158716774272,-528.6472400612562,-678.0954083094884,-585.040136392812,-319.7185788054724,-66.36104666765331,20.08817448868352
-591.5636251699997,-511.5778066416784,-640.7248837011803,-546.7782526607656,-296.4365003014592,-62.13069365725024,16.452422555441117
-508.52733472893675,-497.5276248784535,-606.9373960741223,-512.3822053453239,-276.04464849290224,-58.95873694650816,13.070641326739516
-440.3561094655926,-485.592052260075,-576.409173655175,-481.96681760695446,-258.75319630344876,-56.90680313767899,9.946189458998813
-384.09827696015003,-474.9072112902944,-548.8878478718718,-455.68674726477155,-244.77441878226,-56.028260593743454,7.075953833403556
-337.45972359736726,-464.6785053597148,-524.2107404650994,-433.75932693066875,-234.33610608379658,-56.36945783177759,4.452975222885978
-298.71921536825465,-454.1733257160723,-502.30367412027346,-416.479343497449,-227.68990503221528,-57.96803604581579,2.069513276177351
