t1,t2,t3,t4,t5,t6,t7,t8
313.91999999999996,240.34499999999997,176.57999999999998,122.625,78.47999999999999,44.144999999999996,19.62,4.905
-4480.61221776551,-140.27217237395183,-483.426760313493,-517.0889013282973,-369.51001692572663,-164.34437123198856,-8.260104206852532,35.811034699915005
-8849.550533129948,-519.3961594910508,-1115.3694834891114,-1129.046477367104,-800.1615512873503,-366.379701471222,-36.459859683169,64.86639436911861
-12431.507854980726,-879.6816155007837,-1684.4161890965374,-1681.665549132367,-1193.0364286545837,-552.8145156938078,-63.38989785475254,91.02114149807944
-14986.263320052389,-1202.8266492272796,-2162.3040579011113,-2149.65960280874,-1531.448390522327,-715.9401762567411,-87.59252363843063,113.4554580652421
-16420.115337825388,-1471.656785278741,-2530.074503529194,-2516.2897394450533,-1803.8507191269268,-850.1079635223036,-107.89029368686181,131.61162961213327
-16781.05430397374,-1672.6192963983406,-2779.375462325041,-2774.273698822935,-2004.4522620745481,-952.0553762689368,-123.48685222272655,145.20017191229277
-16229.011251293781,-1797.9489264831902,-2912.2230902164797,-2925.3485609165837,-2133.0522850937455,-1020.9205054911198,-134.0088214836513,154.1840829674661
-14991.840848698663,-1846.8588871241425,-2939.4280961339573,-2978.7442538736796,-2194.229702373421,-1057.9849276942439,-139.48980923287257,158.74690914281067
-13319.070168573662,-1825.4455757284952,-2878.1232403946697,-2948.9875038985983,-2196.115191254509,-1066.2250956767566,-140.30779608408,159.25070217644412
-11443.209396181723,-1745.4037488568677,-2748.9274025416594,-2853.4966468268244,-2149.0024375457333,-1049.7685540336563,-137.09324580050702,156.18937198812006
-9554.14580329955,-1621.9637543721874,-2573.2453775524596,-2710.362809349235,-2064.024892182821,-1013.345708335205,-130.62668311516626,150.14186555756095
-7787.65456636149,-1471.5913780204974,-2371.0684050449563,-2536.583784428492,-1952.0580219069282,-961.8068548787382,-121.74197023073697,141.7284152340913
-6225.704576111883,-1309.9351470171428,-2159.4643283986666,-2346.8708343182134,-1822.928812093046,-899.7463113852122,-111.24662771947773,131.5720371472953
-4904.5625977171685,-1150.3325562463394,-1951.7805541763114,-2153.023192959588,-1684.9444501319565,-831.2484720775619,-99.86497713533713,120.26660052061474
-3826.5518848132574,-1002.9820174854397,-1757.4618201234314,-1963.7804223577707,-1544.7023220395567,-759.749505770525,-88.20498025598964,108.3521056196799
-2972.1620179423494,-874.7194504399876,-1582.3203315684104,-1785.022423005977,-1407.1166718991183,-687.9952678332617,-76.74618848241613,96.29724125227791
-2310.433863689268,-769.2405657293285,-1429.0825208186798,-1620.1827775975046,-1275.5902903858089,-618.0704342743128,-65.84439894872266,84.48880126303328
-1806.7024717137795,-687.5829878380358,-1298.0591225145413,-1470.7602449709898,-1152.2662377425104,-551.4741215089989,-55.74822284401109,73.22712527474516
-1427.6323331224191,-628.7075542788849,-1187.8256829941608,-1336.8428411562024,-1038.3084152422432,-489.2211318862791,-46.623359945300614,62.72643161880755
-1143.9697012533206,-590.0699680535907,-1095.8438921752593,-1217.5893404414987,-934.1756485900228,-431.95348818323356,-38.581429746676996,53.11878579414736
-931.6246622550856,-568.1294779669571,-1018.9899239933727,-1111.6384170683114,-839.8685856418354,-380.0526233114389,-31.711255151394198,44.46054303123287
-771.6835122302351,-558.7837484957215,-953.9790300979181,-1017.4337511539256,-755.1406025375852,-333.7475128729769,-26.11112377740899,36.740435955832666
-649.8379412979195,-557.7387788661965,-897.6850391718165,-933.4645301551778,-679.6727158567575,-293.2175563346069,-21.920445761812864,29.889019074468138
-555.573802157576,-560.8164977537094,-847.3517782002577,-858.4267426084692,-613.2184549135092,-258.6906443497278,-19.348184064244855,23.78984186058376
-481.3315227521697,-564.1746874645237,-800.6862087447249,-791.3140163691946,-555.7280206429383,-230.5361253926382,-18.69345197860511,18.293341667615646
-421.75140718687544,-564.3774030907065,-755.8178559742141,-731.449924785839,-507.4617108539579,-209.34889759130982,-20.35109375767527,13.23479600482154
-373.0536415468599,-558.2319884563619,-711.1143385870944,-678.4782249849045,-469.0998142842896,-196.0145525373073,-24.792730511001007,8.457477994624917
-332.5697775826164,-542.3299585114942,-664.8653361914926,-632.3333498363689,-441.848885615035,-191.73722794894707,-32.51307154573811,3.8411782036488162
-298.43040811717026,-512.3166239310276,-614.8888154746251,-593.2184935111263,-427.53179546983876,-198.00391603669814,-43.93403096195436,-0.6655932365207473
-269.4106671246802,-462.0675720386338,-558.1664064178427,-561.6187170011867,-428.63212045588824,-216.4555183460976,-59.26687492207194,-5.013906965984032
-244.92774038712798,-383.1263709277345,-490.6611485737373,-538.3669247333748,-448.2462601155863,-248.6411844302784,-78.34553624531438,-9.029917723087575
-225.16102985694943,-264.86977015135705,-407.483847933189,-524.7585330553248,-489.88681984953564,-295.6528966847928,-100.46033816841936,-12.405823658587433
-211.22168726032604,-95.8083272327046,-303.52829628061414,-522.678487903833,-557.0884175917054,-357.6724905681043,-124.23583775375565,-14.714037437420032
