t1,t2,t3,t4,t5,t6,t7,t8,t9
397.30499999999995,313.91999999999996,240.34499999999997,176.57999999999998,122.625,78.47999999999999,44.144999999999996,19.62,4.905
-12121.728120543752,-393.3903136242192,-1323.1723228032718,-1544.731957566301,-1296.618159510995,-815.3494457715576,-322.2904464291676,3.5789027718675896,77.6179360222015
-23002.14738352802,-1097.018034600974,-2769.918629896936,-3136.1856603011165,-2618.025288357658,-1654.5123011668043,-669.5721359816347,-13.433787174547835,145.15554971722702
-30973.760989774597,-1753.4561562807505,-3980.5336339054766,-4474.213829568498,-3747.9420302786793,-2384.2301252674592,-975.7471482627877,-29.324227114340907,203.94454508056666
-35395.144568057636,-2309.6599982501607,-4870.979255102777,-5474.537833791019,-4620.806178543141,-2964.640186429514,-1224.1771184404206,-42.33521294456034,251.3393848535545
-36310.56753944826,-2713.8614824731067,-5402.924388741321,-6101.283497354768,-5205.811729437606,-3374.7044168817233,-1405.2009822700322,-51.34964967449592,285.78309680093804
-34321.132668345635,-2929.6560053468033,-5584.567683005433,-6365.665003761478,-5506.352575572215,-3612.394617166728,-1516.4509473844057,-56.00888406075488,306.8241716578746
-30343.55827146799,-2946.721380850055,-5462.725708038092,-6316.15843066481,-5553.525891076687,-3691.7031594565183,-1561.9623127250272,-56.644835346052844,315.01044135106565
-25352.193767150515,-2783.6093830475243,-5109.231863073009,-6024.001882798592,-5396.26408481162,-3637.7049932721043,-1550.4780085167888,-54.07765538024856,311.69474291122657
-20180.34967813167,-2482.1623549583533,-4605.643457123227,-5568.187231101333,-5090.904303360708,-3481.0765270918573,-1493.443313303139,-49.35632042738234,298.79204978907643
-15415.551373156914,-2096.6281824296784,-4029.82920616557,-5023.133572438673,-4692.3837087026395,-3253.2276651428087,-1403.1264050416876,-43.51575089081038,278.5254708952482
-11383.444923482017,-1681.8744626969635,-3446.65856154553,-4450.6532168692265,-4248.220082942533,-2982.726787107791,-1291.1478919601511,-37.39991700906003,253.1916355727057
-8191.448663240697,-1284.260125256843,-2903.421500302065,-3896.3296125726447,-3795.450325130178,-2693.2093738209874,-1167.5304516579456,-31.569658599916913,224.96679633753584
-5798.1549386495735,-936.7871479117185,-2429.3400294363887,-3389.4371724056705,-3360.0266996989126,-2402.6013213682645,-1040.242206698518,-26.288282326980585,195.7652119012854
-4081.949327140222,-658.3086997355919,-2037.858481180448,-2945.133328099448,-2957.875921116775,-2123.304011250947,-915.1275949892457,-21.56344182406454,167.1522529302749
-2894.2510499944883,-455.48739550393816,-1730.296953380779,-2567.7102480065973,-2596.8297076779013,-1862.9544487114142,-796.0942957995401,-17.22074742003788,140.30711783090146
-2093.277056728981,-325.95947528593103,-1499.7311569355263,-2253.9968253597094,-2278.805606954798,-1625.4334239919287,-685.4375782361793,-12.989808294643444,116.02473057823025
-1560.772544670188,-261.49405130491124,-1334.397216062319,-1996.3657806460283,-2001.8366624386522,-1411.8922653653256,-584.2154042383305,-8.592626434209283,94.74372866899337
-1206.8007069809387,-250.4930284306547,-1220.3354599082286,-1785.1095941981573,-1761.7439685337479,-1221.666537215052,-492.62433649100086,-3.833502968927144,76.58755220185431
-967.708757893313,-279.69746439454127,-1143.2827546783503,-1610.1533587859858,-1553.386477188915,-1053.0250271127793,-410.3593328155355,1.304164714766154,61.4083546513244
-801.167645228736,-335.31109051696365,-1089.9635773401415,-1462.1705928395684,-1371.5069025212242,-903.7611412009236,-336.9656029729083,6.548076067559201,48.82837939877894
-680.703250156624,-403.86558147904356,-1048.9245843018336,-1333.1842452280798,-1211.2366833828273,-771.6750454796436,-272.2047569371272,11.215048731392471,38.27992299374363
-590.9013269982421,-473.02515155964073,-1010.944251733443,-1216.7072049895369,-1068.347503362731,-655.0222471137728,-216.45589066841515,14.093992551447435,29.051907164244483
-523.6294561659151,-532.2023563639956,-968.8950062431119,-1107.4480119347127,-939.359971597469,-553.0157251418689,-171.14828671710862,13.37593973159834,20.356490375977614
-475.14904962614605,-572.4738038298134,-916.8378441631469,-1000.6211683196351,-821.6497925252097,-466.4527618703758,-139.17015996544254,6.701054858093549,11.430210974756378
-443.81138990050533,-585.1188502229373,-848.2045207772982,-890.9887395504,-713.7183230530643,-398.4749920432808,-125.12016498438005,-8.59063279360608,1.67758902717296
-428.0802761548394,-558.4963302899505,-753.256291354447,-771.9206511611562,-615.7854630030624,-355.3446414726171,-135.1878023363942,-34.93342040323621,-9.151148812912112
-424.8488266097129,-474.0914999911972,-616.5759629336894,-634.9413985290192,-530.7701674184179,-346.9408026845619,-176.4149715266139,-73.73187874179565,-20.780796759866845
-428.3322378296463,-304.0690491696916,-415.9387143147473,-470.3162446401577,-465.51146379331135,-386.5082792932477,-255.17081457186637,-124.39992416533536,-32.287400495005095
-430.0504584377446,-13.563752437233006,-124.12210489654781,-269.07826728075827,-431.7748252678489,-489.1491809366933,-374.91382982395464,-183.51343520774708,-42.098460920143935
-420.3317210882645,430.02850590906974,285.3570183854648,-26.424295493366543,-446.3114964693467,-668.7736110058491,-533.691724241166,-244.448346244317,-48.170204400037186
-391.21866063453876,1041.8499768054605,829.0808723640564,254.30601582347617,-529.2066963844243,-933.7782838487065,-722.1977032614682,-297.8427075663364,-48.34759313968233
-339.78366863298663,1804.0780039341319,1503.618992318477,558.5100125774063,-700.1599737769219,-1282.4639118055459,-923.3324792526871,-333.0044750501835,-40.844448231404456
-270.17141263012934,2658.5106740205724,2278.407356078001,859.6814698653183,-973.1828520095714,-1699.7778074732291,-1113.9210012754056,-340.03263277671033,-24.71942306609443
-192.82003535054804,3513.8457650509918,3095.4384013190192,1122.2781712820859,-1351.1545392744074,-2156.9529948941145,-1268.5071976039446,-312.07625465225476,-0.20096774674081175
-120.50692485025105,4267.6311118394,3877.4452652729906,1307.8634576741892,-1822.2001706200479,-2614.8055891032914,-1364.2804826732634,-247.00968391273742,31.25049023057858
-62.58380082249187,4834.79748491614,4542.851126562602,1382.9066301471744,-2359.5027154330987,-3030.097786260073,-1385.6209836608907,-147.96122511555964,67.17110233066326
-19.927176554900463,5170.385591199387,5022.753321859612,1325.857889133016,-2924.947902136033,-3363.1253433657153,-1326.8293511803909,-22.546673530473008,104.54319546490608
17.093657415340857,5276.726637205298,5274.281170778692,1131.394574622373,-3475.5046118149594,-3584.2228070930914,-1192.32689142728,118.86817418272625,140.32767575571106
66.80931108043305,5193.434892469729,5286.341097739045,810.8985166899619,-3970.264121638455,-3677.4460579739866,-994.5981352032383,265.24759146045915,171.92931843585714
151.5238999146891,4976.950791505054,5077.070547779375,389.6027701776713,-4376.09666377214,-3640.9345482692524,-750.8920950413528,406.669120952194,197.48904730404584
291.7643930131849,4680.067918169771,4685.438910597009,-98.26087336318696,-4670.793783969609,-3484.667338107193,-479.87807717898175,535.4127728026907,215.97073902628844
501.3141714210658,4339.54361154427,4160.876511697326,-614.8594402007866,-4843.71743156413,-3226.92904865968,-199.10105798166973,646.2955115994322,227.07824431117257
784.1483058403147,3974.1085952561934,3554.276930087174,-1123.6709615684658,-4894.726127222837,-2890.678853390509,76.49318697297399,736.4507628249961,231.07626894908006
1133.6882080158462,3589.9407374987118,2912.017047923096,-1593.4008622319,-4832.254119033272,-2500.4810157232614,335.15200568954776,804.8482474686446,228.59053748694828
1534.3042348533145,3188.5024998812914,2272.9544586857523,-2000.7029054116924,-4671.097412046671,-2080.1422693818017,568.3900843368903,851.7958981373671,220.43885511940252
1964.5974726561012,2772.6005637990443,1667.460738979678,-2331.601817576034,-4430.106925606076,-1650.9598688942842,770.8320171882445,878.542678722282,207.51283244189509
2401.5980099186577,2348.984710380402,1117.4951265275708,-2581.5722267146857,-4129.855730829442,-1230.4942604378846,939.9470378768254,886.9907378240166,190.70484221270252
2824.7674084926207,1927.9983622715595,637.1103750315121,-2754.3794819378872,-3790.420910251252,-831.8716487382499,1075.6812660404162,879.4703404618915,170.86289965986776
3218.80182945023,1521.8159259693182,233.1633411265089,-2860.008907237483,-3429.5295959783575,-463.64845471005685,1179.9685108726499,858.5299772201811,148.75647648647208
