t1,t2,t3,t4
78.48,44.145,19.62,4.905
61.002416038033466,35.60880145876705,17.435961485028972,5.396699348183389
43.579179784392956,27.025097421341364,15.165249952071873,5.834032985994949
26.389730516895924,18.470312577156804,12.824102979495414,6.212485753080209
9.607335818397942,10.019184736488302,10.429271662087661,6.528357942509322
-6.604272105651776,1.7434612014464612,7.997760054852986,6.778802887350559
-22.09395821379999,-6.289313764755773,5.546562692969932,6.961845938061982
-36.72585758227395,-14.016889140525604,3.0924061115314583,7.076384945423121
-50.38158875362003,-21.38324852883035,0.6515001111374108,7.122172912204524
-62.96195537848499,-28.33938184522563,-1.7606958430601356,7.099783981829585
-74.3881042591976,-34.843872661136416,-4.1296862248228265,7.010564375488904
-84.60212864083478,-40.8632930957632,-6.4421288548458095,6.856570255719753
-93.56712585917636,-46.372404716272364,-8.685996695801062,6.640494773771066
-101.26673731771848,-51.35417021256674,-10.850709479361196,6.365586744068354
-107.70421542315685,-55.79958640398413,-12.927233519928295,6.0355634802659495
-112.90107591904146,-59.70735419390124,-14.908148991297121,5.654520326555689
-116.89540456939147,-63.08340524593725,-16.7876848411124,5.2268393318120925
-119.7398941098509,-65.94030829788177,-18.561722361647195,4.757099352766323
-121.49969075754733,-68.29658009853966,-20.227769195945896,4.249989648177632
-122.25012949468844,-70.17592694530612,-21.78490621256207,3.7102287530268114
-122.07443412150664,-71.60644276397771,-23.23371021260392,3.142490115008089
-121.06145214918467,-72.619788698239,-24.57615582844956,2.5513356499499364
-119.30348650430678,-73.25037739043881,-25.815500229526116,1.9411580424189374
-116.89427632874882,-73.53458268858579,-26.95615436830072,1.3161322954738086
-113.92716848380482,-73.50999257242194,-28.003544486052895,0.68017673034302
-110.49351028611622,-73.21471982400949,-28.963967464888064,0.036923361577053004
-106.68128304753641,-72.6867815409795,-29.844443375557002,-0.6103026674388439
-102.57398562086335,-71.96355515662643,-30.652568248614607,-1.2584951055505638
-98.24976773967529,-71.08131532518632,-31.396369709780558,-1.9049707493216226
-93.78080475818591,-70.074852965032,-32.08416769033943,-2.5473665306692026
-89.23289862325863,-68.97717501420772,-32.72444197114348,-3.183630414862635
-84.6652846295851,-67.81928110293791,-33.32570786430907,-3.8120070311636387
-80.130619721073,-66.63001142274535,-33.89640089831339,-4.431018970044179
-75.67512573655404,-65.4359585849249,-34.444770965848875,-5.039444664841976
-71.33885993021636,-64.26143520572809,-34.9787860326961,-5.636293736922604
-67.15608516096714,-63.12848830874699,-35.5060452002781,-6.220780626979554
-63.155713150101526,-62.05695136119518,-36.033700671636346,-6.792297265887705
-59.36179595280355,-61.064524816035586,-36.568387994471124,-7.3503854610137545
-55.794043077830395,-60.16687636724815,-37.1161638468658,-7.894709592031629
