t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
490.5,397.305,313.92,240.34500000000003,176.58,122.625,78.48,44.145,19.62,4.905
-20813.716585950297,-16228.871502815071,-11911.689297395518,-8003.8870113275925,-4648.8259235582755,-1986.4860664509854,-139.01912287625004,821.1270404094821,931.9518935481258,446.5546484676376
-39036.838493478266,-30601.512541822332,-22611.136313866315,-15316.267590698413,-8988.627910656252,-3912.114540473876,-350.64839550250997,1523.3271366190984,1759.93346522362,843.5229232486017
-51841.103595879795,-40982.29355164664,-30581.877163856494,-20942.54496811644,-12435.261669858806,-5489.618025700194,-540.3306657531498,2095.8138715279338,2437.437057009196,1160.710150045122
-58143.69049860096,-46517.02431945449,-35191.51908322787,-24456.25553805822,-14740.534887188804,-6610.423857977926,-693.9895155292918,2503.731766716374,2921.5409075700613,1376.6330329218852
-58206.18294107424,-47312.82533925007,-36439.41355154018,-25802.487975449465,-15841.854326393954,-7233.744466314131,-801.4419485062524,2735.390445453293,3196.549525002815,1485.4661747092748
-53341.233284061294,-44250.03501426384,-34851.0666784105,-25248.401500030366,-15844.804347132174,-7383.584753587901,-857.7459021230362,2800.5369804520415,3272.383152053587,1495.557750252583
-45398.079213402874,-38633.454188548996,-31265.26757747096,-23269.83375619111,-14973.554159487769,-7133.910373657243,-863.6565071826433,2724.9766595293754,3178.5784738702905,1425.3662906417912
-36234.03452788018,-31821.623667131495,-26597.270246729484,-20417.584893909054,-13507.807278305641,-6587.509545798841,-825.0788324537715,2543.4432005370854,2956.042450985834,1298.3099573574736
-27332.334608382007,-24945.967660911352,-21648.823946522796,-17202.83273592776,-11724.576858346054,-5854.558283677795,-751.6916990483991,2292.6333955878035,2648.790061435591,1137.9755002828904
-19631.503288645625,-18770.558656470846,-17001.39912568932,-14024.701605788801,-9856.933842093978,-5035.507155241412,-655.1357016567154,2005.7802120153578,2297.33571746187,964.6568902772322
-13541.867596716149,-13682.880972251916,-12992.471172543625,-11143.912892390354,-8073.756355157256,-4210.5775661835805,-547.2282747663603,1709.3693841526385,1934.5492063402314,793.5649018712539
-9075.245741020704,-9769.812590766136,-9750.715798689625,-8692.45733589467,-6477.794090181539,-3435.8958827776437,-438.58487657856574,1421.917977371802,1583.9815986917138,634.5228620934455
-6008.747442712804,-6925.9591863847945,-7258.7245570320165,-6703.436638725033,-5115.789179093297,-2744.775155170736,-337.84751519520415,1154.3085664466394,1260.1329820167728,492.6732415253307
-4027.028547148531,-4954.434912328911,-5417.320275499796,-5146.421952388609,-3993.9346875246943,-2152.0680351244237,-251.53154266892685,911.0370452908887,969.9244395681355,369.6671027814359
-2818.353817794315,-3639.966220760164,-4096.468682988738,-3958.572807725519,-3093.496463859343,-1659.6760693610984,-184.36148563912047,691.8098542137086,714.6824906710119,264.9145940529542
-2124.00566999078,-2790.886833128884,-3168.0715715658366,-3067.1718514066793,-2383.6557434681863,-1261.8613379713954,-139.90033998812896,493.10745564938986,492.1278305182162,176.64166891173545
-1753.0172111065147,-2256.1514013989904,-2522.599433903219,-2403.26863502128,-1830.5955184574032,-949.6411653622835,-121.27304436355561,309.5226324199864,298.0750175182641,102.65210218366524
-1576.7916666349422,-1926.468684417563,-2074.3269424083874,-1908.2759385355507,-1403.1312316787678,-714.049956601766,-131.8152165281093,134.8309719762106,127.7285138819992,40.799105500581675
-1515.298322673733,-1727.5922655844074,-1760.0530791461754,-1535.9786082140265,-1075.7671139693855,-548.3476389657784,-175.5150073618879,-37.16085782486617,-23.422909783773633,-10.776424352027306
-1522.0812113528186,-1611.2304699739427,-1535.0389608783844,-1252.1380439401287,-830.1364119479146,-449.35510344249593,-257.14368741445196,-211.9109770567396,-159.05430952040254,-53.57055386588604
-1571.4987806662812,-1546.5487813863215,-1368.5082449403774,-1033.2559143028602,-655.5794596774164,-418.0595857824118,-381.98946377376296,-393.51390017234536,-281.72212978781073,-88.74190081962249
-1649.1667250360492,-1513.4906248293378,-1239.9344342470247,-865.4241672945325,-549.2942793116083,-459.5238547045309,-555.1319685248703,-584.1166637315276,-392.7879770543463,-117.19257654358974
-1745.386542537264,-1498.1776783995724,-1136.6040830071843,-743.6576754569796,-516.1573942459189,-582.0168051630166,-780.2411532383475,-783.3997217155618,-492.5032571437064,-139.67454928457315
-1850.9941199589973,-1490.246414458593,-1052.5099280989518,-671.6836583358978,-568.0132587150858,-795.2202463028918,-1057.970647463131,-988.1955281267046,-580.2243938798827,-156.9026470088335
