t1,t2,t3,t4,t5
122.625,78.48,44.145,19.62,4.905
32.55115699991581,26.57189523798692,22.679299401559163,17.209676366019202,8.095001986381648
-56.211237355928965,-24.842517592328292,1.1805598201052216,14.568788496075793,11.127946259227881
-142.02385122208716,-74.91513635449999,-20.04151522820075,11.728871441833261,13.961357521604093
-223.3600886893094,-122.84754069245204,-40.68928356451018,8.72511758713929,16.55797201586766
-298.85618714924016,-167.91553845062654,-60.48535723818007,5.595399294138004,18.886478511670887
-367.3536035867341,-209.48998546958063,-79.17985577253104,2.3791998272618944,20.92202940021274
-427.9307336839508,-247.05297783716907,-96.55643375023658,-0.8835055705312405,22.64651318997857
-479.9227570458963,-280.2088218918397,-112.43687070336874,-4.153374038326417,24.048591807153276
-522.9292036568698,-308.68951990929133,-126.68409503015667,-7.39278051043806,25.123517246185706
-556.8096223374885,-332.35484150771237,-139.2036009725707,-10.566822368505562,25.872751628002682
-581.6684384954809,-351.18735701830275,-149.94330237938954,-13.644206415225117,26.30342211312333
-597.8306644197307,-365.28306794773414,-158.89194344836076,-16.597988081895927,26.427647092153734
-605.8105352152935,-374.83846544826275,-166.07625030708968,-19.406141015724465,26.261772550336367
-606.2753697705374,-380.13497134907914,-171.55705490582892,-22.05194421746237,25.825557581468825
-600.0069995413188,-381.5217656569461,-175.42465250031867,-24.524183073939575,25.141345977055963
-587.8629852166513,-379.3979837900801,-177.79366574365156,-26.817169339797296,24.233257027115318
-570.7395819115995,-374.1951857541723,-178.79768319470074,-28.930592832199387,23.12642360124843
-549.5380550305118,-366.3608713714483,-178.58392012181116,-30.869223891667026,21.84629972026567
-525.1355324450687,-356.34365597126566,-177.3081178737982,-32.64249025256396,20.418053651063165
-498.36114427058953,-344.58054546989666,-175.12985829941192,-34.26395473002255,18.86605648055036
-469.97778481459386,-331.4865732445223,-172.20842532480697,-35.7507210842713,17.213470492346076
-440.6694605049496,-317.4468961483483,-168.69930025540623,-37.12279471583582,15.48193673736202
-411.0338824258903,-302.81130295834106,-164.75133362816368,-38.402422726889,13.691357118069536
-381.5797332071328,-287.89097174034794,-160.504596878394,-39.61343467828915,11.859763170387561
-352.7278878643377,-272.9572260621298,-156.08888339579696,-40.78060144080514,10.00326152507672
-324.81579231864345,-258.2419837937905,-151.6228017294347,-41.929025252333574,8.136044700555512
-298.10419215073574,-243.93956417931344,-147.2133841247048,-43.083569799895386,6.270455316913274
-272.7854448888681,-230.20951503739937,-142.95612105911522,-44.2683351528535,4.417091897005543
-248.99272762086136,-217.18013745235388,-138.93532639432442,-45.5061789312217,2.584944995380524
-226.80955394749165,-204.9524148731287,-135.22473730538198,-46.81828238227798,0.781553332548266
-206.2791275877324,-193.6040920294433,-131.88825726099412,-48.223758171971014,-0.9868292141816033
-187.41317374919282,-183.19369192111603,-128.98075795356817,-49.73929571843759,-2.7150636085444937
-170.1999956426832,-173.76430256253968,-126.54886621575169,-51.378839783952735,-4.398959140247296
-154.6115967771156,-165.3470063165906,-124.63167373580427,-53.15329872430939,-6.035115570715983
-140.60978684412356,-157.96386162248433,-123.26132008355904,-55.070280150643825,-7.620777857096681
-128.15124906508572,-151.6303786788552,-122.46341264171602,-57.133853631783424,-9.153706213649187
-117.19159041945048,-146.35745690939936,-122.25726012745703,-59.34434227296303,-10.632063226076486
-107.68842496107399,-142.15277313444358,-122.65590924752098,-61.69814735054138,-12.054318812781394
-99.60355695705421,-139.02162604723682,-123.66598651464305,-64.18761245650927,-13.419173028920913
-92.90433771962007,-136.9672558599597,-125.2873592759636,-66.80093560772913,-14.725496032690302
-87.56427068543974,-135.99066895993312,-127.51264148174835,-69.52213931100194,-15.972283975721338
-83.56293631217711,-136.09000719041072,-130.32658053503667,-72.33110947481445,-17.158629138287424
-80.88530417640166,-137.2595108867074,-133.70537151615045,-75.20371418034905,-18.283702303431223
-79.52049631269031,-139.48813476264095,-137.61595388026075,-78.11201256518557,-19.34674515106489
-79.46006488184678,-142.7578865501231,-142.01535298626462,-81.02456237743215,-20.347070352399363
-80.69584971728327,-147.0419699849153,-146.85013403980477,-83.90683212456454,-21.284067054528883
-83.21748764519394,-152.302825963436,-152.05603866262902,-86.7217202285565,-22.157209560185144
-87.00965562836313,-158.490177754541,-157.5578737523472,-89.43017932779495,-22.966067220794436
-92.04914313110204,-165.53919698398948,-163.26971802826296,-91.99193901898968,-23.710313860044998
-98.30186452661692,-173.36891539656318,-169.09550324119252,-94.36631514723294,-24.389735413612676
-105.71993830587543,-181.88101165418985,-174.93001422207004,-96.51308851445663,-25.004234887403506
-114.2389743809701,-190.95910112939882,-180.66033478983377,-98.39343090294024,-25.55383417673579
-123.77572175785049,-200.46864841346493,-186.16774540241445,-99.97085193222001,-26.03867272481205
-134.22623406676564,-210.25760599654885,-191.3300540612137,-101.2121368079494,-26.459003402282438
-145.46470779512728,-220.15785769826337,-196.02431550176573,-102.08824277196226,-26.815186333525027
-157.343135824954,-229.98751198489157,-200.1298666115185,-102.57512126132228,-27.107681655658013
-169.69189586693943,-239.5540491294676,-203.53158008519617,-102.6544335916806,-27.337042354847917
-182.32135922117897,-248.65827891511827,-206.12321550435743,-102.3141304643617,-27.50390836988991
-195.02456055059085,-257.0990147357155,-207.81072927419035,-101.54886971970551,-27.60900308230863
-207.5809156528825,-264.6783187162396,-208.51539397266407,-100.36025237462219,-27.65313313115453
-219.76091425130232,-271.20712458644005,-208.1765751269908,-98.75686383861273,-27.637192213583273
-231.33165224825737,-276.5110044633963,-206.75402017526065,-96.75411495643009,-27.562169181068857
-242.06300710057042,-280.4358162897084,-204.2295306846224,-94.3738857629922,-27.429160343440092
-251.73420580124792,-282.85295379794917,-200.6079143223548,-91.64398309958212,-27.23938548024333
-260.1404922147976,-283.6639230174607,-195.91714638527594,-88.59743106064946,-26.994206663805954
-267.09957357341756,-282.80398978939314,-190.20770994505145,-85.27162017045714,-26.695148652007934
-272.4575182289759,-280.24468134904964,-183.5511263374062,-81.70734683545972,-26.34391933857889
-276.09379034689437,-275.99498005834243,-176.03773090058462,-77.94777867127509,-25.942428576307925
-277.92514253039127,-270.10111560730445,-167.77378949984333,-74.03738355635379,-25.492803628118683
-277.90814295003116,-262.6449389360623,-158.87808653536928,-70.02086062954336,-24.997399558517763
-276.0401861782255,-253.740941299499,-149.47814228806897,-65.94210995877647,-24.458803051016044
-272.3589217340081,-243.5320593786465,-139.7062347011542,-61.84327441191198,-23.87982841527556
-266.94012524916127,-232.1844762795861,-129.69540690918743,-57.763882608320436,-23.26350491348399
-259.8941273996635,-219.88168341752748,-119.5756367809203,-53.740116050422074,-22.61305496582808
-251.3609984626384,-206.81810554486086,-109.4703291008247,-49.80421700977089,-21.931863263261558
-241.50475528605702,-193.19260793822767,-99.49326625061882,-45.984046877183204,-21.223437293674632
-230.5069074870197,-179.20220014318798,-89.74612149417695,-42.302797879376946,-20.49136024700409
-218.55968735214117,-165.0362256144537,-80.31660278527231,-38.77885468129597,-19.739237679880194
-205.859311668641,-150.871283682148,-71.27725717150224,-35.42579674447053,-18.970639668967255
-192.59960407755565,-136.86707349372924,-62.684929069948986,-32.25252763708254,-18.189040447108816
-178.96626595593077,-123.16328385759672,-54.58083237071204,-29.26351395012049,-17.397757686431582
-165.1320263839776,-109.87758363997321,-46.991168449674795,-26.459114142334393,-16.599893662511533
-151.25283270422432,-97.10469988113556,-39.92820111957336,-23.835976511415964,-15.798280504347082
-137.46516844452836,-84.91650991203825,-33.391686049239375,-21.3874854960531,-14.995431612383554
-123.88451093666825,-73.36302336168475,-27.370546324561545,-19.104236521290602,-14.193501121788653
-110.60487232631338,-62.47409275654804,-21.844687123921595,-16.974521432914443,-13.394253014432564
-97.69930942165267,-52.261668816227804,-16.786849979143668,-14.984809023006138,-12.599041156332515
-85.22124329808958,-42.72240862621184,-12.164419500880491,-13.120208014154693,-11.808801174029812
-73.20640066856947,-33.84045052449511,-7.941111289615725,-11.364902931915935,-11.024054699219628
-61.67517619623347,-25.590186731012626,-4.07848751175333,-9.702556355704974,-10.244926120125836
-50.63521728710841,-17.938890775678587,-0.5372648583449902,-8.116673922220485,-9.471171592554528
-40.08404846802937,-10.84908859561069,2.7216029335883825,-6.590931017181924,-8.702219692694083
-30.011578437670643,-4.28059668662553,5.736070137744508,-5.109462218677094,-7.937222744513036
-20.402366018750865,1.8078149570019502,8.542360641223505,-3.657116172165912,-7.17511753189614
-11.237558147765672,7.457145634173985,11.17452483008794,-2.2196796418033857,-6.414693812848337
-2.4964504933929526,12.707255708925446,13.664163369450655,-0.7840749875518576,-5.654668792892263
5.8423435166205735,17.596289061496435,16.04028540132031,0.6614647139875407,-4.893765490033321
13.80009879269889,22.160372706167472,18.32926737744479,2.127239203649191,-4.130792738100999
21.397518715845592,26.433531238356043,20.554879833912562,3.621940453422593,-3.364724434070268
28.65455053558827,30.44775090436473,22.738352431726796,5.152526424774086,-2.5947755450126664
35.59040675029717,34.23313038452155,24.89845203148994,6.724109079844494,-1.8204723601465864
42.223719506372724,37.818061820441066,27.051553944255495,8.339858078521717,-1.041714512731161
48.5727574301696,41.22939506221005,29.211692342658942,10.000923073420983,-0.25882641527119876
54.655641657663004,44.49254941613619,31.390581719576257,11.706378821449194,0.5274040412200378
60.4905088922436,47.631549270289156,33.597606905008085,13.453198344855998,1.3157013705158178
66.09558278709675,50.668971934049445,35.83978422532886,15.236259989807996,2.1042944027030375
71.48912954991677,53.62580709594073,38.121700711085104,17.048394360060932,2.8909251727731524
76.68928826510265,56.5212369194815,40.44544169230242,18.88047668755348,3.672875151388562
81.71378006229709,59.37235358709118,42.810519581750796,20.721569213767754,4.447008528838269
86.57951217861272,62.19383686746323,45.213818102130936,22.559116606030265,5.209831562984325
91.30210262981531,64.99761797001395,47.64956666709352,24.379195372425265,5.957566287260142
95.89535829515061,67.79255762619877,50.10935911467478,26.166815759288852,6.686236183203292
100.37074359022535,70.58416615348496,52.58222957764611,27.906271846295354,7.391760795349401
104.73687857002253,73.37439142334834,55.0547960431662,29.581532658595197,8.070055747659211
108.99910441556142,76.16149741331326,57.51147920861191,31.176664279923404,8.717134251081745
113.15915105673685,78.9400516332628,59.934800704995254,32.6762703739985,9.329206006837016
117.21493648547653,81.70103443890842,62.30576077607502,34.0659364013012,9.902769435768413
121.16052048137603,84.4320773367691,64.60429123102205,35.332661335305026,10.43469341444236
124.98622740200288,87.11783109495254,66.80977511059164,36.46525998557937,10.922285172391675
128.67894379702003,89.74045804664635,68.90162021737547,37.454719228573175,11.36334168450147
132.22258731456427,92.28023665010348,70.85986966955234,38.294492577444366,11.756182744136083
135.5987341089381,94.71626039175291,72.66582916206616,38.98071957349239,12.099664877387001
138.787383156545,97.02720773061243,74.30268787595908,39.512359371184715,12.393176295992793
141.76782795678176,99.19215522390732,75.75610817022988,39.89123147142278,12.636614117543981
144.5195994287815,101.19140247958033,77.01475849988145,40.121960634621985,12.830346035619511
147.02343876954535,103.00727536688085,78.07076456669671,40.21182733712318,12.975159431993202
149.2622559162847,104.6248731644951,78.92005560733593,40.17052945929122,13.072201529716923
151.2220282844235,106.03272617028102,79.5625859678074,40.00986494622398,13.122914545920267
152.89259576792455,107.22333280408871,80.00241663417135,39.74334871443513,13.128969891318173
154.2683116142131,108.19354938890893,80.24764702924992,39.38577987867344,13.092205275509327
155.34851462102534,108.94481148447072,80.31019390030009,38.95277728296527,13.014568130675503
156.1377959151782,109.4831726600193,80.20542119080797,38.46030224342979,12.898068099037344
156.6460430039335,109.81915462053163,79.95163202611027,37.92418732129628,12.744740496182022
156.8882543645404,109.96741124866101,79.56944092367195,37.35968888604135,12.556621730126382
156.88412899287587,109.9462179340688,79.08105063073727,36.781079307227174,12.335736697948542
156.65744644756987,109.77680603723354,78.50946318343676,36.2012919884703,12.084097271112023
156.23526336542142,109.4825699792178,77.87765851653671,35.63162932473424,11.803710183962323
155.64696157954836,109.0881808001335,77.2077759620115,35.08154024234458,11.49659201224148
154.92319030828452,108.61864469595675,76.52033409792593,34.55847049060232,11.164788508843746
154.09474997714216,108.09834773688746,75.83352261323785,34.067785502330985,10.810395372986147
153.1914678084033,107.55012852737397,75.16259623699476,33.612762608765095,10.435577567934496
152.24111524668032,106.99441896404691,74.51939556537812,33.19464682488803,10.042584554821726
151.26841463784712,106.44848959978631,73.91201313921117,32.81276241361692,9.633759243954847
150.2941775599241,105.92583067743527,73.34461579252729,32.46467104370687,9.211539036805396
149.33461017777609,105.43569301286418,72.81742657398489,32.14636658474571,8.7784479910739
148.40081243118988,104.98280502270772,72.32686191505097,31.852496401047837,8.337079834995649
147.4984883143695,104.56727379187278,71.86581263662487,31.576599349868083,7.890072234801218
146.62787454217775,104.18466965387007,71.42405124758533,31.311351469363164,7.440073336353475
145.78388509210254,103.82628578081192,70.98874310992862,31.04881145447999,6.9897021226901535
