t1,t2,t3,t4,t5,t6
176.58,122.625,78.48,44.145,19.62,4.905
-184.93289073466167,-108.79268514294544,-42.243732309979734,5.161321892755962,25.43017808727935,17.29741553049985
-536.143424103553,-334.62159424989875,-160.8505057088797,-33.742982039475585,30.569739153984195,29.198545482164974
-866.415111034091,-548.6437285165532,-274.42938834665046,-71.70948483920378,34.94029634033148,40.355013308526594
-1166.3350982845466,-745.291720743023,-380.3287060674178,-107.92906246221251,38.47217337011497,50.544914109409014
-1428.2050778391163,-919.9197494442841,-476.2736799411882,-141.67460909441363,41.125874931614156,59.58514964252806
-1646.3886496860011,-1069.0015324443411,-560.4565477590655,-172.32833284315168,42.89173953172809,67.33638766803175
-1817.493407471246,-1190.2434307487883,-631.5939800107963,-199.4021248453393,43.7878797036229,73.70549345196099
-1940.3837680513166,-1282.609383841474,-688.9497159279206,-222.55009216502626,43.85665102414734,78.6454801990494
-2016.0374957122094,-1346.26283296879,-732.3234598783081,-241.57298911166902,43.15999645257087,82.15320323521985
-2047.2728755651094,-1382.4379598505611,-762.0098411225916,-256.41490553616495,41.77407687821931,84.26516419404909
-2038.3830721794288,-1393.2577267215072,-778.7333732213694,-267.15311396040175,39.78361902996889,85.05188632487332
-1994.7186559176987,-1381.5189507960654,-783.5666819349169,-273.98239371916605,37.276390298368824,84.61136673969332
-1922.2586820672407,-1350.4649525068783,-777.8397495626737,-277.19541169485603,34.33815357712542,83.06210834936272
-1827.2058437894705,-1303.5644791012237,-763.0476079776691,-277.1608376632122,31.048374259492714,80.53619064792589
-1715.6333342380633,-1244.3121572328027,-740.7629490725802,-274.3008182435821,27.476857848491633,77.17276483713319
-1593.2015970009481,-1176.0613268784614,-712.5587122797625,-269.06925233340996,23.681401836269476,73.11226690209149
-1464.953522476182,-1101.895419470899,-679.9440760717756,-261.9320378143462,19.706459461132933,68.49154376247932
-1335.1880217288372,-1024.539643816261,-644.3156325951439,-253.35013345847455,15.58274287054251,63.439992577502224
-1207.405074979143,-946.3110617686735,-606.9240327192643,-243.7659394035968,11.327643197542013,58.07672932020012
-1084.3107034434863,-869.1024210781234,-568.8551713792187,-233.59317704956922,6.946316132310219,52.508734750207125
-967.8678772835116,-794.3934415257938,-531.0241023450819,-223.21016946130925,2.4332721718033383,46.82987612469194
-859.3788906930016,-723.2825552466263,-494.17933790220593,-212.9562018690153,-2.225682611244352,41.12067133983046
-759.5857709435968,-656.5322160648304,-458.91497175927105,-203.1304852165985,-7.051291298301489,35.44864693538351
-668.7773321094385,-594.6215960500444,-425.688104831339,-193.9931528939628,-12.068587666618127,29.8691397021871
-586.8940423118682,-537.8015501215336,-394.83928196742136,-185.76768512527894,-17.304619206226473,24.426400208708245
-513.6245285599692,-486.14794278232444,-366.6139904925571,-178.64416687325246,-22.786211552242545,19.1548721120108
-448.4899876116098,-439.61062801543,-341.1836636647629,-172.78283212746396,-28.53781431419905,14.08054068412791
-390.9148128535466,-398.05643725198615,-318.6650222499621,-168.317419040741,-34.579454802393805,9.222265146240316
-340.28329867297197,-361.3053937699108,-299.13693963900647,-165.35794714397173,-40.92481975661019,4.593030347314747
-295.98334004753093,-329.1600099906054,-282.6543101566817,-163.99262266399296,-47.57948550912284,0.2010728242541706
-257.43865702283534,-301.4279443216234,-269.2586300341457,-164.28867605865645,-54.539322897210006,-3.9491463857330027
