t1,t2,t3,t4,t5,t6,t7
240.34500000000003,176.58,122.625,78.48,44.145,19.62,4.905
-966.3023478222296,-654.0412599677579,-374.908138397832,-150.3777914326944,-0.49940742786840353,61.3085827627778,42.14474133742972
-2116.36518139281,-1449.6860475611506,-854.5382705359979,-372.9460030678353,-45.23852161403944,100.6933662340653,77.75485297926694
-3156.2214283232283,-2176.2312421418965,-1297.7058875122127,-581.4804915590229,-88.59126832092937,136.64185205931295,110.59807608626578
-4041.86900172099,-2805.2402002697263,-1688.6282482670617,-769.2153194259207,-129.1705810797398,168.22340273588944,139.7119148755034
-4742.209921272396,-3315.9686480115283,-2015.3321536521107,-930.768665615202,-165.76329941811076,194.75110778816565,164.35667399072577
-5240.750377455073,-3696.4712010159683,-2270.2708753260463,-1062.4105982798915,-197.39485177213083,215.8023068977647,184.04326349418113
-5535.625747434904,-3943.744531853313,-2450.487035579834,-1162.1751129252034,-223.37374301870236,231.2175343900324,198.53985256980806
-5638.112763427238,-4062.9833148930993,-2557.3456771881724,-1229.8186966797593,-243.313190174701,241.08003985555285,207.8588559231467
-5569.991097023663,-4066.1388603734476,-2595.9144838104953,-1266.645432379231,-257.1297697369083,245.67991135084316,212.22769323069235
-5360.2323759626815,-3970.0404019011016,-2574.1032844136366,-1275.231775530214,-265.0213014166496,245.4679688146869,212.0480431084439
-5041.516367251689,-3794.3588424785507,-2501.6890347726353,-1259.0911852014392,-267.4280878432,241.00494084784245,207.84883059012714
-4647.012634451489,-3559.6667215446587,-2389.3462743808573,-1222.3195560645727,-264.9828469208446,232.91106040190587,200.23798827226724
-4207.747124288112,-3285.7887104241254,-2247.781026896508,-1169.2577605411789,-258.4551252666586,221.82028960277248,189.85726794584656
-3750.729025448616,-2990.560570787218,-2087.034712256744,-1104.1991902270702,-248.69570438816575,208.34213996574573,177.34326227407936
-3297.874213029834,-2689.0374857788643,-1915.9907029564238,-1031.1599195144843,-236.58564486463627,193.03272418713277,163.2965461205988
-2865.6501044484785,-2393.1277366144805,-1742.0854771152858,-953.7188371624806,-222.99336047219475,176.37545505892484,148.25965663945146
-2465.294569578479,-2111.5823196049923,-1571.2027733574903,-874.9262346827217,-208.74169670787543,158.77082983877148,132.7036382375326
-2103.4300613498135,-1850.2473330959917,-1407.7144387449202,-797.2727739701872,-194.58560984216837,140.5340696551487,117.02215799791227
-1782.8969689300666,-1612.4815113220327,-1254.6255625416309,-722.7067785048116,-181.19985916086043,121.89902620282851,101.53176582178871
-1503.6566990785266,-1399.651181103299,-1113.7824401367209,-652.6862275955083,-169.17523093552973,103.02667898554792,86.4767035639219
-1263.6536566438194,-1211.633285922456,-986.1076752514807,-588.2521931123796,-159.0212416411979,84.01665604610497,72.03670380532357
-1059.5662477010678,-1047.2785416558636,-871.8349939525451,-530.112112121656,-151.17300420052803,64.92044168031856,58.336396149527985
-887.4133428259537,-904.8071374997181,-770.7251491988254,-478.7236090362265,-145.9999362861305,45.755214359954586,45.45519416221175
-743.0105890692076,-782.126139043431,-682.2522422808754,-434.3720429528774,-143.8141814496068,26.517530377049653,33.43681730965397
-622.2895372621758,-677.0698147023066,-605.7560816859209,-397.2371901356242,-144.8769409444685,7.196295961156931,22.297872078084563
-521.5026163754571,-587.5715219581513,-540.5605623355146,-367.4462730397297,-149.40132741234535,-12.215365835272578,12.035152101753644
-437.3403863516566,-511.779261076676,-486.0605756863529,-345.11185652023926,-157.55081859322303,-31.7096496487962,2.631508216271584
-366.98635140063936,-448.12752886315087,-441.78097626756926,-330.3540013513596,-169.432893113936,-51.255258229544246,-5.939715404320504
-308.1308300116949,-395.3766977032093,-407.41105608986004,-323.30662045928875,-185.08796477434663,-70.79049925351751,-13.711579096058028
-258.96043406724317,-352.6286780680189,-382.81725273094776,-324.1083862676516,-204.47429231037782,-90.21855016762186,-20.721610198645045
-218.13460512518523,-319.3247683329363,-368.03584275714854,-332.8789542012661,-227.4501170873916,-109.4051561638523,-27.010818153477892
