t1,t2,t3,t4,t5,t6,t7,t8
313.92,240.34500000000003,176.58,122.625,78.48,44.145,19.62,4.905
-3180.2028103059897,-2296.156761723149,-1488.4585661182505,-800.5792265842948,-274.9358745548683,52.34363053230197,165.47120881162687,99.70655358168682
-6424.94176989112,-4666.411204244728,-3056.0757034492667,-1677.2618207578366,-614.4956163713043,57.4323719532471,303.065487916462,189.21362065015427
-9198.972171201658,-6720.320109211783,-4435.767130895027,-2461.736158981316,-924.045135178774,59.4429220660912,426.6536986214833,269.27090325486574
-11339.923392531377,-8345.313753650667,-5557.770879982324,-3117.63078588574,-1190.1704870156625,58.68986689112777,531.6596104113087,336.5795377125399
-12760.233270581464,-9476.881816079436,-6379.233127260163,-3620.8906695587216,-1403.2335135430262,55.72467449313405,614.9709491045992,388.926025122124
-13450.250558659449,-10101.251238035456,-6886.226479254629,-3961.018057367993,-1557.9168020094032,51.25441864131027,675.053898448509,425.2719239970699
-13469.397955572449,-10250.58114211253,-7091.720634492933,-4140.540128833427,-1653.2481245258573,46.039988144268534,711.8942643588252,445.706841105044
-12928.551674298204,-9992.470913878216,-7030.345077462958,-4172.9971526243235,-1692.1584023092976,40.791867400670625,726.7937990469035,451.2882152609523
-11968.078047142433,-9416.405878444446,-6751.246005848656,-4079.9541961815144,-1680.691839272119,36.08059440587306,722.0672385538807,443.8052879213236
-10736.029395764348,-8619.882505483301,-6310.457594393879,-3887.61942335551,-1627.0217297114737,32.274362288746445,700.6923652491453,425.50977177513266
-9370.051154516761,-7696.46299318512,-5764.0150463297105,-3623.6073874476224,-1540.4282906391434,29.509496233327383,665.9623827309767,398.8526109564488
-7985.039029153906,-6727.1522973392075,-5162.6408231614105,-3314.2503306844537,-1430.3708441707972,27.69261242270926,621.1795825864205,366.2571299342616
-6667.008387919612,-5775.554931030581,-4548.370685398327,-2982.6824480561577,-1305.745724783451,26.52779290463471,569.4151695080088,329.9468481704475
-5472.388112820768,-4886.4888165165285,-3953.0714262285587,-2647.7480421923688,-1174.3747930474685,25.55906651327281,513.3456240929885,291.8342349415734
-4431.224682570514,-4087.240266691285,-3398.5123250450565,-2323.648247837246,-1042.7272334463487,24.21805652648011,455.1637425425751,253.46686361619481
-3552.5837904362133,-3390.459282944395,-2897.5111174787953,-2020.1585138999817,-915.8458157289244,21.868369045422227,396.553954555911,216.02091636516954
-2830.6377687659606,-2797.75797006989,-2455.6647240221296,-1743.2198187614288,-797.430489696076,17.84130975383428,338.7170012611971,180.32891992248312
-2250.345574249485,-2303.288704155777,-2073.2535796197694,-1495.718994939106,-690.0262014958096,11.460926378107004,282.42801781280707,146.92838741812736
-1792.1001233092413,-1896.8448948528182,-1747.0294579061165,-1278.311125090133,-595.2651724107235,2.059445603908081,228.11350966899144,116.1197800312725
-1435.1197017590762,-1566.272834397292,-1471.721447076271,-1090.183944976892,-514.122768010137,-11.01354724254118,175.93553139275613,88.02493072968306
-1159.6413819055072,-1299.168458185158,-1241.198510281244,-929.7086437607834,-447.156965915173,-28.383526500887434,125.87461439597057,62.64000852677428
-948.1296937117257,-1083.9473061399742,-1049.2992541869912,-794.9564463542473,-394.711667916103,-50.640017865642115,77.80596563674234,39.879725398146476
-785.7675776402987,-910.428316065985,-890.3801354415311,-684.0834036592134,-357.07219166079915,-78.31759718723721,31.565795803135014,19.6115387031851
-660.4838981198624,-770.0798144012126,-759.6483573139101,-595.5975559281919,-334.5667667795138,-111.86547508740985,-12.99378429279163,1.6800223193579598
-562.7251353306198,-656.057508824167,-653.3431696596812,-528.525458463919,-327.6111082532096,-151.60396849493725,-55.96196724701183,-14.077558997655718
-485.12220329067094,-563.1340883986704,-568.8166376379327,-482.49198302630913,-336.6950187621,-197.66837565304806,-97.33883527437668,-27.82300374247091
-422.15070373693425,-487.5877806217975,-504.5479078420998,-457.7213123864082,-362.31158517853703,-249.94338004765137,-137.01750999362608,-39.71464022529191
-369.8402803738215,-427.0879304359326,-460.10745605858847,-454.960787260929,-404.8319619474929,-307.9939379261661,-174.77900826233366,-49.90890619220901
-325.55679099277023,-380.5912446616262,-436.0722672509451,-475.3250127618732,-464.33279742600706,-371.0013542197512,-210.29979007445718,-58.56453484232996
-287.85788060674406,-348.2430764455534,-433.88116404417684,-520.0572379495409,-540.3893996800965,-437.71547505609476,-243.1715903027945,-65.84795618677448
-256.405747366077,-331.26393875442506,-455.6131107748113,-590.2098012918889,-631.8554208888074,-506.43505570375817,-272.93245036212613,-71.93863909266837
-231.9086438055544,-331.7926677816971,-503.67174233906024,-686.2558865935711,-736.6580315412876,-575.0278098180495,-299.1069467373309,-77.03321876401792
-216.05441006015073,-352.6552810482628,-580.3677606400216,-807.6602559752662,-851.6443543443617,-640.9989441786133,-321.2525664023024,-81.34739561966961
-211.39585938777114,-397.0339374676931,-687.4074929715631,-952.4547610392184,-972.5179156983656,-701.6119739283345,-339.0081816473726,-85.1147816812311
-221.15077294344172,-468.02453292908325,-825.3194958269738,-1116.881370290016,-1093.900635982025,-754.0586053343335,-352.13983884246966,-88.58213636566387
-248.89030835594025,-568.0941152956246,-992.8780830383549,-1295.1760180836022,-1209.5447417237954,-795.6663235534585,-360.57880087626904,-92.0007918760424
-298.10946781383757,-698.4780719536649,-1186.607209307207,-1479.5653579397601,-1312.6997896466776,-824.1243840287493,-364.4471241258736,-95.61451724466944
-371.7005241974201,-858.5868956338452,-1400.4627965982154,-1660.5313888029993,-1396.6146979156536,-837.7028113518777,-364.0670683369082,-99.6445816964307
-471.38088036002426,-1045.5159658370915,-1625.7889542586474,-1827.3648984928166,-1455.1274382200156,-835.4363217186797,-359.95227234251803,-104.27329613295367
-597.1541117613956,-1253.7610279808403,-1851.6186351092847,-1968.9811697476277,-1483.2716151754892,-817.2468842986328,-352.7806956267039,-109.62775573345041
