t1,t2,t3,t4,t5,t6,t7,t8,t9
397.305,313.92,240.34500000000003,176.58,122.625,78.48,44.145,19.62,4.905
-8638.611021716984,-6516.637710398857,-4544.628785314212,-2803.71974797624,-1374.8629776911794,-333.6183941379953,264.10225016390325,413.2411039001316,219.08693557425616
-16739.6864823501,-12690.32176451663,-8910.79761718896,-5551.652827151153,-2771.214500651465,-724.9717693856894,465.4789021167244,779.1368518180875,417.2266752994555
-23132.45358840972,-17655.493020056598,-12499.003615122525,-7861.671852486282,-3971.708869766396,-1070.9870880217104,636.8105229140087,1095.8269695567933,586.4065229601074
-27339.24969388768,-21059.72481401143,-15070.261501206482,-9590.641558136133,-4907.0080650094615,-1352.253832717411,770.2158988437652,1347.491157857139,717.3617779337792
-29231.395767554513,-22788.29971999485,-16531.141522641312,-10672.470496486992,-5539.935943924177,-1556.4093643721806,861.9865339136475,1525.2631253921763,805.2947707779444
-29003.65976458998,-22951.023132493814,-16929.0417332187,-11117.787209290165,-5866.485374079632,-1678.8725045927597,912.4766031390103,1627.4084835567835,849.9135874817265
-27087.28467611633,-21827.610483226996,-16422.480917177425,-11000.680905682575,-5911.569605808656,-1722.4345310096867,925.4062824202767,1658.4967424784832,854.7905307981938
-24032.93378825253,-19791.242657264684,-15237.042733358458,-10437.282483760357,-5721.106813699072,-1695.9189173441328,906.7986062864896,1627.8597390530394,826.2655922505528
-20396.758196800736,-17231.69701054689,-13619.10003923656,-9561.96455112615,-5352.531765882504,-1612.2682065750637,863.8048732598406,1547.7143665278154,772.1734720230379
-16654.290910378495,-14494.672992187667,-11797.266141324606,-8506.226451015897,-4865.72921841623,-1486.462859768007,803.6405640954742,1431.3130559515978,700.649382821898
-13153.300993657296,-11845.638877668789,-9957.182739784086,-7383.495785536921,-4315.835793361485,-1333.6290368550556,732.776928277447,1291.3966416438195,619.1922577240382
-10103.84521344657,-9458.262705968249,-8230.631492166835,-6280.929399900314,-3748.614577183654,-1167.5805828090158,656.4441234572125,1139.1008881520122,534.0672121078275
-7595.370417395308,-7421.7613369415985,-6696.480881562587,-5257.517746528589,-3198.413550261935,-999.9057458005229,578.4264646179672,983.3484352816811,450.04206604311537
-5627.910211773157,-5759.172041325915,-5389.270305428928,-4346.750329212516,-2688.234534533142,-839.5879744304777,501.0835420344056,830.6682606681073,370.3936797252664
-4146.022008373359,-4449.086902332938,-4311.146745180691,-3561.8127302329744,-2231.2147771345776,-693.0656324560225,425.5147326537874,685.3351124296008,297.093597914354
-3067.972503902601,-3445.5543687227528,-3443.8242426323004,-2901.5558887400152,-1832.8221421223218,-564.5945929815784,351.792130080244,549.7085665516854,231.08357972186417
-2306.8002803086483,-2693.400355942015,-2758.571526104431,-2356.0247672446917,-1493.2051218594565,-456.774336547311,279.2076884600458,424.6646049579916,172.56959558057972
-1783.0314717788028,-2138.317608434727,-2223.451844681556,-1910.913049849127,-1209.3335772803784,-371.11920264389965,206.50465024585696,310.0391677913519,121.28725794336862
-1430.6041939507156,-1732.380526385475,-1807.8929580239787,-1550.7737031851632,-976.7494596811192,-308.5875541524938,132.08435950935626,205.03234873505647,76.71464953967799
-1198.153764865559,-1436.2036827459704,-1485.1171808887564,-1261.1081034760502,-790.8827957444952,-270.01159588928317,54.19399877140559,108.54693213603633,38.226000938108314
-1047.6506765693493,-1219.0007608330232,-1233.096873349508,-1029.591302981355,-647.9670410448668,-256.3931400872598,-28.892138566500336,19.452779961519624,5.190615686236207
-951.8861519960809,-1057.5680597516243,-1034.6431252276948,-846.7110635866301,-545.6164265366608,-269.04432032864327,-118.6848465704322,-63.22101872162466,-22.97325143724744
-891.7580333823948,-934.9047040129864,-877.0917651117438,-706.0505899048101,-483.12071538633273,-309.55950872892936,-216.27778433395366,-140.1598501333126,-46.77848156040737
-853.8712016642378,-838.8993825397888,-751.8909881983734,-604.3664266637405,-461.48601610168095,-379.6101946292809,-322.1321830071928,-211.69608200458296,-66.67289321878881
-828.6728006585573,-761.3014714268529,-654.2524234250241,-541.5276496247782,-483.2189828383736,-480.5638091702775,-435.86169413568643,-277.7943800726645,-83.05820268040735
-809.1743201118592,-697.0511438879853,-582.9113283616402,-520.3045547818766,-551.829216461012,-612.945081058569,-556.0431055294416,-338.0849197998824,-96.31729630973139
-790.228572849924,-643.9485708137315,-539.949519965231,-545.9347097085999,-671.0225813237615,-775.786649513766,-680.0891842161611,-391.9395566756324,-106.84427177703967
-768.2880451226187,-602.574817260415,-530.5637936655627,-625.3619334822488,-843.5853749640638,-965.9524076241215,-804.2252460283072,-438.58439417075834,-115.07250606220312
-741.5406806620615,-576.3225649761577,-562.6161199947368,-766.051520787882,-1070.0193752457883,-1177.5552947397034,-923.6079601390388,-477.23906916421004,-121.49642356993488
-710.2830628638624,-571.3514506810214,-645.7907823315121,-974.3435505034408,-1347.0751094232571,-1401.6189479275665,-1032.6111071962423,-507.26911265895353,-126.68291515601416
-677.3479089336537,-596.2609559707466,-790.223292318581,-1253.4183522813096,-1666.4271741639466,-1626.1350608625096,-1125.2784180079016,-528.3340008760447,-131.2688120193704
-648.365882401243,-661.2919292056928,-1004.5683273113367,-1601.1012027986496,-2013.8105410199307,-1836.6327062078228,-1195.911224452273,-540.5112426116616,-135.94176064554736
-631.6341130243712,-776.9441177625075,-1293.6364960540711,-2007.8926748526032,-2368.9531640360397,-2017.297368246358,-1239.7247121187092,-544.3772067875018,-141.40351002031943
-637.410072253886,-952.0375813754547,-1655.9255812703445,-2455.722783572284,-2706.565784061221,-2152.564280939041,-1253.4795829841667,-541.0291074163896,-148.31707228672812
-676.5633696085886,-1191.433224200811,-2081.5473057570243,-2917.930583209748,-2998.4735459483504,-2228.9860821408306,-1235.9845121928083,-532.0396526247305,-157.24225998835362
-758.6903600737685,-1493.8164821206358,-2551.135108529855,-3360.8221445882727,-3216.719072621723,-2237.072964172476,-1188.3748093409963,-519.3454984086793,-168.5672513700697
-889.9888466359278,-1850.0723479310343,-3036.2483104908765,-3746.8574058886943,-3337.193070846916,-2172.7597238923536,-1114.1049024295407,-505.08121048561503,-182.44635939957453
-1071.3412557648542,-2242.7740482915992,-3501.5376317731157,-4039.1175303762534,-3343.1402188540933,-2038.1917887375928,-1018.6411373191938,-491.3798360657294,-198.75525990137973
-1297.0998947516825,-2647.136704688909,-3908.542847827564,-4206.319330242163,-3227.824741181656,-1841.6418764948107,-908.8961290924606,-480.1673489518025,-217.07390337319353
-1554.967468603515,-3033.471284909935,-4220.557015337266,-4227.40275187286,-2995.7644019454688,-1596.544279168463,-792.4933460554792,-472.9796630342129,-236.7039488521378
-1827.1286368229664,-3370.7938516868303,-4407.6524055493455,-4094.7226522615565,-2662.236085740545,-1319.8185950074035,-676.9791598739553,-470.8271467472971,-256.72218289659503
-2092.477136648867,-3630.9200014092207,-4450.846748120428,-3815.1524825059537,-2251.142293973397,-1029.7978006629721,-569.1028005771784,-474.1233593159804,-276.0650158595456
-2329.4966523114476,-3792.2183029146945,-4344.552661342131,-3408.885059715028,-1791.6918949756646,-744.1383696877193,-474.2630464721772,-482.68385418225716,-293.6331986577039
-2519.188709406624,-3842.269800916434,-4096.858202844066,-2906.2498075253147,-1314.5828056793837,-478.0600791534644,-396.181075728509,-495.78970396043144,-308.40183410849596
-2647.451631111198,-3778.961973233109,-3727.705087830026,-2343.291926985008,-848.4177046320602,-243.15641581705285,-336.81264607589605,-512.301170420734,-319.51962356296474
-2706.4903246306517,-3609.939216426765,-3265.4984088364936,-1757.0556419954949,-416.9415606138982,-46.870269820530474,-296.47094514265433,-530.8012941903629,-326.3834053187464
